,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Bayer-Leverkusen,0,-15,-17,0,-1,-3,-8,-5,-7,-1,-17,0,0,0,-17,-17,-17,-14,-17,-17,0,-1,0,-16,-17,-6,-2,0,0,-12,-15,-2,-11,-1,-14,-14,-16,-17,0,-10,-13,-11
1,Bayern-Munchen,0,-16,-15,0,-1,1,0,-1,1,1,-13,0,0,0,-15,-11,-12,-16,-12,-13,0,1,0,-16,0,-15,-4,-2,-11,-10,-16,1,-1,-11,-1,-6,-13,-5,-11,-3,-5,-11
2,Stuttgart,0,-14,-11,0,-1,-2,-3,-7,-1,-1,-13,0,-1,0,-13,-13,-13,-13,-13,-6,0,-1,-7,-12,-8,-10,1,0,0,-5,2,-10,-11,-13,-6,-13,-11,-9,-1,-10,-15,-7
3,Rb-Leipzig,0,-10,-12,0,-2,-2,-3,0,-2,1,-13,-1,1,0,-11,-13,-13,-10,-13,1,-1,1,1,-12,-6,-7,3,2,0,1,-13,-5,-1,-14,-8,-10,-14,0,1,-13,0,-14
4,Borussia-Dortmund,0,-4,-10,0,-4,-5,-3,-2,-5,0,-9,-1,0,0,-8,-10,-5,-8,-3,-7,1,-1,-3,-4,-4,-11,-2,-6,-13,-2,-5,-2,-11,-9,-8,-2,3,-3,-13,-4,3,1
5,Eintracht-Frankfurt,-2,4,-7,0,-4,-8,-9,-8,-8,-3,-7,-3,-6,-2,-3,-6,-5,-3,2,2,0,-11,-6,-7,2,0,-2,-6,-3,-9,-5,1,5,-9,2,3,-4,-5,1,-6,3,-9
6,Tsg-1899-Hoffenheim,1,-6,0,0,6,5,6,6,5,1,4,3,1,1,6,5,5,4,5,-4,0,-1,-8,2,0,-1,3,-1,-5,2,-2,-8,-2,2,2,-5,6,-7,-4,1,-2,0
7,Sc-Freiburg,1,1,-3,0,-7,0,-3,-1,-4,-3,0,0,-3,-5,-6,1,5,-3,3,-9,-7,-7,-8,2,2,-10,-4,-5,3,2,3,-8,-10,-2,-10,2,-4,-9,1,-8,-9,5
8,Werder-Bremen,0,-1,1,0,-2,-3,-3,-6,-4,-3,-1,-1,1,-6,-1,1,-3,3,-2,-4,-1,-7,-8,6,-6,7,-1,-1,7,-5,-5,5,-6,0,1,0,-7,-6,7,5,-6,-5
9,Heidenheim,-2,4,-2,0,-3,-5,-4,5,-1,0,1,3,-3,1,3,5,-5,-7,-5,2,-8,-8,6,-2,2,6,1,1,0,9,4,-7,-3,3,4,-3,4,0,0,-8,-6,-6
10,Fc-Augsburg,1,3,6,0,4,2,1,-1,2,3,6,-2,2,0,8,2,5,4,2,4,-5,1,2,3,-3,-3,-2,5,-3,9,4,3,5,0,0,1,4,6,-1,-4,-1,-6
11,Wolfsburg,1,0,8,0,0,-1,-1,-6,-3,-2,1,1,2,-6,4,2,5,8,9,2,4,-1,-1,2,-4,2,1,-2,5,-6,9,2,5,9,2,-5,7,-4,6,11,4,3
12,Borussia-Monchengla,-1,10,4,0,5,10,10,2,10,6,9,1,6,6,9,10,9,3,1,12,4,4,6,12,8,-2,8,8,7,4,9,7,2,7,-1,-5,2,12,4,3,3,11
13,Bochum,-1,9,8,0,9,7,10,6,7,1,12,0,0,4,8,10,9,12,1,-2,0,9,0,10,-3,11,0,-2,-1,10,1,0,12,2,-2,10,5,5,-1,6,3,3
14,Mainz-Amat,-1,14,5,0,-1,-2,-1,-2,-2,0,3,0,-2,1,3,1,6,14,5,1,3,8,10,1,3,10,-2,8,7,5,0,4,7,-2,13,10,2,2,7,8,9,9
15,1-Fc-Union-Berlin,3,1,14,0,-2,0,-1,3,0,0,10,-2,1,4,5,10,8,4,15,14,-1,2,5,5,3,4,0,1,-1,5,4,-2,6,12,9,14,13,13,-1,13,11,8
16,1-Fc-Koln,0,13,14,0,3,-1,-1,1,-1,-1,10,1,-1,1,12,6,4,9,11,11,4,6,11,15,14,8,-1,-1,6,0,15,15,0,9,0,6,9,15,1,3,4,16
17,Darmstadt-98,0,7,17,0,1,7,13,16,13,1,17,1,2,1,16,17,17,13,11,13,7,6,0,11,17,17,3,1,2,2,10,6,14,17,17,17,14,12,4,16,17,13
