id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
36,Bayer-Leverkusen,81.82,18.18,0.0,2.64,90.91,72.73,39.39,27.27,3.33,2.64,0.7,96.97,81.82,51.52,51.52,18.18,0.0,1.79,0.0,4.15,61.42,18.15,7.0,3.27,0.15,0.79,0.97,0.88,77.07,0.36,0.18,0.79,0.18,0.55,0.12,0.06,0.27,1.21,2.61,1.24,0.85,0.79
37,Stuttgart,66.67,12.12,21.21,2.12,90.91,72.73,45.45,21.21,3.42,2.24,1.18,90.91,69.7,45.45,66.67,30.3,15.15,1.67,0.03,4.61,59.73,15.58,4.79,4.21,0.3,0.58,1.0,0.7,75.05,0.58,0.7,0.45,0.15,0.21,0.24,0.03,0.48,1.55,2.55,1.21,0.61,0.82
38,Bayern-Munchen,69.7,9.09,21.21,2.18,90.91,81.82,57.58,30.3,4.03,2.79,1.24,90.91,78.79,45.45,66.67,36.36,15.15,1.39,0.06,4.27,61.33,19.0,6.76,2.73,0.52,0.42,0.67,0.67,70.42,0.42,0.09,0.88,0.48,0.21,0.33,0.15,0.45,1.91,1.76,1.42,1.18,0.76
39,Rb-Leipzig,57.58,21.21,21.21,1.94,87.88,66.67,45.45,30.3,3.39,2.27,1.12,87.88,69.7,39.39,69.7,27.27,9.09,1.79,0.03,4.85,55.15,15.97,5.97,4.0,0.33,0.7,1.09,0.73,74.39,0.76,0.15,0.52,0.39,0.09,0.15,0.06,0.24,1.97,2.58,0.91,1.33,0.58
40,Borussia-Dortmund,51.52,27.27,21.21,1.82,84.85,60.61,42.42,24.24,3.24,1.94,1.3,87.88,54.55,33.33,72.73,33.33,18.18,1.79,0.12,4.48,57.52,14.88,5.12,5.12,0.33,0.45,0.67,0.39,67.84,0.58,0.3,0.61,0.15,0.21,0.15,0.15,0.97,1.76,1.61,1.3,1.36,1.15
41,Eintracht-Frankfurt,33.33,39.39,27.27,1.39,84.85,57.58,33.33,12.12,2.94,1.48,1.45,81.82,39.39,21.21,78.79,42.42,18.18,2.06,0.15,4.82,51.39,11.58,4.64,4.61,0.36,0.82,0.64,0.39,72.31,0.3,0.27,0.64,0.67,0.21,0.33,0.15,0.61,1.61,2.45,1.24,1.36,0.64
42,Tsg-1899-Hoffenheim,36.36,21.21,42.42,1.3,96.97,78.79,60.61,33.33,3.82,1.88,1.94,90.91,51.52,33.33,93.94,60.61,36.36,2.55,0.15,4.52,49.21,13.52,4.33,5.7,0.33,0.76,0.76,0.42,70.56,0.61,0.33,0.36,0.21,0.42,0.33,0.06,1.09,1.52,1.85,1.42,0.94,1.03
43,Heidenheim,27.27,36.36,36.36,1.18,81.82,51.52,33.33,27.27,3.03,1.39,1.64,84.85,36.36,15.15,81.82,54.55,15.15,1.61,0.03,4.61,41.45,11.48,5.39,4.79,0.33,0.85,0.58,0.42,72.05,1.15,0.33,0.3,0.18,0.33,0.3,0.06,0.82,1.64,2.09,0.85,0.73,0.61
44,Werder-Bremen,30.3,27.27,42.42,1.18,84.85,57.58,33.33,12.12,2.94,1.33,1.61,78.79,42.42,9.09,78.79,48.48,18.18,2.21,0.06,4.48,46.33,11.73,3.39,5.79,0.24,0.91,0.55,0.42,75.41,0.33,0.24,0.7,0.15,0.27,0.24,0.09,0.33,1.45,2.61,1.45,0.85,0.67
45,Sc-Freiburg,33.33,27.27,39.39,1.27,78.79,63.64,36.36,24.24,3.03,1.33,1.7,81.82,39.39,12.12,69.7,51.52,36.36,1.85,0.12,4.24,45.52,11.76,3.67,5.67,0.36,0.33,0.52,0.36,73.87,0.58,0.33,0.36,0.12,0.27,0.03,0.15,0.55,1.27,2.27,1.09,0.67,1.18
46,Fc-Augsburg,30.3,27.27,42.42,1.18,87.88,60.61,36.36,18.18,3.24,1.48,1.76,75.76,39.39,15.15,90.91,48.48,27.27,2.12,0.09,4.64,43.3,12.94,4.88,5.27,0.27,0.52,0.52,0.45,70.39,0.88,0.33,0.58,0.39,0.24,0.21,0.09,0.79,1.94,1.82,1.09,0.91,0.61
47,Wolfsburg,30.3,21.21,48.48,1.12,84.85,57.58,33.33,6.06,2.82,1.21,1.61,78.79,39.39,3.03,81.82,48.48,27.27,2.55,0.15,4.58,47.18,12.15,4.45,5.09,0.24,0.73,0.52,0.36,72.68,0.18,0.39,0.48,0.36,0.52,0.24,0.03,0.82,1.42,2.3,1.97,0.97,0.88
48,Mainz-Amat,18.18,42.42,39.39,0.97,75.76,42.42,30.3,9.09,2.61,1.09,1.52,72.73,21.21,9.09,75.76,33.33,21.21,2.91,0.09,4.33,45.7,14.18,5.36,4.27,0.3,0.82,0.27,0.42,72.41,0.48,0.18,0.48,0.27,0.21,0.45,0.15,0.52,1.55,2.12,1.39,1.21,1.06
49,Borussia-Monchengla,21.21,39.39,39.39,1.03,87.88,75.76,51.52,21.21,3.61,1.7,1.91,78.79,48.48,30.3,87.88,60.61,33.33,1.94,0.06,4.91,46.67,13.42,5.15,6.06,0.36,0.52,0.7,0.48,72.85,0.55,0.36,0.64,0.21,0.39,0.15,0.03,0.55,2.21,2.12,1.24,0.91,1.21
50,1-Fc-Union-Berlin,24.24,18.18,57.58,0.91,72.73,45.45,27.27,18.18,2.67,0.94,1.73,48.48,27.27,12.12,78.79,51.52,27.27,1.82,0.21,4.91,42.88,12.0,4.67,5.09,0.3,0.7,0.36,0.33,68.33,0.48,0.27,0.3,0.21,0.52,0.27,0.18,0.94,2.12,1.67,1.52,1.33,1.0
51,Bochum,21.21,36.36,42.42,1.0,87.88,63.64,48.48,24.24,3.36,1.24,2.12,75.76,30.3,15.15,87.88,57.58,30.3,2.88,0.06,4.27,45.58,15.12,4.42,5.76,0.21,0.88,0.48,0.33,70.22,0.64,0.27,0.36,0.52,0.24,0.09,0.15,0.7,1.7,1.73,1.3,0.91,0.82
52,1-Fc-Koln,15.15,36.36,48.48,0.82,81.82,33.33,21.21,12.12,2.52,0.82,1.7,57.58,15.15,9.09,87.88,45.45,18.18,2.06,0.12,4.7,45.7,12.88,5.33,6.0,0.39,0.76,0.27,0.15,70.76,0.27,0.52,0.85,0.12,0.3,0.06,0.09,0.7,2.18,1.73,1.12,0.85,1.39
53,Darmstadt-98,9.09,24.24,66.67,0.52,75.76,60.61,45.45,30.3,3.39,0.91,2.48,51.52,27.27,9.09,90.91,63.64,42.42,2.42,0.12,4.79,45.82,12.15,3.39,5.3,0.58,1.06,0.39,0.24,68.58,0.3,0.33,0.48,0.42,0.61,0.45,0.3,0.82,1.91,1.76,1.91,1.45,1.09
