Liga,Temporada,Jornada,tiempo,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia,Puntos obtenidos,Entrenador,Minuto cambio 1,Minuto cambio 2,Minuto cambio 3,Posicion cambio (Sale/Entra) 1,Posicion cambio (Sale/Entra) 2,Posicion cambio (Sale/Entra) 3
premier,2017,1,1077,Manchester,1,3,3,1,visitante,1 - 3,3,3,3,0,0,0,0,1,1,2,2,82,82,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,AFC Bournemouth,,,31,74,183,0,3,Erik ten Hag,75,84,89,Centrocampista - Centrocampista,Delantero - ,Delantero - 
premier,2017,1,1077,Liverpool,2,3,4,3,visitante,3 - 4,4,3,3,0,0,0,0,3,3,0,0,78,78,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,,,Arsenal,,,31,75,182,0,3,Jürgen Klopp,70,76,88,Centrocampista - Centrocampista,Centrocampista - Delantero,Centrocampista - Centrocampista
premier,2017,1,1077,Chelsea,3,3,2,1,local,2 - 1,2,3,3,0,0,0,0,0,0,2,2,83,83,1,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,,,West Ham,,,32,77,183,0,0,Mauricio Pochettino,80,85,85,Delantero - Delantero, - Delantero,Delantero - 
premier,2017,1,1077,Hull City,4,3,2,1,local,2 - 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,,Leicester,,,33,74,182,0,0,Liam Rosenior,0,0,0, - , - , - 
premier,2017,1,1077,Manchester City,5,3,2,1,local,2 - 1,2,3,3,0,0,1,1,1,1,1,1,68,68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,Sunderland,,,34,73,180,0,0,Pep Guardiola,59,65,80,Delantero - Defensa,Centrocampista - Centrocampista,Defensa - Delantero
premier,2017,1,1077,Swansea City,6,3,1,0,visitante,0 - 1,1,3,3,0,0,0,0,1,1,1,1,70,70,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,,Burnley,,,33,76,182,0,3,Luke Williams,60,64,87,Centrocampista - Centrocampista, - Delantero,Delantero - Defensa
premier,2017,1,1077,West Bromwich A.,7,3,1,0,visitante,0 - 1,1,2,2,0,0,0,0,0,0,0,0,80,80,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,,Crystal Palace,,,33,77,185,0,3,Carlos Corberán,71,89,0, - Centrocampista, - Centrocampista, - 
premier,2017,1,1077,Everton,8,1,1,1,local,1 - 1,1,3,3,0,0,0,0,2,2,0,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tottenham,,,32,75,182,0,0,Sean Dyche,68,76,85, - Delantero,Centrocampista - Centrocampista,Centrocampista - 
premier,2017,1,1077,Middlesbrough,9,1,1,1,local,1 - 1,1,2,2,0,0,0,0,2,2,0,0,55,55,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,,,Stoke City,,,34,77,183,0,0,Michael Carrick,22,88,0,Centrocampista - Centrocampista,Centrocampista - , - 
premier,2017,1,1077,Southampton,10,1,1,1,local,1 - 1,1,3,3,0,0,1,1,1,1,1,1,73,73,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,Watford,,,32,76,181,0,0,Russell Martin,55,80,84,Centrocampista - Centrocampista,Defensa - Defensa,Delantero - Delantero
premier,2017,1,1077,Stoke City,11,1,1,1,visitante,1 - 1,1,2,2,0,0,0,0,0,0,1,1,75,75,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,,,Middlesbrough,,,34,76,184,0,3,Steven Schumacher,71,79,0,Delantero - Delantero, - Centrocampista, - 
premier,2017,1,1077,Tottenham,12,1,1,1,visitante,1 - 1,1,2,2,1,1,1,1,0,0,0,0,45,45,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,,Everton,,,31,78,182,0,3,Ange Postecoglou,35,56,0,Portero - Portero,Defensa - Delantero, - 
premier,2017,1,1077,Watford,13,1,1,1,visitante,1 - 1,1,3,3,0,0,0,0,1,1,0,0,73,73,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1,,,Southampton,,,33,76,183,0,3,Tom Cleverley,65,73,81,Centrocampista - Centrocampista, - Defensa, - 
premier,2017,1,1077,Arsenal,14,0,3,4,local,3 - 4,3,3,3,0,0,0,0,3,3,0,0,62,62,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,,,Liverpool,,,32,75,183,0,0,Mikel Arteta,59,62,67,Centrocampista - Centrocampista,Centrocampista - Centrocampista,Centrocampista - Centrocampista
