id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Bayern-Munchen,72.73,12.12,15.15,2.3,93.94,78.79,60.61,33.33,3.91,2.88,1.03,93.94,75.76,54.55,60.61,33.33,3.03,1.64,0.09,3.0,66.12,17.76,7.18,2.94,0.03,0.33,0.64,0.55,70.09,0.55,0.09,0.45,0.18,0.03,0.24,0.09,0.45,1.27,1.18,0.88,1.45,0.73
1,Borussia-Dortmund,66.67,18.18,15.15,2.18,84.85,69.7,57.58,27.27,3.7,2.61,1.09,90.91,72.73,45.45,51.52,33.33,18.18,1.39,0.03,3.15,59.67,12.61,5.58,3.06,0.18,0.27,0.73,0.73,72.12,0.45,0.3,0.39,0.27,0.09,0.09,0.15,0.33,1.0,1.67,1.24,1.39,0.73
2,Rb-Leipzig,51.52,36.36,12.12,1.91,93.94,66.67,51.52,24.24,3.48,2.39,1.09,87.88,63.64,48.48,69.7,33.33,6.06,1.58,0.09,3.3,54.48,15.67,5.42,4.55,0.06,0.27,0.67,0.45,67.09,0.27,0.09,0.36,0.18,0.03,0.24,0.06,0.88,1.45,0.91,1.06,1.52,0.55
3,Borussia-Monchengla,57.58,15.15,27.27,1.88,81.82,69.7,42.42,18.18,3.12,1.94,1.18,78.79,57.58,39.39,78.79,33.33,6.06,2.3,0.09,3.24,52.33,13.27,5.18,4.58,0.18,0.55,0.61,0.52,71.74,0.52,0.18,0.45,0.12,0.03,0.15,0.24,0.33,0.94,1.73,1.12,1.42,0.85
4,Bayer-Leverkusen,54.55,18.18,27.27,1.82,87.88,60.61,39.39,21.21,3.15,1.82,1.33,81.82,54.55,33.33,72.73,36.36,15.15,1.82,0.18,3.27,62.52,13.76,6.18,3.73,0.15,0.3,0.33,0.52,66.53,0.18,0.09,0.7,0.12,0.15,0.15,0.18,0.67,1.42,1.0,1.39,1.33,1.06
5,Tsg-1899-Hoffenheim,42.42,21.21,36.36,1.48,87.88,63.64,33.33,18.18,3.09,1.48,1.61,75.76,48.48,21.21,78.79,39.39,24.24,1.97,0.06,3.3,51.82,12.48,5.09,6.15,0.09,0.67,0.3,0.21,66.13,0.15,0.24,0.58,0.21,0.27,0.21,0.12,0.97,1.18,1.03,1.64,0.88,1.12
6,Wolfsburg,39.39,30.3,30.3,1.48,81.82,51.52,27.27,15.15,2.73,1.45,1.27,75.76,39.39,18.18,75.76,39.39,12.12,2.06,0.09,3.06,48.94,13.55,4.91,4.91,0.03,0.45,0.33,0.24,73.19,0.03,0.09,0.09,0.0,0.21,0.0,0.06,0.36,1.21,1.42,1.18,0.52,1.48
7,Sc-Freiburg,36.36,27.27,36.36,1.36,75.76,54.55,33.33,6.06,2.76,1.33,1.42,75.76,42.42,15.15,81.82,39.39,15.15,1.27,0.06,3.21,47.97,12.64,4.48,6.48,0.18,0.33,0.58,0.15,71.23,0.33,0.27,0.33,0.03,0.15,0.15,0.15,0.64,1.03,1.39,0.91,0.7,1.09
8,Eintracht-Frankfurt,36.36,18.18,45.45,1.27,90.91,75.76,39.39,21.21,3.45,1.7,1.76,81.82,54.55,18.18,84.85,51.52,21.21,2.15,0.12,3.18,50.15,14.42,6.09,4.06,0.0,0.36,0.33,0.09,70.16,0.18,0.06,0.33,0.06,0.06,0.09,0.09,0.58,0.94,1.58,1.82,1.58,0.67
9,Hertha-Bsc,33.33,24.24,42.42,1.24,81.82,72.73,45.45,15.15,3.15,1.42,1.73,72.73,48.48,15.15,72.73,51.52,30.3,2.3,0.12,3.15,45.58,10.33,3.7,5.45,0.12,0.45,0.55,0.3,68.03,0.12,0.33,0.24,0.09,0.39,0.0,0.18,0.61,1.15,1.21,1.7,0.97,1.12
10,1-Fc-Union-Berlin,33.33,15.15,51.52,1.15,90.91,54.55,33.33,12.12,2.91,1.15,1.76,75.76,33.33,6.06,78.79,54.55,24.24,2.15,0.15,3.24,42.03,11.09,3.94,5.12,0.06,0.45,0.27,0.18,71.08,0.21,0.24,0.42,0.0,0.21,0.03,0.06,0.42,1.45,1.3,1.36,0.67,0.79
11,Schalke-04,27.27,36.36,36.36,1.18,81.82,57.58,27.27,18.18,2.79,1.15,1.64,63.64,30.3,15.15,78.79,42.42,24.24,1.97,0.06,3.12,49.33,10.58,4.45,5.33,0.18,0.39,0.36,0.27,70.91,0.36,0.09,0.24,0.42,0.18,0.06,0.12,0.7,0.85,1.45,1.03,1.0,1.06
12,Mainz-Amat,33.33,12.12,54.55,1.12,81.82,66.67,45.45,18.18,3.27,1.33,1.94,66.67,39.39,15.15,84.85,42.42,30.3,2.24,0.09,3.39,43.7,12.91,5.09,6.18,0.12,0.58,0.24,0.12,68.3,0.18,0.15,0.3,0.21,0.33,0.15,0.12,0.73,1.24,1.3,1.82,0.79,1.12
13,1-Fc-Koln,30.3,18.18,51.52,1.09,93.94,72.73,48.48,18.18,3.42,1.52,1.91,84.85,36.36,18.18,81.82,57.58,30.3,2.33,0.12,3.39,46.94,11.79,5.09,5.88,0.21,0.67,0.39,0.36,67.27,0.27,0.03,0.36,0.15,0.36,0.33,0.24,0.79,1.03,1.33,1.55,1.15,0.7
14,Fc-Augsburg,27.27,27.27,45.45,1.09,87.88,57.58,36.36,24.24,3.18,1.33,1.85,75.76,36.36,15.15,78.79,51.52,30.3,1.94,0.06,3.21,38.58,10.55,3.94,4.94,0.12,0.52,0.52,0.15,71.8,0.39,0.27,0.58,0.33,0.12,0.12,0.12,0.39,1.15,1.55,1.3,0.88,0.94
