id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Manchester-City-Fc,75.68,16.22,8.11,2.43,75.68,59.46,45.95,27.03,3.24,2.59,0.65,89.19,70.27,40.54,43.24,16.22,5.41,1.14,0.03,2.05,68.24,18.27,8.16,2.89,0.05,0.14,0.49,0.3,71.95,0.27,0.0,0.24,0.03,0.03,0.03,0.0,0.32,0.84,0.89,1.22,0.97,1.41
1,Liverpool,72.97,21.62,5.41,2.41,83.78,62.16,45.95,16.22,3.14,2.46,0.68,97.3,78.38,40.54,43.24,18.92,5.41,1.32,0.03,2.92,63.54,18.89,7.46,3.05,0.24,0.32,0.54,0.27,73.03,0.32,0.05,0.41,0.05,0.0,0.05,0.11,0.35,1.05,1.41,1.22,1.59,0.89
2,Chelsea-Fc,54.05,29.73,16.22,1.92,78.38,51.35,32.43,16.22,2.86,2.0,0.86,89.19,54.05,35.14,56.76,16.22,8.11,1.7,0.03,2.92,61.92,15.46,6.43,4.0,0.22,0.38,0.3,0.35,68.87,0.38,0.05,0.41,0.11,0.22,0.22,0.08,0.51,1.24,1.08,1.86,1.51,0.97
3,Tottenham-Hotspur-Fc,56.76,13.51,29.73,1.84,72.97,56.76,35.14,18.92,2.81,1.73,1.08,72.97,51.35,32.43,59.46,32.43,16.22,1.84,0.03,2.78,51.57,12.76,5.16,5.11,0.14,0.43,0.43,0.32,73.18,0.22,0.0,0.14,0.05,0.3,0.05,0.11,0.35,0.73,1.59,1.22,0.81,0.51
4,Arsenal,56.76,8.11,35.14,1.78,78.38,56.76,29.73,16.22,2.78,1.51,1.27,70.27,48.65,21.62,64.86,40.54,13.51,1.81,0.11,2.89,52.68,15.11,5.3,4.65,0.35,0.27,0.65,0.35,74.07,0.43,0.08,0.27,0.22,0.16,0.05,0.03,0.24,1.3,1.32,0.92,0.92,0.65
5,Manchester-United-Fc,43.24,27.03,29.73,1.57,78.38,51.35,43.24,27.03,3.05,1.54,1.51,78.38,37.84,27.03,78.38,35.14,18.92,1.97,0.05,3.0,52.59,13.46,5.16,5.51,0.24,0.35,0.41,0.3,71.15,0.41,0.16,0.32,0.11,0.11,0.0,0.08,0.43,1.16,1.32,1.38,1.05,1.22
6,West-Ham-United,43.24,21.62,35.14,1.51,72.97,56.76,37.84,24.32,2.89,1.59,1.3,78.38,45.95,21.62,78.38,43.24,8.11,1.35,0.08,2.49,47.62,12.0,5.24,5.27,0.27,0.22,0.46,0.41,74.23,0.59,0.19,0.27,0.22,0.05,0.08,0.08,0.38,0.65,1.38,1.14,0.78,0.59
7,Leicester-City-Fc,35.14,27.03,37.84,1.32,86.49,62.16,32.43,16.22,3.14,1.57,1.57,83.78,43.24,16.22,81.08,51.35,13.51,1.49,0.03,2.84,52.22,11.46,4.89,5.78,0.19,0.16,0.43,0.22,67.98,0.22,0.14,0.43,0.22,0.03,0.05,0.08,0.57,1.19,1.0,1.89,1.27,1.0
8,Brighton-Amp-Hov,29.73,40.54,29.73,1.3,81.08,32.43,13.51,5.41,2.22,1.05,1.16,64.86,29.73,8.11,70.27,35.14,8.11,1.95,0.05,2.92,54.86,12.68,5.22,5.51,0.24,0.24,0.19,0.08,68.06,0.32,0.19,0.43,0.24,0.3,0.14,0.08,0.62,1.11,1.11,0.97,1.46,0.81
9,Wolverhampton,40.54,16.22,43.24,1.38,54.05,35.14,16.22,8.11,2.08,1.0,1.08,56.76,32.43,8.11,70.27,24.32,8.11,1.7,0.05,2.81,49.86,10.68,4.46,5.35,0.27,0.32,0.22,0.11,74.91,0.3,0.05,0.27,0.0,0.41,0.05,0.14,0.19,0.81,1.68,1.19,0.62,1.11
