,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Bayern-Munchen,0,-15,-17,0,-5,-4,0,-2,-3,0,-16,-2,-1,0,-15,-17,-16,-16,-9,-3,0,0,0,-17,-2,-17,0,0,-6,-1,-9,-16,-1,-17,-14,-10,-1,-14,-5,-8,-5,-9
1,Borussia-Dortmund,0,-10,-15,0,-3,1,-1,1,1,0,-13,-2,1,0,-13,-11,-13,-16,-4,1,-1,-5,-7,-9,-8,-14,-2,0,-4,-5,0,-4,-2,1,-10,-13,-1,-11,-1,-3,-3,-13
2,Rb-Leipzig,0,-3,-13,0,-15,-14,-13,-3,-14,-2,-15,-8,0,0,-15,-14,-15,-8,-11,-4,-5,-1,-1,-14,-15,-10,1,-2,2,-8,-12,-2,-5,-13,-7,-15,-14,-13,2,-9,-4,-9
3,Bayer-Leverkusen,0,-14,-6,0,-5,-4,0,2,1,0,-6,-1,0,-3,-10,-7,-1,-11,-9,-13,2,1,2,-10,3,-1,-6,0,-10,-13,-13,-3,-14,-5,-4,3,-12,-6,-8,-2,-14,-14
4,Borussia-Monchengla,0,-5,-7,0,-3,-9,-9,-12,-9,-3,-11,-1,-2,-3,-12,-11,-8,-11,-12,2,-1,-3,2,-10,-3,-10,-7,-1,-4,-3,-11,-3,-10,-6,2,-7,-10,1,-2,-8,2,-12
5,Eintracht-Frankfurt,-1,-1,-8,0,2,0,-7,-9,-3,0,-8,-1,-2,1,-5,-9,-8,-4,-2,-9,-4,-4,1,-6,2,2,-2,3,-6,-6,-3,-12,3,-8,0,4,-12,1,-7,2,-2,-10
6,Wolfsburg,1,-4,-4,0,0,0,-4,-6,-1,-2,-4,-2,1,1,-5,-2,-5,-1,-9,-4,2,-5,0,4,-2,6,-2,0,5,4,-1,-9,-5,-3,-9,-10,-7,-10,5,-11,-5,1
7,Tsg-1899-Hoffenheim,-1,7,-7,0,7,4,6,3,6,5,-5,6,3,4,2,-4,-2,4,-3,2,4,6,2,-5,-7,6,1,-1,-10,-7,4,5,-5,6,-3,2,4,7,-10,7,-3,1
8,Werder-Bremen,1,6,-4,0,6,-4,0,-1,2,2,-3,8,-1,0,7,-5,-7,3,0,4,2,3,1,1,7,1,6,-3,-4,3,-5,8,-7,-4,-9,4,4,1,-1,-6,-4,0
9,Hertha-Bsc,-1,5,1,0,-4,0,3,2,-1,-1,1,0,-1,-3,-3,5,3,7,8,-8,1,-6,-4,3,-1,0,-4,0,7,-8,5,-5,0,6,-3,-4,-3,4,-1,7,-7,-3
10,Fortuna-Dusseldorf,1,-6,4,0,9,9,-1,2,5,-1,8,-2,-1,-1,4,3,8,9,-7,9,-5,0,-5,1,-3,0,5,0,-4,7,-2,-3,6,5,4,-2,3,9,-4,-5,10,0
11,Mainz-Amat,0,-1,6,0,-5,1,-3,1,-3,-3,6,-2,-1,-2,4,2,4,-2,-3,3,1,7,0,8,-4,3,-4,-1,8,-2,6,-1,3,-3,8,2,3,-2,8,4,-2,9
12,Sc-Freiburg,0,11,5,0,3,-2,3,1,0,0,6,5,-1,2,4,6,7,1,6,3,-4,-2,-2,8,1,-1,8,-2,8,4,10,11,6,10,-4,4,2,2,8,3,-2,9
13,Schalke-04,0,6,9,0,-1,-2,-3,-2,-2,0,6,-1,-1,-1,4,11,3,13,13,2,-1,1,1,-2,1,11,3,0,3,-2,2,3,-3,2,5,6,7,7,0,-3,12,13
14,Fc-Augsburg,0,6,11,0,4,12,10,11,10,5,11,3,6,5,10,9,11,2,3,-1,3,6,-2,6,9,3,2,7,5,5,4,11,14,-2,10,11,9,3,-1,4,-1,10
15,Stuttgart,0,2,13,0,4,7,8,2,6,0,15,-1,0,0,12,15,15,11,11,8,2,2,6,10,-1,10,1,0,0,15,9,4,5,9,15,0,15,-2,8,9,7,8
16,Hannover-96,0,2,16,0,1,5,11,10,5,0,15,1,0,0,14,15,15,10,13,4,4,0,-1,15,12,0,0,0,0,12,16,7,3,12,3,14,7,14,0,15,7,15
17,Fc-Nurnberg,0,14,16,0,5,0,0,0,0,0,13,0,0,0,17,14,9,9,15,4,0,0,7,17,11,11,0,0,10,5,0,9,12,10,16,11,6,9,9,4,14,4
