,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Real-Madrid,0,-17,-19,0,-5,0,-2,-1,-1,0,-18,0,0,0,-17,-19,-18,-18,-19,-15,-1,0,-1,-16,-14,-11,-1,-1,-1,-9,-11,-11,-12,-18,-15,-11,-18,-12,-4,-15,-7,-10
1,Barcelona,0,-10,-16,0,-7,-2,0,-4,-3,0,-14,-2,-1,0,-8,-14,-18,-10,-7,-16,1,0,-1,-18,1,-18,-5,-6,-5,-10,-9,-12,-10,-11,-11,-7,-13,-12,-13,-4,-13,-8
2,Atletico-Madrid,0,-14,-14,0,0,1,-7,-4,0,0,-8,1,1,-2,-8,-7,-12,-1,-1,-10,-5,-2,-1,-15,-2,-14,-3,-2,-17,0,2,-5,2,-2,2,1,1,-4,-17,-5,2,-4
3,Sevilla,-1,3,-15,0,-12,-16,-13,-9,-13,-2,-16,1,-2,-6,-15,-15,-14,-7,-7,-2,1,-7,-7,-10,0,-1,-9,-3,-15,-4,-2,-12,0,-3,-8,-4,3,-16,-15,-5,-7,3
4,Betis,1,-14,-9,0,3,-1,0,-3,-1,1,-8,-2,1,2,-7,-8,-9,-9,-1,-12,-2,2,-7,2,-11,-2,4,2,-5,-4,-15,2,-13,-13,-15,0,-12,-10,-4,4,3,-8
5,Real-Sociedad,0,-2,-10,0,-14,-12,-9,-10,-13,-7,-12,-2,-6,-10,-14,-11,-2,-14,-6,-1,0,-3,-1,-6,-14,-2,-9,-5,3,-14,-9,-9,-5,-9,-12,-10,-12,-3,4,-5,0,1
6,Villarreal,0,-2,-6,0,-5,-3,-2,3,-2,2,-8,-2,2,3,-7,-8,-10,-11,-12,6,3,0,2,1,-7,-12,3,6,-8,-10,2,1,4,-2,1,-4,-7,6,-7,4,-7,4
7,Athletic-Bilbao,0,3,-7,0,-10,-8,-5,-7,-10,-3,-9,-6,-1,-1,-7,-10,-8,-7,-5,4,-2,2,7,-7,-3,-10,-2,-5,-3,6,-6,7,1,-12,-9,-7,1,3,-3,-4,-4,-8
8,Celta,0,-4,-1,0,-8,-8,-9,-8,-6,-1,-3,-6,1,1,-7,-3,-3,-7,-7,-10,4,-6,-6,-10,-4,-5,0,-7,-4,5,-7,5,-8,-5,0,-5,-3,-3,-9,-11,-11,-8
9,Valencia-Cf,-2,8,-2,0,5,3,4,5,3,2,4,5,-3,3,2,2,6,9,9,2,-7,-6,1,-3,3,7,5,-8,4,-8,-3,0,-4,-2,7,9,-1,-8,9,8,-3,2
10,Osasuna,1,1,3,0,3,-2,4,0,-1,-3,4,-6,1,0,2,2,4,-6,-7,0,-3,-1,1,2,-8,-5,3,-3,10,10,2,-2,-4,-5,7,-9,-9,9,8,-2,1,-1
11,Rayo-Vallecano,1,-2,7,0,-1,-2,-7,-6,-4,-3,2,-4,-5,0,6,1,1,3,-5,2,3,8,6,2,3,10,9,8,4,-1,4,7,7,1,5,5,-1,8,0,-7,7,-6
12,Espanyol,-1,2,6,0,3,2,2,-1,2,1,8,7,-1,-6,6,7,4,3,8,11,0,-4,0,11,1,3,-5,-4,1,7,-4,4,11,9,11,-6,10,5,0,-5,6,-6
13,Elche,1,-1,10,0,0,6,-2,-5,1,-2,5,2,-4,-1,9,7,4,6,6,5,3,-6,-4,9,12,10,-2,-6,-3,7,-5,-5,-2,8,-5,10,8,11,-3,9,-4,12
14,Getafe,-2,12,4,0,-4,-4,-5,-5,-5,-5,1,-5,-5,2,-2,1,2,13,13,-5,-4,1,-5,8,5,9,4,3,11,-4,11,-2,9,12,10,5,-1,-2,5,0,-4,-5
