id_jugador,nombre,equipo,posicion,id_partido,titular
101,Jan Oblak,3,Portero,2,1
112,Stefan Savić,3,Defensa,2,1
108,M. Hermoso,3,Defensa,2,1
104,C. Azpilicueta,3,Defensa,2,1
118,R. De Paul,3,Centrocampista,2,1
121,Thomas Lemar,3,Centrocampista,2,1
115,Koke,3,Centrocampista,2,1
116,M. Llorente,3,Centrocampista,2,1
665,Y. Carrasco,3,Delantero,2,1
123,Á. Morata,3,Delantero,2,1
122,A. Griezmann,3,Delantero,2,1
101,Jan Oblak,3,Portero,50,1
107,J. Giménez,3,Defensa,50,1
112,Stefan Savić,3,Defensa,50,1
108,M. Hermoso,3,Defensa,50,1
110,Nahuel Molina,3,Defensa,50,1
115,Koke,3,Centrocampista,50,1
120,Saúl,3,Centrocampista,50,1
116,M. Llorente,3,Centrocampista,50,1
131,Samuel Lino,3,Delantero,50,1
122,A. Griezmann,3,Delantero,50,1
123,Á. Morata,3,Delantero,50,1
101,Jan Oblak,3,Portero,72,1
103,Axel Witsel,3,Defensa,72,1
108,M. Hermoso,3,Defensa,72,1
104,C. Azpilicueta,3,Defensa,72,1
110,Nahuel Molina,3,Defensa,72,1
115,Koke,3,Centrocampista,72,1
120,Saúl,3,Centrocampista,72,1
116,M. Llorente,3,Centrocampista,72,1
129,R. Riquelme,3,Delantero,72,1
122,A. Griezmann,3,Delantero,72,1
126,Ángel Correa,3,Delantero,72,1
101,Jan Oblak,3,Portero,80,1
103,Axel Witsel,3,Defensa,80,1
108,M. Hermoso,3,Defensa,80,1
104,C. Azpilicueta,3,Defensa,80,1
110,Nahuel Molina,3,Defensa,80,1
115,Koke,3,Centrocampista,80,1
118,R. De Paul,3,Centrocampista,80,1
116,M. Llorente,3,Centrocampista,80,1
131,Samuel Lino,3,Delantero,80,1
122,A. Griezmann,3,Delantero,80,1
123,Á. Morata,3,Delantero,80,1
101,Jan Oblak,3,Portero,109,1
103,Axel Witsel,3,Defensa,109,1
108,M. Hermoso,3,Defensa,109,1
112,Stefan Savić,3,Defensa,109,1
110,Nahuel Molina,3,Defensa,109,1
115,Koke,3,Centrocampista,109,1
120,Saúl,3,Centrocampista,109,1
118,R. De Paul,3,Centrocampista,109,1
129,R. Riquelme,3,Delantero,109,1
123,Á. Morata,3,Delantero,109,1
122,A. Griezmann,3,Delantero,109,1
101,Jan Oblak,3,Portero,123,1
107,J. Giménez,3,Defensa,123,1
108,M. Hermoso,3,Defensa,123,1
103,Axel Witsel,3,Defensa,123,1
110,Nahuel Molina,3,Defensa,123,1
115,Koke,3,Centrocampista,123,1
120,Saúl,3,Centrocampista,123,1
118,R. De Paul,3,Centrocampista,123,1
129,R. Riquelme,3,Delantero,123,1
123,Á. Morata,3,Delantero,123,1
122,A. Griezmann,3,Delantero,123,1
101,Jan Oblak,3,Portero,130,1
103,Axel Witsel,3,Defensa,130,1
108,M. Hermoso,3,Defensa,130,1
104,C. Azpilicueta,3,Defensa,130,1
115,Koke,3,Centrocampista,130,1
117,Pablo Barrios,3,Centrocampista,130,1
116,M. Llorente,3,Centrocampista,130,1
131,Samuel Lino,3,Delantero,130,1
126,Ángel Correa,3,Delantero,130,1
122,A. Griezmann,3,Delantero,130,1
123,Á. Morata,3,Delantero,130,1
