id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
2,2,3,1,5,5,3,1,0,0,3,3,45,54,14,7,1
16,16,0,0,4,5,2,1,0,0,2,7,52,47,14,5,2
25,25,0,7,5,5,4,3,0,0,8,3,56,43,12,17,3
31,31,1,0,5,4,7,3,1,0,6,5,49,50,12,8,4
46,46,3,0,5,5,1,5,0,0,5,8,37,62,12,11,5
50,50,3,1,5,5,1,3,0,0,6,11,36,63,10,20,6
63,63,0,2,5,2,3,2,1,1,7,2,54,45,13,5,7
72,72,3,2,4,5,1,3,0,0,5,3,69,30,18,8,8
80,80,2,1,4,5,2,4,0,0,1,4,37,62,14,13,9
93,93,0,3,5,5,3,2,1,0,7,5,36,63,16,12,10
109,109,2,1,5,5,3,2,0,0,4,4,63,36,11,8,11
114,114,2,1,4,5,0,3,0,0,3,4,52,47,9,13,12
123,123,3,1,5,4,0,2,0,0,6,3,49,50,25,11,13
130,130,1,0,5,5,0,0,0,0,7,3,68,32,20,8,14
