id_jugador,nombre,equipo,posicion,id_partido,titular
331,Antonio Sivera,10,Portero,9,1
337,A. Sedlar,10,Defensa,9,1
335,A. Abqar,10,Defensa,9,1
344,Rafa Marín,10,Defensa,9,1
336,A. Gorosabel,10,Defensa,9,1
345,Rubén Duarte,10,Defensa,9,1
347,Ander Guevara,10,Centrocampista,9,1
349,Antonio Blanco,10,Centrocampista,9,1
352,Jon Guridi,10,Centrocampista,9,1
362,Luis Rioja,10,Delantero,9,1
719,M. De La Fuente,10,Delantero,9,1
331,Antonio Sivera,10,Portero,29,1
337,A. Sedlar,10,Defensa,29,1
335,A. Abqar,10,Defensa,29,1
345,Rubén Duarte,10,Defensa,29,1
336,A. Gorosabel,10,Defensa,29,1
350,C. Benavidez,10,Centrocampista,29,1
352,Jon Guridi,10,Centrocampista,29,1
347,Ander Guevara,10,Centrocampista,29,1
362,Luis Rioja,10,Delantero,29,1
361,Kike García,10,Delantero,29,1
365,Xeber Alkain,10,Delantero,29,1
331,Antonio Sivera,10,Portero,49,1
344,Rafa Marín,10,Defensa,49,1
335,A. Abqar,10,Defensa,49,1
345,Rubén Duarte,10,Defensa,49,1
336,A. Gorosabel,10,Defensa,49,1
349,Antonio Blanco,10,Centrocampista,49,1
347,Ander Guevara,10,Centrocampista,49,1
352,Jon Guridi,10,Centrocampista,49,1
362,Luis Rioja,10,Delantero,49,1
356,Álex Sola,10,Delantero,49,1
361,Kike García,10,Delantero,49,1
331,Antonio Sivera,10,Portero,69,1
337,A. Sedlar,10,Defensa,69,1
344,Rafa Marín,10,Defensa,69,1
341,Javi López,10,Defensa,69,1
336,A. Gorosabel,10,Defensa,69,1
347,Ander Guevara,10,Centrocampista,69,1
352,Jon Guridi,10,Centrocampista,69,1
351,Ianis Hagi,10,Centrocampista,69,1
355,A. Rebbach,10,Delantero,69,1
356,Álex Sola,10,Delantero,69,1
363,S. Omorodion,10,Delantero,69,1
331,Antonio Sivera,10,Portero,99,1
337,A. Sedlar,10,Defensa,99,1
335,A. Abqar,10,Defensa,99,1
345,Rubén Duarte,10,Defensa,99,1
336,A. Gorosabel,10,Defensa,99,1
347,Ander Guevara,10,Centrocampista,99,1
349,Antonio Blanco,10,Centrocampista,99,1
352,Jon Guridi,10,Centrocampista,99,1
362,Luis Rioja,10,Delantero,99,1
356,Álex Sola,10,Delantero,99,1
363,S. Omorodion,10,Delantero,99,1
331,Antonio Sivera,10,Portero,109,1
337,A. Sedlar,10,Defensa,109,1
335,A. Abqar,10,Defensa,109,1
345,Rubén Duarte,10,Defensa,109,1
336,A. Gorosabel,10,Defensa,109,1
347,Ander Guevara,10,Centrocampista,109,1
349,Antonio Blanco,10,Centrocampista,109,1
352,Jon Guridi,10,Centrocampista,109,1
362,Luis Rioja,10,Delantero,109,1
356,Álex Sola,10,Delantero,109,1
363,S. Omorodion,10,Delantero,109,1
331,Antonio Sivera,10,Portero,129,1
344,Rafa Marín,10,Defensa,129,1
335,A. Abqar,10,Defensa,129,1
345,Rubén Duarte,10,Defensa,129,1
336,A. Gorosabel,10,Defensa,129,1
341,Javi López,10,Defensa,129,1
349,Antonio Blanco,10,Centrocampista,129,1
347,Ander Guevara,10,Centrocampista,129,1
352,Jon Guridi,10,Centrocampista,129,1
362,Luis Rioja,10,Delantero,129,1
363,S. Omorodion,10,Delantero,129,1
331,Antonio Sivera,10,Portero,145,1
344,Rafa Marín,10,Defensa,145,1
335,A. Abqar,10,Defensa,145,1
341,Javi López,10,Defensa,145,1
336,A. Gorosabel,10,Defensa,145,1
347,Ander Guevara,10,Centrocampista,145,1
349,Antonio Blanco,10,Centrocampista,145,1
352,Jon Guridi,10,Centrocampista,145,1
355,A. Rebbach,10,Delantero,145,1
362,Luis Rioja,10,Delantero,145,1
363,S. Omorodion,10,Delantero,145,1
331,Antonio Sivera,10,Portero,162,1
344,Rafa Marín,10,Defensa,162,1
345,Rubén Duarte,10,Defensa,162,1
343,N. Tenaglia,10,Defensa,162,1
341,Javi López,10,Defensa,162,1
336,A. Gorosabel,10,Defensa,162,1
347,Ander Guevara,10,Centrocampista,162,1
349,Antonio Blanco,10,Centrocampista,162,1
352,Jon Guridi,10,Centrocampista,162,1
362,Luis Rioja,10,Delantero,162,1
363,S. Omorodion,10,Delantero,162,1
