nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Jesús Navas,Juanlu Sánchez,Defensa,Defensa,69,0,0,0,0
Fernando,Djibril Sow,Centrocampista,Centrocampista,69,0,0,0,0
Erik Lamela,Óliver Torres,Delantero,Centrocampista,56,0,0,0,0
Y. En-Nesyri,F. Gattoni,Delantero,Defensa,82,1,0,0,0
Adrià Pedrosa,Tecatito,Defensa,Delantero,97,0,0,0,0
Óliver Torres,Erik Lamela,Centrocampista,Delantero,71,0,0,0,0
Lucas Ocampos,Rafa Mir,Delantero,Delantero,75,0,0,0,1
Djibril Sow,Fernando,Centrocampista,Centrocampista,74,0,0,0,0
Óliver Torres,Erik Lamela,Centrocampista,Delantero,85,0,0,0,1
Lucas Ocampos,B. Soumaré,Delantero,Centrocampista,85,0,0,0,1
Suso,Y. En-Nesyri,Delantero,Delantero,61,0,0,0,0
Rafa Mir,D. Lukebakio,Delantero,Delantero,61,0,0,0,1
Adrià Pedrosa,Kike Salas,Defensa,Defensa,84,0,1,0,0
Jesús Navas,Juanlu Sánchez,Defensa,Defensa,75,0,0,0,1
Djibril Sow,Adnan Januzaj,Centrocampista,Delantero,65,0,1,0,0
D. Lukebakio,B. Soumaré,Delantero,Centrocampista,65,1,0,0,0
Y. En-Nesyri,Rafa Mir,Delantero,Delantero,84,1,0,0,0
Marcos Acuña,Adrià Pedrosa,Defensa,Defensa,46,0,0,0,0
Juanlu Sánchez,Jesús Navas,Defensa,Defensa,78,0,0,0,0
Fernando,Ivan Rakitić,Centrocampista,Centrocampista,37,0,0,0,0
Óliver Torres,Lucas Ocampos,Centrocampista,Delantero,46,0,0,0,0
Suso,Rafa Mir,Delantero,Delantero,81,0,0,0,1
N. Gudelj,Loïc Badé,Defensa,Defensa,77,0,0,0,0
Djibril Sow,Erik Lamela,Centrocampista,Delantero,87,0,0,0,0
Y. En-Nesyri,Rafa Mir,Delantero,Delantero,87,0,0,0,0
D. Lukebakio,Suso,Delantero,Delantero,67,0,0,0,0
Jesús Navas,Mariano,Defensa,Delantero,87,0,0,0,0
Djibril Sow,Juanlu Sánchez,Centrocampista,Defensa,87,0,0,0,0
Óliver Torres,D. Lukebakio,Centrocampista,Delantero,62,0,0,0,0
Lucas Ocampos,Suso,Delantero,Delantero,73,0,0,0,0
T. Nianzou,Kike Salas,Defensa,Defensa,72,0,0,0,0
Marcos Acuña,Adrià Pedrosa,Defensa,Defensa,46,0,0,0,0
Fernando,Óliver Torres,Centrocampista,Centrocampista,93,0,0,1,0
Kike Salas,Adnan Januzaj,Defensa,Delantero,46,0,0,0,0
Djibril Sow,Rafa Mir,Centrocampista,Delantero,72,0,0,0,0
Lucas Ocampos,Suso,Delantero,Delantero,65,0,0,0,0
Loïc Badé,Óliver Torres,Defensa,Centrocampista,65,0,0,0,0
Juanlu Sánchez,T. Nianzou,Defensa,Defensa,65,0,0,0,0
Adrià Pedrosa,Marcão,Defensa,Defensa,80,0,0,0,0
N. Gudelj,Ivan Rakitić,Defensa,Centrocampista,41,0,0,1,0
Djibril Sow,Adnan Januzaj,Centrocampista,Delantero,65,0,0,0,1
Kike Salas,Adrià Pedrosa,Defensa,Defensa,42,0,0,1,0
Jesús Navas,Juanlu Sánchez,Defensa,Defensa,69,0,0,0,1
Ivan Rakitić,Djibril Sow,Centrocampista,Centrocampista,55,0,0,0,0
B. Soumaré,Mariano,Centrocampista,Delantero,55,0,0,0,1
Isaac Romero,Rafa Mir,Delantero,Delantero,55,0,0,0,0
Marcão,Rafa Mir,Defensa,Delantero,71,0,0,0,0
Marcos Acuña,Djibril Sow,Defensa,Centrocampista,59,0,1,0,0
Jesús Navas,Juanlu Sánchez,Defensa,Defensa,71,0,0,1,0
L. Agoumé,Adrià Pedrosa,Centrocampista,Defensa,59,0,0,0,1
Djibril Sow,Óliver Torres,Centrocampista,Centrocampista,59,0,0,1,0
Jesús Navas,Juanlu Sánchez,Defensa,Defensa,64,0,0,0,0
Óliver Torres,Suso,Centrocampista,Delantero,64,0,0,0,0
Djibril Sow,Adrià Pedrosa,Centrocampista,Defensa,88,0,0,0,0
Y. En-Nesyri,Joan Jordán,Delantero,Centrocampista,88,0,0,0,1
Isaac Romero,Erik Lamela,Delantero,Delantero,78,1,0,0,0
