nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Marcos Acuña,Fernando,Defensa,Centrocampista,46,0,0,0,0
Ivan Rakitić,Adrià Pedrosa,Centrocampista,Defensa,46,0,0,0,0
Joan Jordán,Tecatito,Centrocampista,Delantero,75,0,0,0,0
Suso,Rafa Mir,Delantero,Delantero,75,0,0,0,0
Lucas Ocampos,Óliver Torres,Delantero,Centrocampista,60,0,1,0,0
Adrià Pedrosa,Adnan Januzaj,Defensa,Delantero,82,0,0,0,0
Ivan Rakitić,Djibril Sow,Centrocampista,Centrocampista,53,0,0,0,0
Óliver Torres,Rafa Mir,Centrocampista,Delantero,78,0,0,0,0
Suso,Y. En-Nesyri,Delantero,Delantero,53,0,0,0,1
Kike Salas,Adrià Pedrosa,Defensa,Defensa,77,0,0,1,1
Óliver Torres,Djibril Sow,Centrocampista,Centrocampista,85,0,0,0,0
Rafa Mir,Y. En-Nesyri,Delantero,Delantero,70,0,0,0,0
Adrià Pedrosa,Jesús Navas,Defensa,Defensa,82,0,0,0,0
Juanlu Sánchez,Suso,Defensa,Delantero,82,0,0,0,1
Djibril Sow,Fernando,Centrocampista,Centrocampista,66,0,0,0,0
Erik Lamela,Mariano,Delantero,Delantero,75,0,0,0,1
D. Lukebakio,Marcos Acuña,Delantero,Defensa,75,0,0,0,0
Marcos Acuña,Adrià Pedrosa,Defensa,Defensa,81,0,0,0,1
Juanlu Sánchez,Jesús Navas,Defensa,Defensa,73,0,1,0,0
Suso,Óliver Torres,Delantero,Centrocampista,58,0,0,0,0
D. Lukebakio,Y. En-Nesyri,Delantero,Delantero,58,0,0,0,0
Mariano,Rafa Mir,Delantero,Delantero,81,0,0,0,0
Marcos Acuña,D. Lukebakio,Defensa,Delantero,46,0,0,0,0
Djibril Sow,Adrià Pedrosa,Centrocampista,Defensa,46,0,0,0,0
Óliver Torres,Y. En-Nesyri,Centrocampista,Delantero,70,0,0,0,1
Mariano,Suso,Delantero,Delantero,70,0,0,0,0
Loïc Badé,T. Nianzou,Defensa,Defensa,73,0,0,1,0
Fernando,F. Gattoni,Centrocampista,Defensa,90,0,0,0,0
B. Soumaré,Óliver Torres,Centrocampista,Centrocampista,46,0,0,0,0
Lucas Ocampos,Rafa Mir,Delantero,Delantero,90,0,0,0,0
D. Lukebakio,Adnan Januzaj,Delantero,Delantero,73,0,0,0,0
Adrià Pedrosa,Kike Salas,Defensa,Defensa,88,0,0,0,0
Djibril Sow,Óliver Torres,Centrocampista,Centrocampista,83,0,0,0,0
D. Lukebakio,Adnan Januzaj,Delantero,Delantero,33,0,0,1,0
B. Soumaré,Marcão,Centrocampista,Defensa,87,0,0,0,0
Suso,Rafa Mir,Delantero,Delantero,71,0,2,0,0
Y. En-Nesyri,Adnan Januzaj,Delantero,Delantero,81,0,1,0,0
Lucas Ocampos,Manu Bueno,Delantero,Centrocampista,71,1,0,0,0
Loïc Badé,Marcão,Defensa,Defensa,46,0,0,0,0
Djibril Sow,L. Agoumé,Centrocampista,Centrocampista,77,0,0,0,1
Suso,Erik Lamela,Delantero,Delantero,62,0,0,0,0
Isaac Romero,Hannibal,Delantero,Centrocampista,62,1,0,0,0
Lucas Ocampos,Mariano,Delantero,Delantero,77,0,0,0,0
Marcos Acuña,Óliver Torres,Defensa,Centrocampista,54,0,0,0,1
Jesús Navas,Juanlu Sánchez,Defensa,Defensa,76,0,0,0,0
L. Agoumé,Hannibal,Centrocampista,Centrocampista,82,0,0,1,0
Djibril Sow,Diego Hormigo,Centrocampista,Defensa,54,0,0,0,0
Isaac Romero,Adrià Pedrosa,Delantero,Defensa,76,0,1,0,1
Marcos Acuña,Adrià Pedrosa,Defensa,Defensa,46,0,0,0,0
Jesús Navas,Juanlu Sánchez,Defensa,Defensa,94,0,0,0,0
Óliver Torres,Hannibal,Centrocampista,Centrocampista,94,0,0,0,0
Djibril Sow,Suso,Centrocampista,Delantero,70,0,0,0,0
Isaac Romero,Alejo Véliz,Delantero,Delantero,86,0,0,0,0
Kike Salas,Adnan Januzaj,Defensa,Delantero,91,0,0,0,0
Jesús Navas,Juanlu Sánchez,Defensa,Defensa,75,0,0,0,0
Óliver Torres,Suso,Centrocampista,Delantero,75,0,0,0,0
Lucas Ocampos,T. Nianzou,Delantero,Defensa,91,0,0,0,1
Isaac Romero,Alejo Véliz,Delantero,Delantero,75,0,0,0,0
