nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Hamari Traoré,Álex Sola,Defensa,Delantero,74,0,0,0,0
B. Turrientes,Olasagasti,Centrocampista,Centrocampista,80,0,0,0,0
M. Oyarzabal,Umar Sadiq,Delantero,Delantero,73,0,0,0,0
C. Fernández,A. Barrenetxea,Delantero,Delantero,59,0,0,1,0
Take Kubo,Momo Cho,Delantero,Delantero,72,1,0,0,0
Hamari Traoré,Álex Sola,Defensa,Delantero,78,0,0,1,0
B. Turrientes,Jon Pacheco,Centrocampista,Defensa,78,0,0,0,0
A. Barrenetxea,M. Oyarzabal,Delantero,Delantero,64,1,0,0,0
C. Fernández,Umar Sadiq,Delantero,Delantero,64,0,0,0,0
Take Kubo,Momo Cho,Delantero,Delantero,78,0,1,0,0
K. Tierney,Aihen Muñoz,Defensa,Defensa,69,0,0,0,0
Mikel Merino,B. Turrientes,Centrocampista,Centrocampista,83,0,0,0,0
A. Barrenetxea,A. Zakharyan,Delantero,Delantero,79,1,0,0,0
M. Oyarzabal,Momo Cho,Delantero,Delantero,79,0,1,0,1
Take Kubo,Umar Sadiq,Delantero,Delantero,79,2,0,0,0
Igor Zubeldia,Jon Pacheco,Defensa,Defensa,83,0,0,1,0
B. Turrientes,M. Zubimendi,Centrocampista,Centrocampista,58,0,0,0,0
Urko González,M. Oyarzabal,Centrocampista,Delantero,58,0,0,0,0
A. Barrenetxea,Momo Cho,Delantero,Delantero,69,0,0,0,0
Umar Sadiq,Mikel Merino,Delantero,Centrocampista,58,0,0,0,0
R. Le Normand,M. Oyarzabal,Defensa,Delantero,62,1,0,1,0
K. Tierney,Aihen Muñoz,Defensa,Defensa,25,0,0,1,0
Mikel Merino,B. Turrientes,Centrocampista,Centrocampista,81,0,0,0,1
A. Barrenetxea,Jon Pacheco,Delantero,Defensa,62,0,0,0,0
Umar Sadiq,André Silva,Delantero,Delantero,61,0,1,0,0
Igor Zubeldia,R. Le Normand,Defensa,Defensa,70,0,0,0,1
A. Elustondo,Hamari Traoré,Defensa,Defensa,60,0,0,0,0
A. Zakharyan,A. Barrenetxea,Delantero,Delantero,46,0,0,0,0
M. Oyarzabal,Umar Sadiq,Delantero,Delantero,83,0,0,0,0
C. Fernández,Take Kubo,Delantero,Delantero,60,0,0,0,0
Hamari Traoré,A. Elustondo,Defensa,Defensa,63,0,0,0,0
A. Barrenetxea,Momo Cho,Delantero,Delantero,79,0,0,0,0
M. Oyarzabal,C. Fernández,Delantero,Delantero,84,0,0,0,0
Hamari Traoré,A. Elustondo,Defensa,Defensa,84,0,1,0,1
Mikel Merino,B. Turrientes,Centrocampista,Centrocampista,75,0,0,0,1
A. Barrenetxea,A. Zakharyan,Delantero,Delantero,67,0,0,0,0
Umar Sadiq,M. Oyarzabal,Delantero,Delantero,75,1,0,0,0
Take Kubo,Momo Cho,Delantero,Delantero,84,0,0,0,0
K. Tierney,Aihen Muñoz,Defensa,Defensa,84,0,0,0,0
Mikel Merino,Olasagasti,Centrocampista,Centrocampista,84,0,0,0,0
A. Zakharyan,B. Turrientes,Delantero,Centrocampista,59,0,0,0,0
M. Oyarzabal,J. Magunazelaia,Delantero,Centrocampista,75,0,0,0,0
André Silva,Umar Sadiq,Delantero,Delantero,58,0,0,0,0
K. Tierney,Aihen Muñoz,Defensa,Defensa,93,0,0,0,0
Brais Méndez,A. Barrenetxea,Centrocampista,Delantero,86,0,0,0,0
M. Oyarzabal,Umar Sadiq,Delantero,Delantero,86,0,0,0,1
André Silva,Unai Marrero,Delantero,Portero,39,0,0,0,0
Take Kubo,A. Zakharyan,Delantero,Delantero,93,0,0,0,0
R. Le Normand,Olasagasti,Defensa,Centrocampista,83,0,0,1,0
Igor Zubeldia,S. Becker,Defensa,Delantero,62,0,0,0,0
A. Zakharyan,Brais Méndez,Delantero,Centrocampista,29,0,0,1,0
André Silva,M. Oyarzabal,Delantero,Delantero,62,0,0,0,0
Umar Sadiq,Urko González,Delantero,Centrocampista,62,0,0,0,0
Jon Aramburu,Olasagasti,Defensa,Centrocampista,72,0,0,0,0
Mikel Merino,Umar Sadiq,Centrocampista,Delantero,62,0,0,0,0
B. Turrientes,Hamari Traoré,Centrocampista,Defensa,72,0,0,0,0
A. Zakharyan,Brais Méndez,Delantero,Centrocampista,62,0,0,0,0
André Silva,A. Barrenetxea,Delantero,Delantero,62,0,0,0,0
Hamari Traoré,Jon Aramburu,Defensa,Defensa,46,0,0,1,0
Brais Méndez,Mikel Merino,Centrocampista,Centrocampista,64,0,0,0,0
A. Zakharyan,S. Becker,Delantero,Delantero,72,0,0,1,1
A. Barrenetxea,Olasagasti,Delantero,Centrocampista,7,0,0,1,0
André Silva,Umar Sadiq,Delantero,Delantero,65,0,0,0,1
