id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
4,4,1,2,4,4,3,2,1,0,8,1,55,45,9,10,1
14,14,4,3,5,5,1,2,0,0,4,4,33,66,14,12,2
27,27,1,2,3,5,2,1,0,0,6,6,51,48,21,8,3
31,31,1,0,5,4,7,3,1,0,6,5,49,50,12,8,4
48,48,1,0,5,5,3,5,0,0,7,3,43,56,26,14,5
55,55,0,0,5,3,2,3,0,0,7,4,43,56,16,15,6
62,62,5,1,5,5,3,2,0,0,9,4,46,53,18,10,7
73,73,1,0,3,5,2,3,0,0,13,3,58,41,18,12,8
88,88,2,2,5,5,5,2,0,0,12,2,63,36,22,7,9
97,97,1,1,4,5,5,2,0,0,4,6,49,51,17,14,10
104,104,2,2,5,5,6,4,0,0,2,4,34,65,10,20,11
111,111,1,1,5,4,2,5,1,0,4,6,38,61,15,13,12
120,120,1,1,4,3,1,1,0,0,9,5,60,39,13,14,13
133,133,2,1,5,5,2,1,0,2,4,4,48,51,11,8,14
147,147,1,1,3,5,3,3,0,0,8,4,56,43,18,5,15
158,158,1,0,5,3,2,2,0,0,4,12,33,66,6,19,16
166,166,0,3,3,3,3,3,0,0,4,2,57,42,12,14,17
175,175,0,3,4,4,2,1,0,0,6,4,51,48,12,12,18
187,187,0,2,5,5,3,1,0,0,5,4,60,39,11,15,19
197,197,2,3,5,5,4,3,0,0,5,4,68,31,19,16,20
202,202,5,1,5,5,0,2,0,0,4,5,55,44,12,9,21
217,217,1,1,5,4,3,0,1,0,2,4,43,56,10,11,22
226,226,1,2,5,5,2,3,0,0,6,0,67,32,22,10,23
237,237,1,0,5,5,2,1,0,0,2,7,39,60,10,16,24
248,248,0,0,4,5,0,1,0,0,7,2,53,46,14,1,25
256,256,1,0,3,5,1,3,0,0,7,2,63,36,16,4,26
