nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Guido Rodríguez,Paul,Centrocampista,Centrocampista,91,0,0,0,1
Isco,Aitor Ruibal,Centrocampista,Delantero,71,0,0,0,0
Ayoze,A. Guardado,Delantero,Centrocampista,84,1,0,0,0
Luiz Henrique,Rodri,Delantero,Centrocampista,71,0,1,1,0
Borja Iglesias,Willian José,Delantero,Delantero,46,0,0,0,1
Abner Vinícius,J. Miranda,Defensa,Defensa,58,0,0,0,1
Marc Roca,A. Guardado,Centrocampista,Centrocampista,74,0,0,0,0
Guido Rodríguez,Paul,Centrocampista,Centrocampista,65,0,0,0,1
Aitor Ruibal,Rodri,Delantero,Centrocampista,57,0,1,0,0
Willian José,Borja Iglesias,Delantero,Delantero,74,1,0,0,0
Rui Silva,Fran Vieites,Portero,Portero,46,0,0,1,0
Marc Roca,Rodri,Centrocampista,Centrocampista,66,0,0,0,0
Isco,Juan Cruz,Centrocampista,Delantero,66,0,0,0,0
Ayoze,Guido Rodríguez,Delantero,Centrocampista,66,0,0,0,0
Luiz Henrique,Ez Abde,Delantero,Delantero,46,0,0,0,0
A. Guardado,Borja Iglesias,Centrocampista,Delantero,73,0,0,0,0
Isco,Marc Roca,Centrocampista,Centrocampista,81,0,0,0,0
Ez Abde,Rodri,Delantero,Centrocampista,58,0,0,0,0
Assane Diao,Juan Cruz,Delantero,Delantero,81,1,0,0,0
Ayoze,W. Carvalho,Delantero,Centrocampista,73,0,1,0,0
Marc Roca,Willian José,Centrocampista,Delantero,76,0,0,0,0
Guido Rodríguez,W. Carvalho,Centrocampista,Centrocampista,46,0,0,0,1
Rodri,Ez Abde,Centrocampista,Delantero,65,0,0,0,0
Assane Diao,A. Guardado,Delantero,Centrocampista,76,0,0,0,0
Ayoze,Aitor Ruibal,Delantero,Delantero,89,1,0,0,0
G. Pezzella,W. Carvalho,Defensa,Centrocampista,60,0,0,0,1
A. Guardado,R. Visus,Centrocampista,Defensa,60,0,0,0,1
Rodri,Ez Abde,Centrocampista,Delantero,72,0,0,0,0
Assane Diao,Luiz Henrique,Delantero,Delantero,72,0,0,0,0
J. Miranda,Abner Vinícius,Defensa,Defensa,65,0,0,0,1
Assane Diao,Ez Abde,Delantero,Delantero,64,0,0,0,0
Willian José,Luiz Henrique,Delantero,Delantero,76,0,0,0,0
G. Pezzella,Sokratis,Defensa,Defensa,83,0,0,0,0
Ayoze,Ez Abde,Delantero,Delantero,46,0,0,0,0
Assane Diao,Luiz Henrique,Delantero,Delantero,74,0,0,0,1
Willian José,Aitor Ruibal,Delantero,Delantero,30,0,0,0,0
Sergi Altimira,W. Carvalho,Centrocampista,Centrocampista,73,0,0,0,0
Ez Abde,Rodri,Delantero,Centrocampista,72,0,0,0,0
Willian José,Assane Diao,Delantero,Delantero,59,0,0,0,0
W. Carvalho,Sergi Altimira,Centrocampista,Centrocampista,66,0,0,0,1
Isco,Rodri,Centrocampista,Centrocampista,89,0,1,0,0
Assane Diao,Luiz Henrique,Delantero,Delantero,58,0,0,0,0
Borja Iglesias,Willian José,Delantero,Delantero,58,0,0,0,0
G. Pezzella,Rodri,Defensa,Centrocampista,46,0,0,1,0
Nabil Fekir,Willian José,Centrocampista,Delantero,67,0,1,0,0
Assane Diao,R. Visus,Delantero,Defensa,46,0,0,0,0
Luiz Henrique,Juan Cruz,Delantero,Delantero,84,0,0,0,0
Marc Roca,Aitor Ruibal,Centrocampista,Delantero,90,0,0,0,0
Nabil Fekir,Chimy Ávila,Centrocampista,Delantero,78,0,0,0,0
Pablo Fornals,Sergi Altimira,Centrocampista,Centrocampista,90,1,0,0,0
Ez Abde,Rodri,Delantero,Centrocampista,70,0,0,0,0
Willian José,W. Carvalho,Delantero,Centrocampista,78,1,1,0,0
Héctor Bellerín,J. Miranda,Defensa,Defensa,72,0,0,0,0
Marc Roca,Guido Rodríguez,Centrocampista,Centrocampista,46,0,0,0,0
Johnny Cardoso,Ez Abde,Centrocampista,Delantero,90,0,1,0,0
Rodri,W. Carvalho,Centrocampista,Centrocampista,46,0,0,0,0
Chimy Ávila,Ayoze,Delantero,Delantero,72,0,0,0,0
Johnny Cardoso,Isco,Centrocampista,Centrocampista,54,0,0,0,0
Nabil Fekir,Assane Diao,Centrocampista,Delantero,68,0,0,0,0
Pablo Fornals,Rodri,Centrocampista,Centrocampista,82,0,0,0,0
Ayoze,Ez Abde,Delantero,Delantero,82,0,0,0,1
Willian José,W. Carvalho,Delantero,Centrocampista,68,0,0,0,0
Chadi Riad,Sokratis,Defensa,Defensa,46,0,0,0,1
Abner Vinícius,J. Miranda,Defensa,Defensa,77,0,0,0,0
Nabil Fekir,W. Carvalho,Centrocampista,Centrocampista,62,0,0,0,0
Ayoze,Chimy Ávila,Delantero,Delantero,62,0,0,0,0
Chimy Ávila,Rodri,Delantero,Centrocampista,62,0,0,1,1
