id_jugador,nombre,equipo,posicion,id_partido,titular
197,Álex Remiro,6,Portero,7,1
211,R. Le Normand,6,Defensa,7,1
204,Igor Zubeldia,6,Defensa,7,1
202,Aihen Muñoz,6,Defensa,7,1
203,Hamari Traoré,6,Defensa,7,1
215,M. Zubimendi,6,Centrocampista,7,1
212,B. Turrientes,6,Centrocampista,7,1
213,Brais Méndez,6,Centrocampista,7,1
227,M. Oyarzabal,6,Delantero,7,1
225,C. Fernández,6,Delantero,7,1
229,Take Kubo,6,Delantero,7,1
197,Álex Remiro,6,Portero,17,1
211,R. Le Normand,6,Defensa,17,1
204,Igor Zubeldia,6,Defensa,17,1
202,Aihen Muñoz,6,Defensa,17,1
203,Hamari Traoré,6,Defensa,17,1
215,M. Zubimendi,6,Centrocampista,17,1
212,B. Turrientes,6,Centrocampista,17,1
213,Brais Méndez,6,Centrocampista,17,1
220,A. Barrenetxea,6,Delantero,17,1
225,C. Fernández,6,Delantero,17,1
229,Take Kubo,6,Delantero,17,1
197,Álex Remiro,6,Portero,39,1
211,R. Le Normand,6,Defensa,39,1
204,Igor Zubeldia,6,Defensa,39,1
210,K. Tierney,6,Defensa,39,1
203,Hamari Traoré,6,Defensa,39,1
215,M. Zubimendi,6,Centrocampista,39,1
216,Mikel Merino,6,Centrocampista,39,1
213,Brais Méndez,6,Centrocampista,39,1
220,A. Barrenetxea,6,Delantero,39,1
227,M. Oyarzabal,6,Delantero,39,1
229,Take Kubo,6,Delantero,39,1
197,Álex Remiro,6,Portero,58,1
211,R. Le Normand,6,Defensa,58,1
204,Igor Zubeldia,6,Defensa,58,1
202,Aihen Muñoz,6,Defensa,58,1
203,Hamari Traoré,6,Defensa,58,1
212,B. Turrientes,6,Centrocampista,58,1
219,Urko González,6,Centrocampista,58,1
213,Brais Méndez,6,Centrocampista,58,1
220,A. Barrenetxea,6,Delantero,58,1
229,Take Kubo,6,Delantero,58,1
230,Umar Sadiq,6,Delantero,58,1
197,Álex Remiro,6,Portero,70,1
211,R. Le Normand,6,Defensa,70,1
204,Igor Zubeldia,6,Defensa,70,1
210,K. Tierney,6,Defensa,70,1
203,Hamari Traoré,6,Defensa,70,1
216,Mikel Merino,6,Centrocampista,70,1
215,M. Zubimendi,6,Centrocampista,70,1
213,Brais Méndez,6,Centrocampista,70,1
220,A. Barrenetxea,6,Delantero,70,1
229,Take Kubo,6,Delantero,70,1
230,Umar Sadiq,6,Delantero,70,1
197,Álex Remiro,6,Portero,96,1
209,Jon Pacheco,6,Defensa,96,1
204,Igor Zubeldia,6,Defensa,96,1
202,Aihen Muñoz,6,Defensa,96,1
200,A. Elustondo,6,Defensa,96,1
216,Mikel Merino,6,Centrocampista,96,1
215,M. Zubimendi,6,Centrocampista,96,1
213,Brais Méndez,6,Centrocampista,96,1
221,A. Zakharyan,6,Delantero,96,1
227,M. Oyarzabal,6,Delantero,96,1
225,C. Fernández,6,Delantero,96,1
197,Álex Remiro,6,Portero,115,1
211,R. Le Normand,6,Defensa,115,1
204,Igor Zubeldia,6,Defensa,115,1
202,Aihen Muñoz,6,Defensa,115,1
203,Hamari Traoré,6,Defensa,115,1
216,Mikel Merino,6,Centrocampista,115,1
215,M. Zubimendi,6,Centrocampista,115,1
213,Brais Méndez,6,Centrocampista,115,1
220,A. Barrenetxea,6,Delantero,115,1
227,M. Oyarzabal,6,Delantero,115,1
229,Take Kubo,6,Delantero,115,1
197,Álex Remiro,6,Portero,133,1
211,R. Le Normand,6,Defensa,133,1
204,Igor Zubeldia,6,Defensa,133,1
202,Aihen Muñoz,6,Defensa,133,1
203,Hamari Traoré,6,Defensa,133,1
216,Mikel Merino,6,Centrocampista,133,1
215,M. Zubimendi,6,Centrocampista,133,1
213,Brais Méndez,6,Centrocampista,133,1
220,A. Barrenetxea,6,Delantero,133,1
230,Umar Sadiq,6,Delantero,133,1
229,Take Kubo,6,Delantero,133,1
197,Álex Remiro,6,Portero,165,1
211,R. Le Normand,6,Defensa,165,1
204,Igor Zubeldia,6,Defensa,165,1
210,K. Tierney,6,Defensa,165,1
203,Hamari Traoré,6,Defensa,165,1
215,M. Zubimendi,6,Centrocampista,165,1
216,Mikel Merino,6,Centrocampista,165,1
221,A. Zakharyan,6,Delantero,165,1
227,M. Oyarzabal,6,Delantero,165,1
223,André Silva,6,Delantero,165,1
229,Take Kubo,6,Delantero,165,1
197,Álex Remiro,6,Portero,186,1
211,R. Le Normand,6,Defensa,186,1
204,Igor Zubeldia,6,Defensa,186,1
210,K. Tierney,6,Defensa,186,1
203,Hamari Traoré,6,Defensa,186,1
215,M. Zubimendi,6,Centrocampista,186,1
216,Mikel Merino,6,Centrocampista,186,1
213,Brais Méndez,6,Centrocampista,186,1
227,M. Oyarzabal,6,Delantero,186,1
223,André Silva,6,Delantero,186,1
229,Take Kubo,6,Delantero,186,1
197,Álex Remiro,6,Portero,216,1
211,R. Le Normand,6,Defensa,216,1
204,Igor Zubeldia,6,Defensa,216,1
209,Jon Pacheco,6,Defensa,216,1
207,Jon Aramburu,6,Defensa,216,1
206,Javi Galán,6,Defensa,216,1
215,M. Zubimendi,6,Centrocampista,216,1
212,B. Turrientes,6,Centrocampista,216,1
221,A. Zakharyan,6,Delantero,216,1
223,André Silva,6,Delantero,216,1
230,Umar Sadiq,6,Delantero,216,1
197,Álex Remiro,6,Portero,236,1
209,Jon Pacheco,6,Defensa,236,1
204,Igor Zubeldia,6,Defensa,236,1
206,Javi Galán,6,Defensa,236,1
207,Jon Aramburu,6,Defensa,236,1
215,M. Zubimendi,6,Centrocampista,236,1
216,Mikel Merino,6,Centrocampista,236,1
212,B. Turrientes,6,Centrocampista,236,1
221,A. Zakharyan,6,Delantero,236,1
223,André Silva,6,Delantero,236,1
229,Take Kubo,6,Delantero,236,1
197,Álex Remiro,6,Portero,257,1
209,Jon Pacheco,6,Defensa,257,1
211,R. Le Normand,6,Defensa,257,1
206,Javi Galán,6,Defensa,257,1
203,Hamari Traoré,6,Defensa,257,1
215,M. Zubimendi,6,Centrocampista,257,1
213,Brais Méndez,6,Centrocampista,257,1
221,A. Zakharyan,6,Delantero,257,1
229,Take Kubo,6,Delantero,257,1
220,A. Barrenetxea,6,Delantero,257,1
223,André Silva,6,Delantero,257,1
197,Álex Remiro,6,Portero,286,1
211,R. Le Normand,6,Defensa,286,1
204,Igor Zubeldia,6,Defensa,286,1
206,Javi Galán,6,Defensa,286,1
203,Hamari Traoré,6,Defensa,286,1
215,M. Zubimendi,6,Centrocampista,286,1
216,Mikel Merino,6,Centrocampista,286,1
213,Brais Méndez,6,Centrocampista,286,1
228,S. Becker,6,Delantero,286,1
227,M. Oyarzabal,6,Delantero,286,1
229,Take Kubo,6,Delantero,286,1
197,Álex Remiro,6,Portero,308,1
211,R. Le Normand,6,Defensa,308,1
204,Igor Zubeldia,6,Defensa,308,1
206,Javi Galán,6,Defensa,308,1
203,Hamari Traoré,6,Defensa,308,1
216,Mikel Merino,6,Centrocampista,308,1
215,M. Zubimendi,6,Centrocampista,308,1
220,A. Barrenetxea,6,Delantero,308,1
221,A. Zakharyan,6,Delantero,308,1
227,M. Oyarzabal,6,Delantero,308,1
228,S. Becker,6,Delantero,308,1
197,Álex Remiro,6,Portero,326,1
211,R. Le Normand,6,Defensa,326,1
204,Igor Zubeldia,6,Defensa,326,1
206,Javi Galán,6,Defensa,326,1
201,Á. Odriozola,6,Defensa,326,1
215,M. Zubimendi,6,Centrocampista,326,1
212,B. Turrientes,6,Centrocampista,326,1
216,Mikel Merino,6,Centrocampista,326,1
229,Take Kubo,6,Delantero,326,1
220,A. Barrenetxea,6,Delantero,326,1
227,M. Oyarzabal,6,Delantero,326,1
