id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
5,5,1,1,3,5,3,2,0,0,3,6,69,30,5,12,1
23,23,0,0,5,4,1,4,0,0,5,7,51,48,11,8,3
59,59,1,0,5,5,6,4,1,0,6,7,57,42,10,2,6
78,78,2,1,5,3,2,1,0,0,4,5,73,26,16,11,8
90,90,0,1,5,5,4,3,0,1,10,5,61,38,12,12,10
114,114,2,1,4,5,0,3,0,0,3,4,52,47,9,13,12
149,149,2,0,5,5,0,5,0,1,4,4,70,29,11,12,15
168,168,1,1,4,5,1,3,0,0,4,6,64,35,7,13,17
188,188,1,2,4,5,5,2,1,0,5,10,44,55,12,15,19
199,199,3,0,5,5,4,3,0,0,4,6,55,44,8,17,20
219,219,1,2,5,5,3,3,0,0,1,6,53,46,7,13,22
239,239,2,0,5,4,2,0,0,0,5,0,72,27,8,7,24
259,259,1,1,5,5,2,1,0,0,6,7,72,27,9,6,26
278,278,0,2,5,5,3,3,0,0,10,3,71,28,14,7,28
288,288,0,1,5,5,2,2,0,0,11,3,65,34,21,3,29
309,309,0,2,4,4,3,3,1,0,6,2,62,37,5,10,31
328,328,0,2,5,5,1,3,0,0,4,2,60,39,10,6,33
