id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
19,19,1,0,5,5,0,0,0,0,6,4,38,61,9,7,2
34,34,1,0,5,5,3,3,0,0,3,5,45,54,11,10,4
48,48,1,0,5,5,3,5,0,0,7,3,43,56,26,14,5
68,68,2,0,5,5,0,1,0,0,7,2,47,52,21,16,7
89,89,1,2,5,5,4,4,0,0,7,2,49,50,9,8,9
101,101,1,2,5,4,3,1,0,0,3,2,40,59,10,10,11
128,128,1,1,5,4,1,1,0,0,8,3,45,54,11,6,13
131,131,1,0,5,5,1,2,0,0,7,6,39,60,12,15,14
152,152,0,1,5,4,3,4,0,0,12,3,40,59,19,9,16
170,170,1,0,5,3,1,3,0,0,5,2,50,49,19,5,18
204,204,0,2,5,4,4,1,1,0,12,0,43,56,16,10,21
225,225,1,1,5,5,4,3,1,1,2,9,22,77,3,16,23
242,242,5,0,5,5,2,2,0,0,3,5,35,64,13,11,25
263,263,3,3,4,5,4,1,0,0,4,4,26,73,16,14,27
292,292,1,0,4,5,5,1,0,1,6,1,69,30,14,8,30
316,316,4,1,5,5,1,0,0,0,8,4,31,68,21,9,32
