id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Manchester-City-Fc,70.27,13.51,16.22,2.24,81.08,48.65,32.43,21.62,2.97,2.11,0.86,91.89,59.46,32.43,51.35,21.62,8.11,1.19,0.05,2.0,63.92,15.08,6.49,2.86,0.11,0.16,0.38,0.22,69.61,0.27,0.05,0.35,0.08,0.03,0.03,0.05,0.3,1.0,0.65,1.73,1.05,1.43
1,Manchester-United-Fc,54.05,29.73,16.22,1.92,67.57,59.46,45.95,24.32,3.08,1.92,1.16,78.38,51.35,35.14,64.86,29.73,10.81,1.7,0.03,2.57,56.35,13.73,5.24,4.22,0.19,0.24,0.35,0.3,72.55,0.46,0.08,0.24,0.05,0.03,0.08,0.05,0.41,0.86,1.24,1.0,1.49,1.27
2,Liverpool,51.35,24.32,24.32,1.78,78.38,51.35,29.73,13.51,2.92,1.78,1.14,78.38,54.05,27.03,70.27,18.92,10.81,1.03,0.0,2.68,62.27,15.54,6.57,3.27,0.19,0.27,0.41,0.27,71.59,0.43,0.05,0.19,0.05,0.05,0.16,0.08,0.43,0.92,1.24,1.0,1.32,0.84
3,Chelsea-Fc,51.35,27.03,21.62,1.81,67.57,43.24,27.03,13.51,2.46,1.54,0.92,72.97,48.65,24.32,51.35,21.62,13.51,1.27,0.05,2.84,61.03,14.0,5.84,4.27,0.22,0.32,0.3,0.27,69.18,0.22,0.19,0.38,0.05,0.11,0.0,0.19,0.3,1.16,1.19,1.49,1.11,1.22
4,Leicester-City-Fc,54.05,16.22,29.73,1.78,89.19,62.16,27.03,16.22,3.03,1.78,1.24,83.78,56.76,21.62,70.27,35.14,16.22,1.65,0.0,2.59,54.92,12.35,5.49,4.7,0.16,0.22,0.43,0.16,69.57,0.27,0.19,0.32,0.19,0.22,0.0,0.05,0.41,1.24,0.89,1.35,0.86,0.7
5,West-Ham-United,48.65,21.62,29.73,1.68,75.68,62.16,32.43,16.22,2.86,1.59,1.27,81.08,48.65,27.03,72.97,37.84,16.22,1.32,0.08,2.57,42.86,12.11,4.46,4.81,0.14,0.22,0.35,0.24,74.23,0.35,0.19,0.41,0.11,0.11,0.08,0.05,0.35,0.81,1.35,1.0,0.7,0.76
6,Tottenham-Hotspur-Fc,45.95,21.62,32.43,1.59,81.08,54.05,32.43,10.81,2.89,1.73,1.16,83.78,45.95,21.62,67.57,35.14,13.51,1.49,0.05,2.95,51.38,11.49,4.35,5.19,0.22,0.43,0.51,0.41,70.83,0.22,0.16,0.51,0.03,0.08,0.11,0.03,0.49,1.24,1.19,1.65,0.78,0.89
7,Arsenal,45.95,18.92,35.14,1.57,67.57,54.05,24.32,5.41,2.49,1.43,1.05,67.57,40.54,29.73,70.27,24.32,10.81,1.32,0.14,3.0,53.7,11.78,5.3,4.41,0.38,0.24,0.43,0.41,71.36,0.3,0.19,0.3,0.05,0.14,0.11,0.08,0.43,1.19,1.3,1.43,1.43,1.41
8,Leeds-United-Afc,45.95,13.51,40.54,1.51,72.97,56.76,32.43,21.62,3.03,1.59,1.43,72.97,45.95,24.32,67.57,35.14,21.62,1.59,0.03,2.81,57.49,13.35,6.0,5.62,0.24,0.32,0.38,0.3,64.91,0.35,0.19,0.14,0.32,0.16,0.19,0.19,0.81,0.89,0.92,0.97,0.41,0.73
9,Everton-Fc,45.95,21.62,32.43,1.59,64.86,40.54,21.62,10.81,2.43,1.27,1.16,75.68,32.43,10.81,67.57,40.54,8.11,1.54,0.05,2.78,46.89,10.51,4.38,5.92,0.24,0.3,0.38,0.22,71.85,0.16,0.14,0.46,0.14,0.03,0.22,0.19,0.35,0.84,1.41,1.05,1.68,0.35
10,Aston-Villa-Fc,40.54,18.92,40.54,1.41,70.27,56.76,21.62,10.81,2.65,1.43,1.22,78.38,35.14,18.92,59.46,43.24,16.22,1.81,0.11,2.38,48.59,13.62,5.7,5.0,0.19,0.27,0.27,0.24,72.56,0.22,0.05,0.32,0.0,0.0,0.0,0.16,0.11,0.86,1.24,0.65,0.78,0.62
11,Newcastle-United-Fc,29.73,24.32,45.95,1.14,89.19,48.65,24.32,16.22,2.86,1.19,1.68,67.57,35.14,13.51,83.78,54.05,18.92,1.76,0.08,2.84,38.32,10.38,4.22,5.97,0.24,0.32,0.3,0.11,72.12,0.41,0.11,0.46,0.11,0.32,0.11,0.11,0.35,1.05,1.32,1.43,1.08,1.11
