id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Real-Madrid,70.27,18.92,10.81,2.3,72.97,62.16,35.14,24.32,3.0,2.16,0.84,81.08,64.86,35.14,59.46,16.22,5.41,2.05,0.0,4.27,60.49,17.14,5.65,4.03,0.24,0.76,0.68,0.54,72.41,0.38,0.16,0.51,0.11,0.11,0.08,0.08,0.51,1.68,2.0,1.24,1.19,1.08
1,Barcelona,56.76,27.03,16.22,1.97,70.27,54.05,37.84,16.22,2.81,1.84,0.97,81.08,51.35,35.14,70.27,24.32,2.7,2.54,0.14,4.16,64.51,13.62,5.59,3.43,0.62,0.46,0.54,0.38,71.16,0.35,0.19,0.43,0.14,0.19,0.08,0.14,0.7,1.68,1.65,1.65,0.97,1.11
2,Atletico-Madrid,54.05,21.62,24.32,1.84,75.68,56.76,29.73,16.22,2.84,1.7,1.14,81.08,59.46,21.62,67.57,35.14,8.11,2.97,0.19,4.51,50.92,12.35,5.38,3.95,0.46,0.68,0.54,0.41,65.22,0.49,0.49,0.59,0.35,0.3,0.3,0.19,1.35,1.86,1.11,1.54,1.49,1.19
3,Sevilla,45.95,43.24,10.81,1.81,64.86,29.73,18.92,10.81,2.22,1.41,0.81,81.08,37.84,13.51,56.76,18.92,5.41,2.57,0.11,4.7,59.57,11.22,4.59,4.27,0.49,1.0,0.38,0.38,65.57,0.41,0.27,0.38,0.27,0.27,0.11,0.14,1.86,1.27,1.43,1.54,1.14,1.62
4,Betis,51.35,18.92,29.73,1.73,78.38,54.05,32.43,16.22,2.76,1.68,1.08,72.97,48.65,29.73,67.57,32.43,8.11,2.35,0.16,4.22,54.19,13.51,4.57,5.59,0.24,0.86,0.7,0.51,70.33,0.41,0.08,0.89,0.08,0.11,0.0,0.16,0.68,1.59,1.78,1.89,1.46,1.03
5,Real-Sociedad,45.95,29.73,24.32,1.68,56.76,29.73,18.92,8.11,2.0,1.05,0.95,70.27,29.73,5.41,45.95,24.32,13.51,2.0,0.11,4.7,54.65,11.51,4.92,4.65,0.16,0.86,0.35,0.27,71.64,0.14,0.16,0.38,0.14,0.14,0.05,0.08,0.65,1.84,2.14,1.46,1.24,1.3
6,Villarreal,40.54,29.73,29.73,1.51,70.27,45.95,29.73,18.92,2.65,1.65,1.0,70.27,43.24,24.32,64.86,29.73,5.41,2.16,0.03,4.81,57.7,12.16,5.38,5.03,0.27,0.59,0.59,0.57,69.08,0.24,0.3,0.68,0.3,0.24,0.22,0.11,0.73,2.32,1.65,1.84,1.03,1.51
7,Athletic-Bilbao,37.84,35.14,27.03,1.49,62.16,35.14,21.62,8.11,2.11,1.16,0.95,64.86,35.14,13.51,64.86,21.62,5.41,2.35,0.11,4.73,48.32,12.27,6.03,4.22,0.38,0.59,0.46,0.24,69.84,0.54,0.16,1.11,0.24,0.08,0.05,0.08,0.95,1.95,1.76,1.3,1.08,0.92
8,Valencia-Cf,27.03,40.54,32.43,1.22,75.68,51.35,29.73,18.92,2.68,1.24,1.43,78.38,27.03,13.51,70.27,40.54,24.32,3.54,0.22,4.7,43.43,10.62,4.65,4.57,0.46,1.05,0.54,0.19,71.25,0.22,0.16,0.54,0.11,0.19,0.27,0.22,0.81,1.43,2.24,1.89,1.03,1.19
9,Osasuna,29.73,29.73,40.54,1.19,72.97,40.54,29.73,13.51,2.43,1.03,1.41,62.16,29.73,10.81,70.27,40.54,21.62,2.16,0.05,4.59,45.3,11.22,4.62,4.78,0.19,0.68,0.51,0.24,73.75,0.65,0.22,0.46,0.11,0.11,0.24,0.0,0.32,2.22,2.05,1.3,1.16,1.08
