id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
18,Bayern-Munchen,60.61,24.24,15.15,2.06,93.94,63.64,48.48,33.33,3.85,2.73,1.12,96.97,66.67,39.39,66.67,33.33,12.12,1.48,0.09,4.55,63.18,17.91,6.85,3.61,0.12,0.39,1.18,0.73,68.93,0.42,0.27,0.76,0.21,0.24,0.12,0.09,0.79,2.0,1.7,1.33,0.85,1.48
19,Borussia-Dortmund,66.67,12.12,21.21,2.12,84.85,69.7,48.48,36.36,3.73,2.45,1.27,90.91,72.73,36.36,63.64,36.36,21.21,1.97,0.0,4.42,56.48,15.45,6.7,4.55,0.27,0.55,0.91,0.67,68.83,0.64,0.12,0.36,0.21,0.06,0.21,0.3,0.48,2.15,1.52,1.18,0.97,1.0
20,Rb-Leipzig,57.58,18.18,24.24,1.91,84.85,66.67,30.3,12.12,3.0,1.82,1.18,81.82,54.55,33.33,69.7,33.33,12.12,2.0,0.06,4.64,56.67,14.27,4.97,3.48,0.09,0.82,0.61,0.52,74.44,0.45,0.06,0.42,0.3,0.09,0.24,0.09,0.85,1.73,2.15,1.7,1.97,0.58
21,1-Fc-Union-Berlin,51.52,24.24,24.24,1.79,75.76,51.52,24.24,15.15,2.67,1.52,1.15,75.76,48.48,15.15,63.64,27.27,12.12,1.97,0.06,4.85,43.97,10.73,4.55,4.76,0.15,0.67,0.7,0.52,68.09,0.18,0.12,0.36,0.39,0.24,0.21,0.03,0.42,2.15,1.94,1.79,0.82,0.58
22,Sc-Freiburg,51.52,24.24,24.24,1.79,75.76,48.48,36.36,18.18,2.79,1.52,1.27,78.79,48.48,15.15,60.61,24.24,18.18,1.82,0.06,4.61,48.88,11.94,4.09,4.42,0.21,0.55,0.94,0.61,74.68,0.85,0.42,0.27,0.03,0.15,0.03,0.12,0.61,1.03,2.82,0.94,0.7,0.82
23,Bayer-Leverkusen,42.42,24.24,33.33,1.52,87.88,63.64,42.42,21.21,3.12,1.73,1.39,75.76,57.58,27.27,72.73,42.42,15.15,2.12,0.18,4.48,51.33,12.03,4.06,3.91,0.24,0.52,0.76,0.58,68.99,0.58,0.24,0.36,0.21,0.24,0.12,0.09,0.79,1.52,1.94,1.24,1.03,0.94
24,Eintracht-Frankfurt,36.36,33.33,30.3,1.42,96.97,60.61,36.36,12.12,3.24,1.7,1.55,84.85,42.42,27.27,81.82,39.39,21.21,2.06,0.03,4.33,52.12,11.64,5.61,4.09,0.24,0.67,0.76,0.36,68.31,0.27,0.15,0.94,0.33,0.3,0.0,0.09,0.67,1.61,1.79,1.21,1.27,0.64
25,Wolfsburg,39.39,30.3,30.3,1.48,84.85,57.58,39.39,21.21,3.09,1.7,1.39,69.7,54.55,21.21,63.64,48.48,12.12,1.91,0.0,4.61,49.97,11.24,4.42,6.12,0.27,0.64,0.48,0.52,67.56,0.48,0.61,0.18,0.21,0.24,0.21,0.06,1.18,1.61,1.64,0.97,0.85,1.12
26,Mainz-Amat,36.36,27.27,36.36,1.36,87.88,63.64,33.33,21.21,3.18,1.58,1.61,81.82,39.39,21.21,78.79,42.42,24.24,2.06,0.03,4.76,44.97,11.88,4.61,4.12,0.15,0.64,0.7,0.36,68.26,0.09,0.21,0.45,0.09,0.3,0.18,0.09,0.79,1.94,1.79,1.18,0.97,0.58
27,Borussia-Monchengla,30.3,30.3,39.39,1.21,75.76,63.64,48.48,24.24,3.18,1.52,1.67,72.73,45.45,21.21,75.76,51.52,21.21,1.88,0.09,3.85,52.7,11.3,4.45,5.36,0.3,0.73,0.48,0.42,78.22,0.12,0.24,0.97,0.58,0.3,0.06,0.09,0.39,0.76,2.61,1.18,0.91,0.76
28,1-Fc-Koln,30.3,36.36,33.33,1.27,78.79,48.48,36.36,24.24,3.03,1.45,1.58,60.61,36.36,27.27,81.82,42.42,12.12,2.18,0.09,4.7,50.0,11.55,6.0,4.64,0.12,0.45,0.67,0.58,64.23,0.15,0.15,0.7,0.39,0.12,0.24,0.12,0.94,1.79,1.55,1.06,1.06,0.67
