id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Barcelona,67.57,21.62,10.81,2.24,83.78,51.35,35.14,21.62,3.19,2.27,0.92,89.19,67.57,35.14,54.05,27.03,5.41,2.03,0.05,2.95,64.76,14.27,5.3,4.11,0.22,0.43,0.35,0.27,69.61,0.35,0.08,0.59,0.14,0.0,0.11,0.05,0.57,1.16,1.16,1.03,1.7,0.81
1,Atletico-Madrid,62.16,21.62,16.22,2.08,75.68,27.03,16.22,10.81,2.32,1.54,0.78,86.49,40.54,21.62,48.65,24.32,5.41,2.73,0.11,2.78,49.46,10.97,5.57,4.35,0.27,0.43,0.46,0.22,63.74,0.32,0.19,0.51,0.11,0.27,0.08,0.16,0.95,1.08,0.59,1.59,1.11,0.97
2,Real-Madrid,56.76,10.81,32.43,1.81,81.08,59.46,32.43,24.32,3.05,1.76,1.3,81.08,54.05,27.03,70.27,37.84,13.51,2.19,0.16,2.97,60.57,15.3,5.84,3.73,0.32,0.49,0.38,0.32,68.87,0.22,0.16,0.22,0.22,0.16,0.08,0.08,0.62,1.16,1.11,1.73,1.41,0.7
3,Valencia-Cf,37.84,43.24,18.92,1.57,70.27,37.84,18.92,8.11,2.27,1.32,0.95,70.27,37.84,16.22,67.57,24.32,2.7,2.38,0.08,2.84,46.59,12.16,5.14,4.24,0.32,0.43,0.35,0.24,67.33,0.27,0.08,0.46,0.11,0.05,0.05,0.22,0.43,1.22,0.97,1.24,1.16,1.35
4,Getafe,40.54,35.14,24.32,1.57,78.38,35.14,10.81,0.0,2.14,1.24,0.89,70.27,40.54,10.81,64.86,24.32,0.0,2.97,0.19,3.0,40.11,10.08,4.05,4.08,0.19,0.59,0.35,0.35,70.98,0.35,0.16,0.19,0.11,0.27,0.24,0.14,0.43,1.22,1.22,1.24,0.89,0.78
5,Sevilla,45.95,21.62,32.43,1.59,78.38,45.95,24.32,18.92,2.78,1.62,1.16,67.57,45.95,21.62,70.27,32.43,10.81,2.97,0.16,2.92,52.68,13.73,6.0,4.51,0.41,0.7,0.35,0.22,68.7,0.24,0.08,0.24,0.05,0.41,0.08,0.16,0.46,1.32,0.97,1.62,0.89,0.76
6,Espanyol,35.14,29.73,35.14,1.35,78.38,48.65,27.03,5.41,2.59,1.24,1.35,78.38,37.84,8.11,75.68,35.14,18.92,2.38,0.05,3.0,49.76,11.78,4.46,5.11,0.3,0.51,0.27,0.41,71.88,0.14,0.03,0.41,0.11,0.14,0.08,0.08,0.3,1.27,1.35,1.35,0.89,1.0
7,Athletic-Bilbao,35.14,37.84,27.03,1.43,72.97,40.54,21.62,10.81,2.38,1.16,1.22,75.68,32.43,8.11,72.97,32.43,16.22,3.08,0.14,2.89,49.68,10.19,4.0,3.84,0.43,0.65,0.32,0.16,71.42,0.32,0.24,0.38,0.05,0.08,0.08,0.08,0.32,1.16,1.32,1.24,1.51,0.76
8,Real-Sociedad,35.14,29.73,35.14,1.35,67.57,51.35,24.32,5.41,2.41,1.22,1.19,67.57,40.54,13.51,75.68,32.43,5.41,2.16,0.11,2.89,51.38,10.62,4.51,4.76,0.3,0.3,0.32,0.16,69.69,0.11,0.19,0.41,0.08,0.24,0.11,0.14,0.51,1.14,1.11,1.54,1.03,0.97
9,Betis,35.14,21.62,43.24,1.27,67.57,48.65,21.62,13.51,2.54,1.14,1.41,72.97,27.03,10.81,72.97,43.24,18.92,2.41,0.03,2.97,62.95,11.24,4.78,4.92,0.3,0.46,0.14,0.05,68.93,0.19,0.08,0.43,0.08,0.59,0.11,0.16,0.43,1.38,1.0,1.24,1.03,1.35
10,Alaves,32.43,29.73,37.84,1.27,72.97,45.95,16.22,2.7,2.32,1.0,1.32,64.86,24.32,5.41,78.38,32.43,16.22,2.65,0.03,2.97,42.41,11.05,3.62,6.05,0.27,0.41,0.19,0.22,73.04,0.27,0.14,0.11,0.03,0.14,0.05,0.05,0.32,1.35,1.24,1.19,0.95,1.03
11,Eibar,29.73,35.14,35.14,1.24,67.57,48.65,21.62,5.41,2.46,1.19,1.27,70.27,32.43,13.51,75.68,35.14,10.81,2.05,0.05,3.0,54.19,13.08,5.95,3.86,0.38,0.41,0.46,0.08,70.59,0.38,0.11,0.19,0.05,0.22,0.22,0.05,0.59,1.16,1.19,1.27,0.81,1.24
12,Leganes,29.73,32.43,37.84,1.22,62.16,32.43,13.51,5.41,2.08,0.97,1.11,64.86,21.62,8.11,70.27,29.73,8.11,2.84,0.11,2.95,42.57,10.84,3.54,4.3,0.32,0.81,0.41,0.14,72.94,0.16,0.05,0.43,0.05,0.19,0.22,0.08,0.3,1.14,1.43,1.65,1.05,0.84
13,Villarreal,27.03,35.14,37.84,1.16,72.97,54.05,27.03,10.81,2.62,1.27,1.35,75.68,37.84,10.81,70.27,45.95,16.22,3.11,0.08,2.97,47.97,12.73,4.35,5.49,0.19,0.51,0.27,0.16,70.62,0.27,0.24,0.62,0.14,0.22,0.14,0.11,0.46,1.3,1.11,1.68,0.89,0.68
14,Levante,29.73,27.03,43.24,1.16,83.78,67.57,43.24,18.92,3.27,1.54,1.73,75.68,51.35,16.22,81.08,51.35,18.92,3.0,0.19,2.97,45.24,11.41,5.3,5.24,0.38,0.68,0.32,0.22,69.97,0.05,0.16,0.38,0.05,0.27,0.0,0.14,0.3,1.38,1.16,1.49,0.92,1.19
15,Valladolid,27.03,29.73,43.24,1.11,59.46,37.84,24.32,13.51,2.3,0.92,1.38,56.76,29.73,5.41,78.38,35.14,16.22,2.35,0.0,2.89,46.89,10.7,5.27,5.22,0.32,0.54,0.24,0.08,71.74,0.46,0.22,0.3,0.05,0.22,0.08,0.05,0.38,1.27,1.19,1.03,0.76,1.14
16,Celta,27.03,27.03,45.95,1.08,81.08,54.05,35.14,24.32,3.0,1.38,1.62,75.68,40.54,18.92,78.38,51.35,24.32,2.24,0.16,2.89,52.24,11.43,4.19,4.86,0.22,0.46,0.49,0.27,72.61,0.51,0.11,0.35,0.11,0.11,0.05,0.05,0.38,1.05,1.41,1.3,1.0,0.7
17,Girona-Fc,24.32,27.03,48.65,1.0,70.27,40.54,21.62,13.51,2.35,0.97,1.38,62.16,29.73,5.41,75.68,45.95,13.51,2.16,0.11,2.97,47.76,9.76,3.43,5.3,0.32,0.62,0.22,0.16,71.24,0.22,0.16,0.38,0.19,0.32,0.08,0.05,0.49,1.19,1.24,1.38,1.05,0.84
18,Huesca,16.22,32.43,51.35,0.81,72.97,54.05,27.03,10.81,2.81,1.08,1.73,64.86,35.14,5.41,83.78,48.65,18.92,2.97,0.08,3.05,43.95,11.7,4.19,5.57,0.32,0.65,0.3,0.14,66.81,0.24,0.14,0.51,0.0,0.22,0.08,0.24,0.62,1.16,1.03,1.08,0.84,1.22
19,Rayo-Vallecano,21.62,18.92,59.46,0.84,72.97,59.46,35.14,18.92,2.89,1.05,1.84,75.68,24.32,2.7,81.08,62.16,24.32,2.78,0.22,2.92,48.86,11.3,4.89,4.84,0.19,0.68,0.19,0.19,69.25,0.22,0.08,0.62,0.08,0.3,0.16,0.05,0.62,1.27,0.97,1.19,0.92,0.76
