,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Borussia-Dortmund,0,-17,-16,0,-9,-1,-1,0,-1,-1,-13,-1,0,-1,-14,-13,-6,-12,-17,-12,-2,-1,-1,-11,-6,-11,-2,-1,-6,-1,-12,-11,-12,-16,-5,-1,-14,-1,-12,-10,-7,-3
1,Bayern-Munchen,0,-6,-16,0,0,-2,1,0,1,1,-16,1,0,1,-12,-14,-16,-16,-3,-7,1,1,1,-15,-15,-16,1,1,-4,-6,-5,-1,-12,-6,-11,-7,-6,-1,-8,-3,-12,1
2,Rb-Leipzig,0,-12,-13,0,-8,0,-14,-15,-13,0,-13,-2,-1,0,-10,-12,-14,-7,-7,-1,1,0,-2,-15,-15,1,-6,-3,0,-4,-14,-6,-4,-13,1,-10,-2,-6,-1,1,2,-14
3,1-Fc-Union-Berlin,0,-7,-11,0,-12,-12,-14,-12,-14,-7,-13,-9,-2,-8,-13,-13,-12,-8,-5,3,-12,-12,-6,-6,-11,-3,-2,-3,-6,-11,-10,-6,1,-6,0,-14,-13,3,-2,3,-11,-12
4,Sc-Freiburg,0,-5,-9,0,-10,-13,-5,-7,-12,-5,-10,-4,-2,-6,-13,-13,-5,-11,-3,0,-5,-1,-11,-8,-6,-9,3,2,3,4,2,-10,-13,-8,-12,-1,-8,-12,4,-13,-12,-4
5,Bayer-Leverkusen,0,-3,-5,0,-2,-3,2,-1,-3,2,-7,-6,3,1,-6,-6,-6,-1,5,-6,0,1,-11,-10,-3,-10,2,2,1,2,-2,-5,-5,-3,-9,-6,-3,-9,-1,-2,0,0
6,Wolfsburg,0,2,-5,0,-2,-5,0,-1,-5,1,-5,-8,2,-3,-9,-1,-6,-7,-10,0,-2,-6,-6,6,1,-2,-5,-1,-4,1,6,-11,-5,1,2,-8,6,-6,-4,-10,-6,5
7,Eintracht-Frankfurt,0,5,-5,0,7,-2,-3,-9,2,3,-3,5,-2,2,0,-5,-1,0,-4,-7,3,-1,4,-7,-2,2,3,-3,0,-5,-3,6,3,3,-10,-3,-3,-4,0,-1,5,-5
8,Mainz-Amat,0,2,0,0,3,4,-5,0,2,2,0,2,-2,2,-1,-1,4,0,-2,7,-6,2,0,-5,-5,-1,2,-1,0,-9,-1,1,-8,5,-1,-1,2,4,0,-1,2,-6
9,1-Fc-Koln,-3,9,0,0,-2,-7,-2,6,-3,-2,0,-7,-3,6,4,-1,-4,5,4,7,2,0,7,-1,-6,-7,2,5,-5,-6,-2,5,6,-4,7,2,7,3,-2,-5,5,-2
10,Borussia-Monchengla,-1,7,3,0,-7,3,8,5,3,2,3,-3,2,2,0,6,3,-4,4,-7,7,-1,-1,5,7,6,0,2,10,-6,2,10,10,8,-5,-3,-7,-7,9,-3,1,0
11,Werder-Bremen,1,-2,7,0,9,11,-3,2,9,4,8,8,4,-1,8,11,-3,8,-1,2,1,-5,-6,5,4,9,-2,-1,8,3,-6,-5,3,-3,11,-4,-4,2,9,-4,8,-6
12,Tsg-1899-Hoffenheim,3,-3,10,0,0,6,8,0,3,0,7,5,-1,5,8,4,7,11,10,5,1,2,5,8,12,0,0,-3,-4,10,-3,9,-2,1,-1,6,9,9,-4,9,4,-1
13,Fc-Augsburg,-1,1,10,0,-3,0,6,3,3,-1,9,8,-2,-2,7,10,11,13,10,0,-3,-4,7,5,12,10,4,-3,-4,4,10,7,4,7,5,13,2,-2,0,2,3,7
14,Bochum,1,-2,13,0,11,2,2,10,11,-2,14,-1,-2,0,12,12,13,-2,1,9,2,1,0,11,3,4,0,0,3,4,10,2,7,13,8,11,5,1,10,12,-1,7
15,Stuttgart,0,14,9,0,11,10,0,2,2,2,9,6,1,2,15,10,5,10,14,-1,9,12,5,8,11,1,-1,-2,2,2,10,0,0,15,4,-1,2,5,1,3,-2,13
16,Schalke-04,0,11,11,0,3,6,8,2,2,-1,14,-1,-1,0,8,15,13,6,2,1,3,9,11,15,14,9,-1,5,1,12,2,3,15,-1,9,14,11,9,-1,11,15,7
17,Hertha-Bsc,0,6,17,0,11,3,12,15,13,2,16,7,6,0,16,11,17,15,2,7,0,3,4,15,5,17,2,4,5,6,16,12,12,7,7,13,16,12,2,11,6,13
