,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Real-Madrid,0,-17,-19,0,-14,-5,-2,-5,-8,-1,-19,-2,0,-1,-19,-19,-19,-15,-11,-19,-1,0,-1,-15,-10,-19,0,0,0,-11,-7,-12,-8,-18,-18,-16,-19,-6,-8,-9,-10,-6
1,Barcelona,0,-17,-15,0,-6,-1,1,1,1,1,-13,-2,0,1,-14,-7,-14,-8,-6,-17,1,0,-2,-17,-15,-15,-8,-1,-9,-13,-10,-18,-2,-14,-7,-8,-3,-15,-14,-10,0,-16
2,Atletico-Madrid,0,0,-16,0,-16,-16,-11,-10,-15,-3,-16,-4,-2,-1,-16,-16,-16,-8,-11,-13,-6,-4,-3,-4,-17,-8,-6,-5,-15,1,-11,-1,-11,-6,-9,-16,2,-6,-17,-4,-2,-8
3,Sevilla,0,0,-14,0,-3,-9,-9,-10,-8,-1,-14,2,1,-7,-14,-13,-13,-5,-15,-1,1,0,3,-14,-2,-8,-3,0,-13,-5,-1,-7,3,-14,-16,-10,-3,1,-13,-15,-10,-5
4,Villarreal,0,-12,-4,0,1,4,3,-2,3,2,-4,4,-1,0,-5,2,-5,-15,-13,3,-1,0,-14,3,-14,-14,1,3,-11,-8,-4,-2,-12,-12,0,-3,-5,-5,-5,-11,-14,0
5,Real-Sociedad,0,-10,-4,0,5,4,-3,-2,2,2,-6,1,2,3,1,-6,-2,-13,-9,-9,1,-6,-1,-11,-6,-8,1,1,-6,-10,-5,-12,-1,-4,-4,-9,-2,-8,-6,5,-7,-2
6,Getafe,-1,1,-9,0,-9,-9,-9,-12,-9,-5,-9,-7,-8,1,-10,-8,-6,6,3,-7,-10,-9,-4,-13,-11,6,-7,1,2,4,-11,-9,-12,6,6,-11,1,-11,3,-10,-10,-5
7,Granada,1,-7,-3,0,-3,-1,-7,-7,-2,0,-5,-1,1,1,-7,-3,-4,5,-9,1,-10,-7,-7,-2,5,6,0,-1,-11,-10,7,-2,0,2,-8,-1,6,-4,-11,0,2,2
8,Valencia-Cf,0,-2,-4,0,7,-2,-2,0,3,-1,5,3,-1,-7,3,-1,8,-8,6,0,1,-10,-4,0,8,-9,-2,-3,-4,1,-4,1,-7,-5,1,7,-3,4,-6,-2,-3,7
9,Athletic-Bilbao,-1,5,-5,0,-7,-10,-9,-7,-9,-3,-7,-2,-4,-4,-4,-8,-8,-4,-6,-1,0,-1,2,-2,-5,-6,4,-1,3,-4,8,-5,8,-3,-4,4,-6,-1,5,-5,2,-7
