,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Real-Madrid,0,-18,-19,0,-1,-5,-4,-8,-6,0,-19,0,0,0,-19,-19,-19,-18,-13,-18,-2,0,-2,-18,-17,-17,-1,-1,-1,-15,-5,-15,-1,-19,-1,-12,-16,-16,-5,-7,0,-19
1,Barcelona,0,-15,-17,0,-8,-3,0,1,-1,-1,-12,0,0,-2,-16,-9,-5,-9,-15,-18,1,0,1,-16,-12,-11,-7,1,-15,-9,-13,-5,-13,-3,-2,0,-11,-16,-15,-9,-5,-4
2,Girona-Fc,0,-15,-15,0,-5,0,-1,1,1,1,-8,-2,0,1,-9,-9,-6,-14,-17,-15,-1,-5,-14,-12,-10,-16,2,0,0,1,-10,-8,-8,1,-17,-9,-16,-6,-5,-16,-17,-15
3,Atletico-Madrid,0,-16,-11,0,-1,0,-4,-7,-2,0,-13,-2,0,1,-10,-14,-10,-8,-8,-3,-2,-2,-7,-3,-12,-10,0,-10,-16,-8,2,0,3,-13,-10,-3,3,-6,-15,0,-2,-1
4,Athletic-Bilbao,0,-3,-12,0,2,-4,-2,-9,-5,-1,-14,-2,0,-1,-14,-4,-7,-8,-5,4,-4,-7,1,-11,-7,-3,2,1,-7,-2,-14,-10,-11,-14,-2,-3,-10,4,-6,-10,3,-12
5,Real-Sociedad,0,0,-8,0,-10,-6,-6,-7,-8,-1,-12,-2,-2,-2,-11,-8,-7,-1,-12,-5,1,-5,1,-14,4,-4,-2,0,-12,-7,-4,-11,-7,-8,-7,5,-6,2,-12,-1,-3,5
6,Betis,0,3,-9,0,1,-4,-6,-3,-6,-1,-6,3,1,-6,-6,-10,-3,-3,-8,-9,-1,3,5,2,3,1,1,-2,-12,4,-9,-2,-13,-11,-10,3,4,-1,-13,-5,3,4
7,Villarreal,0,-4,-4,0,7,7,7,5,7,3,5,5,1,3,4,5,5,6,6,-1,-2,-5,-1,4,3,1,3,1,-8,-2,0,-6,-1,-2,2,3,3,-6,-5,6,-4,-5
8,Valencia-Cf,0,-4,0,0,-10,-6,-6,-7,-8,-4,-7,-3,-5,-5,-6,-6,-8,-11,4,-1,-9,-11,-11,0,6,-11,2,4,0,5,8,-10,1,-4,1,6,-2,-4,-1,-5,-10,-6
9,Getafe,-2,5,-3,0,-2,-3,1,2,-2,-1,4,-4,-1,3,2,5,5,9,9,-4,-7,-4,-8,-1,4,8,-3,-7,-5,1,6,0,7,2,9,-8,8,-9,-5,7,-7,-6
10,Alaves,0,-3,5,0,-6,-6,-5,-4,-4,-5,1,-4,-7,2,0,1,-4,-4,-8,9,-9,1,5,-3,2,-1,0,-2,10,-7,6,5,-3,-4,-4,-8,-7,8,10,-5,-5,0
11,Sevilla,-1,3,4,0,1,4,1,5,4,3,5,3,2,2,6,5,1,9,1,-3,5,9,4,6,5,3,-7,2,4,-5,1,0,7,3,0,6,3,-4,-2,7,2,-2
12,Osasuna,3,-2,8,0,9,-1,-1,1,2,1,8,3,1,-3,3,9,9,-3,4,7,1,-2,0,0,3,-4,1,-3,9,7,6,5,3,7,2,-2,-7,11,11,4,2,9
13,Ud-Palmas,0,-2,11,0,0,-4,-6,-3,-2,-3,5,-4,-1,-3,9,-2,-4,0,7,2,12,-5,-2,12,-5,-2,-2,6,7,-1,5,11,-3,3,-2,0,7,-1,7,-4,6,5
14,Rayo-Vallecano,-1,13,5,0,-3,-1,-4,-5,-4,-3,3,-4,-1,-5,-1,2,-1,11,9,10,4,10,0,3,-5,12,-2,-4,4,14,-2,10,-3,3,-3,-5,9,10,3,-5,2,8
15,Celta,1,6,12,0,3,9,6,10,7,6,12,3,7,5,13,10,10,-2,8,-1,1,9,9,8,8,1,6,5,11,11,4,-2,4,15,7,-1,6,-4,12,3,2,4
16,Mallorca,0,16,6,0,-3,-2,0,-1,-3,-2,2,1,-2,2,8,-2,-2,11,4,13,1,1,3,0,2,16,-1,-1,4,-3,-3,16,11,13,14,6,13,5,8,16,14,-2
17,Cadiz,0,15,11,0,3,-2,0,-1,0,-2,10,-2,-2,0,11,10,10,13,14,15,-1,0,6,8,17,14,-2,-2,8,4,15,-2,-1,11,-1,8,4,12,13,8,0,16
18,Granada,0,8,17,0,12,9,13,15,14,5,17,2,6,7,18,17,17,11,3,11,5,2,0,16,2,14,4,4,13,11,5,17,12,16,9,10,3,8,16,2,4,11
19,Almeria,0,13,19,0,11,18,17,15,16,5,19,9,3,1,18,19,19,11,17,7,7,11,10,19,9,9,6,8,6,1,2,7,16,4,15,4,12,13,4,14,15,10
