Local como local;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cambios;;3;4;5;5;5;3;5;4;5;4;5;3;4;5;5;5;;4,375;;;;;;;;;;;;;;;
posesion;;25;47;45;64;44;44;53;67;37;38;41;48;26;41;66;39;;45,3125;;;;;;;;;;;;;;;
total tiros;;5;15;11;22;14;13;18;8;5;7;10;11;16;11;18;6;;11,875;;;;;;;;;;;;;;;
corners a favor;;3;4;6;6;4;6;3;7;2;4;2;0;4;2;6;0;;3,6875;;;;;;;;;;;;;;;
corners en contra;;4;5;3;4;8;3;6;0;3;3;6;4;4;5;3;4;;4,0625;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Visitante como visitante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
amarillas;;5;1;2;2;3;4;1;2;1;3;2;1;6;3;1;2;;2,4375;;;;;;;;;;;;;;;
rojas;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0,125;;;;;;;;;;;;;;;
cambios;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;;;;;;;;;;;;;;;
posesion;;37;66;56;48;37;42;39;51;39;60;58;61;41;28;41;57;;47,5625;;;;;;;;;;;;;;;
total tiros;;8;11;11;18;10;17;13;19;15;6;8;12;3;7;7;7;;10,75;;;;;;;;;;;;;;;
corners a favor;;3;5;4;7;7;3;6;8;4;2;8;10;3;3;7;5;;5,3125;;;;;;;;;;;;;;;
corners en contra;;5;3;3;5;4;9;2;1;5;4;6;4;5;10;4;3;;4,5625;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
local como visitante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
amarillas;5;6;1;6;9;1;2;5;3;3;4;4;1;4;3;6;4;55;;;;;;;;;;;;;;;122;3,696969697
rojas;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;;;;;9;0,272727273
cambios;4;5;5;5;5;4;5;5;3;5;2;5;4;5;5;5;5;3;4;5;5;5;3;5;4;5;4;5;3;4;5;5;5;4,454545455
posesion;35;23;38;51;25;41;41;29;42;58;57;45;43;32;48;36;44;25;47;45;64;44;44;53;67;37;38;41;48;26;41;66;39;42,81818182
total tiros;9;6;10;13;3;8;10;12;14;29;10;11;11;10;15;7;8;5;15;11;22;14;13;18;8;5;7;10;11;16;11;18;6;11,39393939
corners a favor;2;1;1;4;1;3;5;4;2;12;4;5;3;8;5;0;2;3;4;6;6;4;6;3;7;2;4;2;0;4;2;6;0;3,666666667
corners en contra;3;11;2;5;13;7;3;4;4;1;1;3;8;5;5;3;9;4;5;3;4;8;3;6;0;3;3;6;4;4;5;3;4;4,606060606
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
visitante como local;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
amarillas;3;4;1;5;2;3;2;1;0;1;1;0;1;3;2;3;4;5;1;2;2;3;4;1;2;1;3;2;1;6;3;1;2;2,272727273
rojas;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,090909091
cambios;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4,939393939
posesion;46;47;65;48;59;57;58;49;38;50;49;62;30;39;59;52;67;37;66;56;48;37;42;39;51;39;60;58;61;41;28;41;57;49,57575758
total tiros;7;14;20;8;23;12;21;9;16;19;10;13;14;8;16;13;17;8;11;11;18;10;17;13;19;15;6;8;12;3;7;7;7;12,48484848
corners a favor;7;5;5;5;6;10;7;7;3;5;5;6;3;4;5;3;11;3;5;4;7;7;3;6;8;4;2;8;10;3;3;7;5;5,515151515
corners en contra;5;3;4;4;2;4;2;2;7;2;5;2;4;4;4;1;4;5;3;3;5;4;9;2;1;5;4;6;4;5;10;4;3;4
