id_equipo,temporada,liga,nombre
0,2024,primera,Real-Madrid
1,2024,primera,Barcelona
2,2024,primera,Girona-Fc
3,2024,primera,Atletico-Madrid
4,2024,primera,Athletic-Bilbao
5,2024,primera,Real-Sociedad
6,2024,primera,Betis
7,2024,primera,Valencia-Cf
8,2024,primera,Villarreal
9,2024,primera,Getafe
10,2024,primera,Osasuna
11,2024,primera,Alaves
12,2024,primera,Sevilla
13,2024,primera,Ud-Palmas
14,2024,primera,Rayo-Vallecano
15,2024,primera,Mallorca
16,2024,primera,Celta
17,2024,primera,Cadiz
18,2024,primera,Granada
19,2024,primera,Almeria
