nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
S. Mitrović,Portu,Defensa,Delantero,46,0,0,1,1
C. Aleñá,Choco Lozano,Centrocampista,Delantero,65,0,0,1,0
Latasa,B. Mayoral,Delantero,Delantero,64,0,0,0,0
A. Christensen,Ez Abde,Defensa,Delantero,46,0,0,0,0
Oriol Romeu,Lamine Yamal,Centrocampista,Delantero,76,0,0,0,0
Pedri,Gavi,Centrocampista,Centrocampista,79,0,0,0,0
İ. Gündoğan,Ansu Fati,Centrocampista,Delantero,79,0,0,0,0
S. Mitrović,O. Alderete,Defensa,Defensa,62,0,0,0,0
Juan Iglesias,Portu,Defensa,Delantero,71,0,0,0,0
J. Mata,C. Aleñá,Delantero,Centrocampista,62,0,0,0,0
B. Mayoral,F. Angileri,Delantero,Defensa,90,1,0,0,0
A. Abqar,Antonio Blanco,Defensa,Centrocampista,92,0,0,1,0
C. Benavidez,Rafa Marín,Centrocampista,Defensa,92,0,0,0,0
Ander Guevara,A. Rebbach,Centrocampista,Delantero,85,0,0,0,0
Kike García,S. Omorodion,Delantero,Delantero,76,0,0,0,0
Xeber Alkain,M. De La Fuente,Delantero,Delantero,85,0,0,1,0
D. Duarte,C. Aleñá,Defensa,Centrocampista,61,0,0,1,0
Diego Rico,G. Álvarez,Defensa,Defensa,88,0,1,0,0
Carmona,Óscar Rodríguez,Defensa,Centrocampista,61,1,0,1,0
J. Mata,M. Arambarri,Delantero,Centrocampista,61,0,0,0,0
Latasa,M. Greenwood,Delantero,Delantero,77,0,0,1,0
Rubén Peña,Jesús Areso,Defensa,Defensa,88,0,0,0,0
Aimar Oroz,Pablo Ibáñez,Centrocampista,Centrocampista,79,0,1,0,0
Kike Barja,José Arnaiz,Delantero,Delantero,68,0,0,0,0
A. Budimir,Raúl García,Delantero,Delantero,79,1,0,0,0
Chimy Ávila,Rubén García,Delantero,Delantero,69,0,0,1,0
Diego Rico,C. Aleñá,Defensa,Centrocampista,81,0,0,0,0
Damián Suárez,F. Angileri,Defensa,Defensa,82,0,0,0,0
Óscar Rodríguez,M. Greenwood,Centrocampista,Delantero,46,0,0,1,0
B. Mayoral,Choco Lozano,Delantero,Delantero,82,0,0,0,0
J. Mata,Latasa,Delantero,Delantero,46,0,0,0,0
A. Pedraza,Alberto Moreno,Defensa,Defensa,46,0,0,1,0
Juan Foyth,Ramón Terrats,Defensa,Centrocampista,72,0,0,0,1
Yéremy Pino,Aïssa Mandi,Delantero,Defensa,83,0,0,1,0
Morales,Kiko Femenía,Delantero,Defensa,46,0,0,0,0
A. Sørloth,Ben Brereton,Delantero,Delantero,61,0,0,0,0
S. Mitrović,Latasa,Defensa,Delantero,64,0,0,0,0
Damián Suárez,Juan Iglesias,Defensa,Defensa,55,0,0,0,1
M. Arambarri,O. Alderete,Centrocampista,Defensa,46,0,0,1,0
J. Mata,C. Aleñá,Delantero,Centrocampista,64,0,0,0,0
M. Greenwood,Óscar Rodríguez,Delantero,Centrocampista,78,0,0,0,0
G. Pezzella,W. Carvalho,Defensa,Centrocampista,60,0,0,1,0
A. Guardado,R. Visus,Centrocampista,Defensa,60,0,0,1,0
Rodri,Ez Abde,Centrocampista,Delantero,72,0,0,0,0
Assane Diao,Luiz Henrique,Delantero,Delantero,72,0,0,0,0
M. Greenwood,Juan Iglesias,Delantero,Defensa,86,0,1,1,0
J. Mata,Luis Milla,Delantero,Centrocampista,46,0,0,0,0
B. Mayoral,Latasa,Delantero,Delantero,89,1,0,0,0
Rubén Alcaraz,G. Escalante,Centrocampista,Centrocampista,62,0,0,1,0
R. Kouamé,Á. Negredo,Centrocampista,Delantero,84,0,0,0,0
Robert Navarro,Álex Fernández,Delantero,Centrocampista,46,0,0,0,1
