nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Brais Méndez,A. Zakharyan,Centrocampista,Delantero,75,0,0,0,1
A. Barrenetxea,M. Oyarzabal,Delantero,Delantero,46,0,0,0,0
Take Kubo,Momo Cho,Delantero,Delantero,75,0,0,0,0
C. Fernández,Umar Sadiq,Delantero,Delantero,46,0,0,0,0
K. Tierney,Aihen Muñoz,Defensa,Defensa,69,0,0,0,0
Brais Méndez,Momo Cho,Centrocampista,Delantero,81,0,0,0,0
A. Barrenetxea,A. Zakharyan,Delantero,Delantero,81,1,0,0,0
M. Oyarzabal,Umar Sadiq,Delantero,Delantero,81,0,0,0,0
Jon Pacheco,Igor Zubeldia,Defensa,Defensa,61,0,0,0,1
K. Tierney,Aihen Muñoz,Defensa,Defensa,71,0,1,1,0
Hamari Traoré,M. Zubimendi,Defensa,Centrocampista,46,0,0,0,1
Urko González,Á. Odriozola,Centrocampista,Defensa,46,0,0,0,1
B. Turrientes,Brais Méndez,Centrocampista,Centrocampista,60,0,0,0,0
R. Le Normand,C. Fernández,Defensa,Delantero,65,0,0,0,1
Mikel Merino,A. Zakharyan,Centrocampista,Delantero,65,0,0,0,0
A. Barrenetxea,André Silva,Delantero,Delantero,90,0,0,0,0
M. Oyarzabal,Umar Sadiq,Delantero,Delantero,90,1,0,0,0
Take Kubo,Jon Pacheco,Delantero,Defensa,65,0,0,0,0
B. Turrientes,Olasagasti,Centrocampista,Centrocampista,80,0,0,0,1
Take Kubo,Umar Sadiq,Delantero,Delantero,80,0,0,0,0
A. Barrenetxea,Momo Cho,Delantero,Delantero,58,0,1,0,0
M. Oyarzabal,A. Zakharyan,Delantero,Delantero,89,2,0,1,0
B. Turrientes,Olasagasti,Centrocampista,Centrocampista,81,0,0,0,0
A. Barrenetxea,Mikel Merino,Delantero,Centrocampista,46,0,0,0,0
A. Zakharyan,Momo Cho,Delantero,Delantero,74,0,0,0,0
Umar Sadiq,Take Kubo,Delantero,Delantero,46,0,0,0,1
M. Oyarzabal,C. Fernández,Delantero,Delantero,66,1,0,0,0
K. Tierney,Aihen Muñoz,Defensa,Defensa,74,0,0,0,1
A. Barrenetxea,A. Zakharyan,Delantero,Delantero,16,0,0,1,0
Umar Sadiq,M. Oyarzabal,Delantero,Delantero,75,1,0,0,0
A. Zakharyan,André Silva,Delantero,Delantero,16,0,0,0,0
Igor Zubeldia,Jon Pacheco,Defensa,Defensa,59,0,0,0,0
Brais Méndez,B. Turrientes,Centrocampista,Centrocampista,30,0,0,1,0
A. Zakharyan,Aihen Muñoz,Delantero,Defensa,78,0,1,0,0
Umar Sadiq,C. Fernández,Delantero,Delantero,78,0,0,0,0
Á. Odriozola,Hamari Traoré,Defensa,Defensa,46,0,0,0,0
Mikel Merino,B. Turrientes,Centrocampista,Centrocampista,69,0,0,0,0
Umar Sadiq,C. Fernández,Delantero,Delantero,69,0,0,0,0
A. Elustondo,Aihen Muñoz,Defensa,Defensa,69,0,0,1,0
Hamari Traoré,A. Elustondo,Defensa,Defensa,46,0,0,1,0
K. Tierney,Olasagasti,Defensa,Centrocampista,80,0,0,0,0
Á. Odriozola,A. Elustondo,Defensa,Defensa,19,0,0,1,0
Brais Méndez,Aihen Muñoz,Centrocampista,Defensa,80,0,0,0,0
A. Zakharyan,J. Magunazelaia,Delantero,Centrocampista,63,0,0,0,0
A. Barrenetxea,Alberto Dadie,Delantero,Delantero,63,0,0,0,1
Jon Aramburu,A. Elustondo,Defensa,Defensa,46,0,0,0,1
Aihen Muñoz,K. Tierney,Defensa,Defensa,39,0,0,1,0
Olasagasti,Mikel Merino,Centrocampista,Centrocampista,65,0,0,0,0
B. Turrientes,A. Zakharyan,Centrocampista,Delantero,78,0,1,0,0
J. Magunazelaia,M. Oyarzabal,Centrocampista,Delantero,64,0,0,0,0
Á. Odriozola,Jon Aramburu,Defensa,Defensa,3,0,0,1,0
B. Turrientes,A. Barrenetxea,Centrocampista,Delantero,52,0,0,0,1
Brais Méndez,Umar Sadiq,Centrocampista,Delantero,87,0,0,0,1
S. Becker,Mikel Merino,Delantero,Centrocampista,52,0,0,1,0
André Silva,Olasagasti,Delantero,Centrocampista,87,0,0,1,0
Igor Zubeldia,Jon Pacheco,Defensa,Defensa,64,0,1,0,1
Brais Méndez,B. Turrientes,Centrocampista,Centrocampista,73,0,0,0,0
A. Zakharyan,A. Barrenetxea,Delantero,Delantero,64,0,0,0,0
Umar Sadiq,André Silva,Delantero,Delantero,65,0,0,0,0
K. Tierney,J. Magunazelaia,Defensa,Centrocampista,84,0,0,0,0
M. Zubimendi,Urko González,Centrocampista,Centrocampista,73,0,0,0,0
Olasagasti,Javi Galán,Centrocampista,Defensa,84,0,0,0,0
A. Zakharyan,Brais Méndez,Delantero,Centrocampista,61,0,0,0,0
André Silva,S. Becker,Delantero,Delantero,73,1,0,0,0
Javi Galán,K. Tierney,Defensa,Defensa,46,0,0,0,0
B. Turrientes,Olasagasti,Centrocampista,Centrocampista,90,0,0,0,0
M. Oyarzabal,André Silva,Delantero,Delantero,68,0,0,0,0
Umar Sadiq,S. Becker,Delantero,Delantero,68,1,0,0,1
A. Zakharyan,B. Turrientes,Delantero,Centrocampista,83,0,1,0,0
A. Barrenetxea,André Silva,Delantero,Delantero,69,0,0,0,0
M. Oyarzabal,K. Tierney,Delantero,Defensa,69,0,0,0,0
Take Kubo,S. Becker,Delantero,Delantero,44,0,0,1,0
R. Le Normand,K. Tierney,Defensa,Defensa,84,0,0,1,0
Hamari Traoré,Á. Odriozola,Defensa,Defensa,46,0,0,0,0
A. Barrenetxea,Take Kubo,Delantero,Delantero,46,1,0,0,0
A. Zakharyan,A. Elustondo,Delantero,Defensa,69,0,0,0,0
S. Becker,Umar Sadiq,Delantero,Delantero,68,0,1,0,0
