nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
D. Sinkgraven,Munir,Defensa,Delantero,64,0,0,0,0
Kirian,Nuke Mfulu,Centrocampista,Centrocampista,85,0,0,0,1
Marc Cardona,Sergi Cardona,Delantero,Defensa,64,0,0,0,0
Sergi Cardona,Saúl Coco,Defensa,Defensa,65,0,0,0,1
Kirian,Nuke Mfulu,Centrocampista,Centrocampista,79,0,0,0,0
Jonathan Viera,Benito Ramírez,Centrocampista,Delantero,79,0,0,0,0
Sandro,Pejiño,Delantero,Delantero,79,0,0,0,0
S. Kaba,Javi Muñoz,Delantero,Centrocampista,68,0,0,0,0
M. Perrone,Saúl Coco,Centrocampista,Defensa,60,0,0,0,0
E. Loiodice,C. Herrera,Centrocampista,Delantero,91,0,0,0,0
Jonathan Viera,Javi Muñoz,Centrocampista,Centrocampista,66,0,0,0,0
Pejiño,Marvin Park,Delantero,Delantero,46,0,0,0,0
Munir,S. Kaba,Delantero,Delantero,66,0,0,0,0
Julián Araujo,Álvaro Lemos,Defensa,Defensa,32,0,0,1,0
Javi Muñoz,Jonathan Viera,Centrocampista,Centrocampista,63,0,0,0,0
E. Loiodice,Marc Cardona,Centrocampista,Delantero,77,0,0,0,0
Pejiño,M. Perrone,Delantero,Centrocampista,77,0,0,0,0
S. Kaba,Marvin Park,Delantero,Delantero,63,0,0,0,0
Saúl Coco,Julián Araujo,Defensa,Defensa,46,0,0,0,1
E. Loiodice,Marvin Park,Centrocampista,Delantero,62,0,0,0,0
Pejiño,M. Perrone,Delantero,Centrocampista,62,0,0,0,0
Munir,A. Moleiro,Delantero,Centrocampista,74,0,0,0,0
Marc Cardona,S. Kaba,Delantero,Delantero,83,0,0,0,0
M. Perrone,E. Loiodice,Centrocampista,Centrocampista,70,0,0,0,0
A. Moleiro,Benito Ramírez,Centrocampista,Delantero,63,0,1,0,0
Marvin Park,Julián Araujo,Delantero,Defensa,71,0,0,0,0
Munir,S. Kaba,Delantero,Delantero,84,0,1,0,0
Kirian,D. Sinkgraven,Centrocampista,Defensa,94,0,1,0,0
E. Loiodice,Marvin Park,Centrocampista,Delantero,63,0,0,0,0
A. Moleiro,Benito Ramírez,Centrocampista,Delantero,94,0,0,0,0
Munir,M. Perrone,Delantero,Centrocampista,63,0,0,0,0
Sandro,C. Herrera,Delantero,Delantero,85,0,0,0,0
M. Perrone,E. Loiodice,Centrocampista,Centrocampista,91,0,0,0,0
A. Moleiro,Marvin Park,Centrocampista,Delantero,46,0,0,1,0
Pejiño,Benito Ramírez,Delantero,Delantero,66,1,0,0,0
Munir,C. Herrera,Delantero,Delantero,80,0,0,0,0
Álex Suárez,D. Sinkgraven,Defensa,Defensa,83,0,0,0,1
A. Moleiro,E. Loiodice,Centrocampista,Centrocampista,68,0,0,0,0
Sandro,Pejiño,Delantero,Delantero,68,0,1,0,0
Munir,Marc Cardona,Delantero,Delantero,59,1,0,1,0
Kirian,Iñaki González,Centrocampista,Centrocampista,86,2,0,0,0
Javi Muñoz,Benito Ramírez,Centrocampista,Delantero,73,0,1,0,1
A. Moleiro,Marvin Park,Centrocampista,Delantero,61,0,1,0,0
Sandro,E. Loiodice,Delantero,Centrocampista,73,0,1,0,0
Munir,Marc Cardona,Delantero,Delantero,86,0,0,0,0
Javi Muñoz,S. Kaba,Centrocampista,Delantero,89,1,0,0,1
A. Moleiro,E. Loiodice,Centrocampista,Centrocampista,69,0,0,0,0
Marvin Park,Juanma Herzog,Delantero,Defensa,69,0,0,1,0
Munir,Marc Cardona,Delantero,Delantero,78,0,0,0,0
Sandro,Pejiño,Delantero,Delantero,78,0,1,0,0
M. Perrone,E. Loiodice,Centrocampista,Centrocampista,80,0,0,0,0
Javi Muñoz,Fabio González,Centrocampista,Centrocampista,93,0,0,0,0
Marvin Park,Julián Araujo,Delantero,Defensa,92,0,0,0,0
Munir,Marc Cardona,Delantero,Delantero,83,0,0,0,0
