nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Mika Mármol,Marc Cardona,Defensa,Delantero,82,0,0,0,0
D. Sinkgraven,Sergi Cardona,Defensa,Defensa,22,0,0,1,0
Álvaro Lemos,Julián Araujo,Defensa,Defensa,46,0,0,0,0
Kirian,Benito Ramírez,Centrocampista,Delantero,82,0,0,0,0
Munir,Pejiño,Delantero,Delantero,64,0,0,0,0
Kirian,M. Perrone,Centrocampista,Centrocampista,56,0,0,0,1
E. Loiodice,Javi Muñoz,Centrocampista,Centrocampista,86,0,0,0,0
Jonathan Viera,Nuke Mfulu,Centrocampista,Centrocampista,86,0,0,0,0
Munir,Marc Cardona,Delantero,Delantero,76,0,0,0,0
Pejiño,Benito Ramírez,Delantero,Delantero,57,0,0,0,0
Álex Suárez,M. Perrone,Defensa,Centrocampista,73,0,0,0,0
Julián Araujo,Saúl Coco,Defensa,Defensa,64,0,0,0,1
Kirian,Javi Muñoz,Centrocampista,Centrocampista,84,0,0,0,1
E. Loiodice,Marvin Park,Centrocampista,Delantero,73,0,0,0,0
Munir,Pejiño,Delantero,Delantero,84,0,0,0,1
D. Sinkgraven,Kirian,Defensa,Centrocampista,46,0,0,0,0
Nuke Mfulu,Sergi Cardona,Centrocampista,Defensa,46,0,0,0,0
Javi Muñoz,E. Loiodice,Centrocampista,Centrocampista,77,0,0,0,0
Jonathan Viera,M. Perrone,Centrocampista,Centrocampista,77,0,0,0,0
S. Kaba,Marvin Park,Delantero,Delantero,57,0,0,0,0
Javi Muñoz,M. Perrone,Centrocampista,Centrocampista,75,0,0,0,0
E. Loiodice,Jonathan Viera,Centrocampista,Centrocampista,75,0,0,0,0
Munir,C. Herrera,Delantero,Delantero,88,0,0,0,0
Pejiño,S. Kaba,Delantero,Delantero,58,0,0,0,0
Marc Cardona,Marvin Park,Delantero,Delantero,58,1,0,0,0
M. Perrone,E. Loiodice,Centrocampista,Centrocampista,69,0,0,0,0
Marvin Park,Julián Araujo,Delantero,Defensa,82,0,1,0,0
Munir,S. Kaba,Delantero,Delantero,60,1,0,0,0
Marc Cardona,A. Moleiro,Delantero,Centrocampista,60,0,0,0,0
M. Perrone,A. Moleiro,Centrocampista,Centrocampista,58,0,0,0,0
Marvin Park,Julián Araujo,Delantero,Defensa,73,0,0,0,0
Munir,Marc Cardona,Delantero,Delantero,73,0,0,0,0
S. Kaba,E. Loiodice,Delantero,Centrocampista,58,0,0,0,0
Álex Suárez,Julián Araujo,Defensa,Defensa,46,0,0,0,0
M. Perrone,E. Loiodice,Centrocampista,Centrocampista,46,0,0,0,1
Javi Muñoz,Marc Cardona,Centrocampista,Delantero,88,0,0,0,0
Marvin Park,Sandro,Delantero,Delantero,66,0,0,0,0
Munir,Benito Ramírez,Delantero,Delantero,80,0,0,0,1
E. Loiodice,Marvin Park,Centrocampista,Delantero,62,0,0,0,0
A. Moleiro,Benito Ramírez,Centrocampista,Delantero,87,0,1,0,0
Munir,C. Herrera,Delantero,Delantero,75,0,0,1,0
Marc Cardona,M. Perrone,Delantero,Centrocampista,62,0,0,0,0
Marvin Park,Nuke Mfulu,Delantero,Centrocampista,78,0,0,0,0
Munir,Álex Suárez,Delantero,Defensa,90,0,0,0,0
S. Kaba,Sandro,Delantero,Delantero,59,0,0,0,0
Javi Muñoz,E. Loiodice,Centrocampista,Centrocampista,88,1,0,0,0
A. Moleiro,Marvin Park,Centrocampista,Delantero,67,1,0,0,0
Munir,Marc Cardona,Delantero,Delantero,88,0,0,0,0
Sandro,Benito Ramírez,Delantero,Delantero,78,0,0,0,0
M. Perrone,Pejiño,Centrocampista,Delantero,63,0,0,0,0
E. Loiodice,Fabio González,Centrocampista,Centrocampista,91,0,0,0,1
Marvin Park,Saúl Coco,Delantero,Defensa,91,0,0,0,1
Munir,C. Herrera,Delantero,Delantero,63,0,0,0,0
Sandro,S. Kaba,Delantero,Delantero,81,0,0,0,1
Sergi Cardona,D. Sinkgraven,Defensa,Defensa,74,0,0,0,0
Álex Suárez,Marc Cardona,Defensa,Delantero,58,0,0,0,0
M. Perrone,A. Moleiro,Centrocampista,Centrocampista,58,0,0,0,1
Munir,Pejiño,Delantero,Delantero,81,0,0,0,1
Sandro,Julián Araujo,Delantero,Defensa,58,0,0,0,0
M. Perrone,Marvin Park,Centrocampista,Delantero,59,0,0,0,0
Javi Muñoz,E. Loiodice,Centrocampista,Centrocampista,69,0,1,0,1
A. Moleiro,J. Campaña,Centrocampista,Centrocampista,59,0,0,0,0
Munir,Benito Ramírez,Delantero,Delantero,85,1,0,0,0
Sandro,Marc Cardona,Delantero,Delantero,85,1,0,0,0
Sergi Cardona,Benito Ramírez,Defensa,Delantero,79,0,0,0,1
Javi Muñoz,J. Campaña,Centrocampista,Centrocampista,72,0,0,0,0
E. Loiodice,A. Moleiro,Centrocampista,Centrocampista,71,0,0,0,0
Sandro,Marc Cardona,Delantero,Delantero,78,0,0,0,0
Munir,Aarón Escandell,Delantero,Portero,28,0,0,0,0
Sergi Cardona,D. Sinkgraven,Defensa,Defensa,81,0,0,0,0
M. Perrone,Pejiño,Centrocampista,Delantero,77,0,0,0,0
E. Loiodice,Javi Muñoz,Centrocampista,Centrocampista,62,0,0,0,0
Munir,Fabio González,Delantero,Centrocampista,77,0,1,0,0
S. Kaba,Sandro,Delantero,Delantero,62,0,0,0,0
