id_jugador,nombre,posicion,id_equipo
0,Andriy Lunin,Portero,0
1,Diego Piñeiro,Portero,0
2,Fran González,Portero,0
3,Kepa,Portero,0
4,Lucas Cañizares,Portero,0
5,Mario De Luis,Portero,0
6,T. Courtois,Portero,0
7,A. Rüdiger,Defensa,0
8,Álvaro Carrillo,Defensa,0
9,Dani Carvajal,Defensa,0
10,David Alaba,Defensa,0
11,Éder Militão,Defensa,0
12,Edgar Pujol,Defensa,0
13,Ferland Mendy,Defensa,0
14,Fran García,Defensa,0
15,Jacobo Ramón,Defensa,0
16,Lucas Vázquez,Defensa,0
17,Nacho,Defensa,0
18,Vinicius Tobias,Defensa,0
19,A. Tchouaméni,Centrocampista,0
20,Arda Güler,Centrocampista,0
21,Brahim Díaz,Centrocampista,0
22,Dani Ceballos,Centrocampista,0
23,E. Camavinga,Centrocampista,0
24,F. Valverde,Centrocampista,0
25,J. Bellingham,Centrocampista,0
26,Luka Modrić,Centrocampista,0
27,Mario Martín,Centrocampista,0
28,Nico Paz,Centrocampista,0
29,Theo Zidane,Centrocampista,0
30,Toni Kroos,Centrocampista,0
31,Álvaro,Delantero,0
32,Gonzalo García,Delantero,0
33,Joselu,Delantero,0
34,Rodrygo,Delantero,0
35,Vinícius Júnior,Delantero,0
36,A. Astralaga,Portero,1
37,A. Yaakobishvili,Portero,1
38,D. Kochen,Portero,1
39,Iñaki Peña,Portero,1
40,M. Ter Stegen,Portero,1
41,A. Christensen,Defensa,1
42,Álex Balde,Defensa,1
43,Héctor Fort,Defensa,1
44,Íñigo Martínez,Defensa,1
45,João Cancelo,Defensa,1
46,Jules Koundé,Defensa,1
47,Marcos Alonso,Defensa,1
48,Mikayil Faye,Defensa,1
49,Pau Cubarsí,Defensa,1
50,Ronald Araujo,Defensa,1
51,Aleix Garrido,Centrocampista,1
52,F. De Jong,Centrocampista,1
53,Fermín López,Centrocampista,1
54,Gavi,Centrocampista,1
55,İ. Gündoğan,Centrocampista,1
56,Marc Casadó,Centrocampista,1
57,Oriol Romeu,Centrocampista,1
58,Pau Prim,Centrocampista,1
59,Pedri,Centrocampista,1
60,Sergi Roberto,Centrocampista,1
61,Unai Hernández,Centrocampista,1
62,Ferran Torres,Delantero,1
63,João Félix,Delantero,1
64,Lamine Yamal,Delantero,1
65,Marc Guiu,Delantero,1
66,Pau Víctor,Delantero,1
67,R. Lewandowski,Delantero,1
68,Raphinha,Delantero,1
69,Vitor Roque,Delantero,1
70,Juan Carlos,Portero,2
71,P. Gazzaniga,Portero,2
72,Toni Fuidias,Portero,2
73,Antal,Defensa,2
74,Arnau Martínez,Defensa,2
75,Daley Blind,Defensa,2
76,David López,Defensa,2
77,Eric García,Defensa,2
78,Juanpe,Defensa,2
79,Miguel Gutiérrez,Defensa,2
80,Yan Couto,Defensa,2
81,Aleix García,Centrocampista,2
82,Borja García,Centrocampista,2
83,Iván Martín,Centrocampista,2
84,Jhon Solis,Centrocampista,2
85,Pablo Torre,Centrocampista,2
86,Ricard Artero,Centrocampista,2
87,Silvi Clua,Centrocampista,2
88,Y. Herrera,Centrocampista,2
89,Artem Dovbyk,Delantero,2
90,C. Stuani,Delantero,2
91,Carles Garrido,Delantero,2
92,Iker Almena,Delantero,2
93,Jastin García,Delantero,2
94,Portu,Delantero,2
95,Savinho,Delantero,2
96,Toni Villa,Delantero,2
97,V. Tsygankov,Delantero,2
98,Valery,Delantero,2
99,Antonio Gomis,Portero,3
100,H. Moldovan,Portero,3
101,Jan Oblak,Portero,3
102,Sergio Mestre,Portero,3
103,Axel Witsel,Defensa,3
104,C. Azpilicueta,Defensa,3
105,Gabriel Paulista,Defensa,3
106,Ilias Kostis,Defensa,3
107,J. Giménez,Defensa,3
108,M. Hermoso,Defensa,3
109,Marco Moreno,Defensa,3
110,Nahuel Molina,Defensa,3
111,Reinildo,Defensa,3
112,Stefan Savić,Defensa,3
113,A. Vermeeren,Centrocampista,3
114,Aitor Gismera,Centrocampista,3
115,Koke,Centrocampista,3
116,M. Llorente,Centrocampista,3
117,Pablo Barrios,Centrocampista,3
118,R. De Paul,Centrocampista,3
119,Rayane Belaid,Centrocampista,3
120,Saúl,Centrocampista,3
121,Thomas Lemar,Centrocampista,3
122,A. Griezmann,Delantero,3
123,Á. Morata,Delantero,3
124,Abde Raihani,Delantero,3
125,Adrián Niño,Delantero,3
126,Ángel Correa,Delantero,3
127,Marcos Paulo,Delantero,3
128,Memphis,Delantero,3
129,R. Riquelme,Delantero,3
130,Salim El Jebari,Delantero,3
131,Samuel Lino,Delantero,3
132,Vitolo,Delantero,3
133,Alex Padilla,Portero,4
134,J. Agirrezabala,Portero,4
135,Unai Simón,Portero,4
