id_dato_jugador_partido,id_jugador,id_partido,titular,amarilla,roja,lesion,cambio,asistencias,goles,sustituido_por
272,296,6,1,0,0,0,-1,0,0,-1
273,691,6,1,1,0,1,46,0,0,694
274,301,6,1,0,0,0,-1,0,0,-1
275,304,6,1,0,0,0,-1,0,0,-1
276,692,6,1,1,0,0,-1,0,0,-1
277,300,6,1,1,0,0,-1,0,0,-1
278,306,6,1,0,0,0,-1,0,0,-1
279,311,6,1,1,0,0,65,0,0,693
280,318,6,1,0,0,0,-1,0,0,-1
281,323,6,1,2,1,0,-1,0,0,-1
282,326,6,1,0,0,0,64,0,0,322
283,297,6,0,0,0,0,-1,0,0,-1
284,294,6,0,0,0,0,-1,0,0,-1
285,303,6,0,0,0,0,-1,0,0,-1
286,305,6,0,0,0,0,-1,0,0,-1
287,320,6,0,0,0,0,-1,0,0,-1
288,693,6,0,1,0,0,65,0,0,-1
289,322,6,0,0,0,0,64,0,0,-1
290,694,6,0,1,0,0,46,0,0,-1
291,40,6,1,0,0,0,-1,0,0,-1
292,41,6,1,0,0,0,46,0,0,696
293,46,6,1,0,0,0,-1,0,0,-1
294,42,6,1,0,0,0,-1,0,0,-1
295,50,6,1,0,0,0,-1,0,0,-1
296,52,6,1,0,0,0,-1,0,0,-1
297,57,6,1,0,0,0,76,0,0,64
298,59,6,1,0,0,0,79,0,0,54
299,55,6,1,0,0,0,79,0,0,697
300,68,6,1,0,1,0,-1,0,0,-1
301,67,6,1,0,0,0,-1,0,0,-1
302,36,6,0,0,0,0,-1,0,0,-1
303,695,6,0,0,0,0,-1,0,0,-1
304,54,6,0,1,0,0,79,0,0,-1
305,53,6,0,0,0,0,-1,0,0,-1
306,56,6,0,0,0,0,-1,0,0,-1
307,60,6,0,0,0,0,-1,0,0,-1
308,64,6,0,0,0,0,76,0,0,-1
309,696,6,0,0,0,0,46,0,0,-1
310,62,6,0,0,0,0,-1,0,0,-1
311,697,6,0,0,0,0,79,0,0,-1
1289,296,29,1,0,0,0,-1,0,0,-1
1290,691,29,1,0,0,0,62,0,0,308
1291,301,29,1,1,0,0,-1,0,0,-1
1292,304,29,1,0,0,0,-1,0,0,-1
1293,692,29,1,0,0,0,-1,0,0,-1
1294,300,29,1,0,0,0,-1,0,0,-1
1295,306,29,1,0,0,0,71,0,0,694
1296,318,29,1,0,0,0,-1,0,0,-1
1297,323,29,1,0,0,0,62,0,0,311
1298,322,29,1,0,0,0,90,0,1,303
1299,326,29,1,0,0,0,-1,0,0,-1
1300,297,29,0,0,0,0,-1,0,0,-1
1301,294,29,0,0,0,0,-1,0,0,-1
1302,303,29,0,0,0,0,90,0,0,-1
1303,305,29,0,0,0,0,-1,0,0,-1
1304,308,29,0,0,0,0,62,0,0,-1
1305,311,29,0,0,0,0,62,0,0,-1
1306,693,29,0,0,0,0,-1,0,0,-1
1307,694,29,0,0,0,0,71,0,0,-1
