id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
6,6,0,0,3,4,8,2,1,1,3,4,25,74,5,14,1
18,18,3,0,5,4,2,5,0,0,3,2,65,35,7,9,2
29,29,1,0,4,5,1,2,0,0,4,5,47,53,15,16,3
38,38,2,1,5,5,2,6,0,0,11,1,76,23,26,6,4
43,43,3,2,5,5,6,2,1,0,6,3,45,54,11,8,5
58,58,4,3,5,5,4,1,0,0,2,1,61,38,10,10,6
60,60,2,2,5,5,5,6,1,0,5,4,48,51,8,13,7
75,75,0,0,5,5,2,4,0,1,6,4,64,35,22,3,8
82,82,2,2,4,5,1,9,0,1,13,1,74,25,26,3,9
94,94,1,1,5,4,5,2,0,0,4,8,44,55,14,13,10
108,108,0,0,5,4,0,1,0,0,7,3,58,41,15,8,11
116,116,1,0,3,5,7,1,1,0,6,3,44,55,13,6,12
126,126,1,1,5,5,4,2,0,0,3,5,58,41,12,10,13
135,135,2,1,5,5,2,4,0,0,3,6,53,46,18,13,14
149,149,2,0,5,5,0,5,0,1,4,4,70,29,11,12,15
154,154,1,0,4,4,2,4,1,2,7,0,67,32,8,3,16
166,166,0,3,3,3,3,3,0,0,4,2,57,42,12,14,17
171,171,3,3,4,5,3,3,1,0,1,12,41,58,8,29,18
181,181,0,2,5,5,6,3,3,0,2,3,37,62,5,12,19
194,194,0,2,5,4,1,2,0,0,2,6,41,58,10,16,20
200,200,3,2,5,2,5,4,0,0,1,4,42,57,13,10,21
213,213,2,0,4,3,2,1,0,0,4,3,38,61,7,16,22
227,227,1,1,5,5,7,4,0,0,3,5,55,45,9,11,23
233,233,3,2,3,5,1,2,0,0,0,4,48,51,11,9,24
249,249,1,1,5,4,0,1,0,0,8,3,56,43,20,11,25
252,252,4,0,5,5,1,4,0,0,5,8,67,32,17,10,26
263,263,3,3,4,5,4,1,0,0,4,4,26,73,16,14,27
279,279,1,0,5,5,2,3,0,0,5,5,51,48,10,15,28
283,283,1,0,5,3,4,4,0,0,2,5,41,58,11,13,29
293,293,0,1,5,5,4,5,0,0,6,3,66,33,18,10,30
305,305,0,0,5,5,4,6,0,0,3,0,63,36,11,7,31
313,313,1,1,5,5,0,2,0,0,0,4,39,60,6,7,32
327,327,1,3,4,5,5,4,1,0,9,2,55,44,21,8,33
