id_jugador,nombre,posicion,id_equipo
648,Srdjan Babić,Defensa,19
649,Sergio Akieme,Defensa,19
650,Lázaro,Delantero,19
651,Kaiky,Defensa,19
652,Gui Guedes,Centrocampista,19
653,Arnau Puigmal,Centrocampista,19
654,Miguel Morro,Portero,14
655,Jorge Moreno,Defensa,14
656,Pablo Muñoz,Centrocampista,14
657,Salvi Sánchez,Delantero,14
658,Peru Nolaskoain,Centrocampista,4
659,Javi Martón,Delantero,4
660,Á. Odriozola,Defensa,0
661,Y. Carrasco,Delantero,3
662,Ivo Grbić,Portero,3
663,Javi Galán,Defensa,3
664,C. Söyüncü,Defensa,3
665,João Félix,Delantero,3
666,André Ferreira,Portero,18
667,S. Omorodion,Delantero,18
668,Wilson Manafá,Defensa,18
669,N. Petrović,Centrocampista,18
670,F. Diédhiou,Delantero,18
671,Alberto Perea,Delantero,18
672,Bryan Zaragoza,Delantero,18
673,Gabri Veiga,Centrocampista,16
674,G. Paciência,Delantero,16
675,Nacho Vidal,Defensa,10
676,Javi Martínez,Centrocampista,10
677,Chimy Ávila,Delantero,10
678,Bono,Portero,12
679,Ivan Rakitić,Centrocampista,12
680,Fernando,Centrocampista,12
681,G. Montiel,Defensa,12
682,F. Gattoni,Defensa,12
683,Tecatito,Delantero,12
684,Papu Gómez,Delantero,12
685,Gabriel Paulista,Defensa,7
686,César Tárrega,Defensa,7
687,Jonathan Viera,Centrocampista,13
688,Amath Ndiaye,Delantero,15
689,Pere Joan,Portero,15
690,S. Mitrović,Defensa,9
691,Damián Suárez,Defensa,9
692,Choco Lozano,Delantero,9
693,Portu,Delantero,9
694,Eric García,Defensa,1
695,Ez Abde,Delantero,1
696,Ansu Fati,Delantero,1
697,Diego Rico,Defensa,5
698,Momo Cho,Delantero,5
699,Robert Navarro,Delantero,5
700,Álex Sola,Delantero,5
701,J. Karrikaburu,Delantero,5
702,Bernardo,Defensa,2
703,Manu Vallejo,Delantero,2
704,Matteo Gabbia,Defensa,8
705,Ben Brereton,Delantero,8
706,Luiz Felipe,Defensa,6
707,Luiz Henrique,Delantero,6
708,Borja Iglesias,Delantero,6
709,Paul,Centrocampista,6
710,A. Guardado,Centrocampista,6
711,Juan Cruz,Delantero,6
712,M. Osmajić,Delantero,17
713,J. De La Rosa,Delantero,17
714,Á. Negredo,Delantero,17
715,M. De La Fuente,Delantero,11
716,Nikola Maraš,Defensa,11
717,Mamadou Sylla,Delantero,11
718,Arvin Appiah,Delantero,19
719,Á. Bastida,Centrocampista,17
720,Alberto Soro,Delantero,18
721,A. Marchesín,Portero,16
722,Daniel Luna,Centrocampista,15
723,Santi Bueno,Defensa,2
724,I. Kébé,Centrocampista,2
725,H. Mendes,Defensa,19
726,J. Karrikaburu,Delantero,11
727,David López,Defensa,15
728,Á. Carreras,Defensa,18
729,S. Weissman,Delantero,18
730,Marciano,Delantero,19
731,D. Brašanac,Centrocampista,10
732,Enes Ünal,Delantero,9
733,M. Šviderský,Centrocampista,19
734,Eric Monjonell,Defensa,2
