id_partido;fecha;temporada;liga;jornada;id_equipo_local;id_equipo_visitante;finalizado
0;11-ago-23;2024;primera;1;19;14;1
1;12-ago-23;2024;primera;1;4;0;1
2;14-ago-23;2024;primera;1;3;18;1
3;13-ago-23;2024;primera;1;16;10;1
4;11-ago-23;2024;primera;1;12;7;1
5;12-ago-23;2024;primera;1;13;15;1
6;13-ago-23;2024;primera;1;9;1;1
7;12-ago-23;2024;primera;1;5;2;1
8;13-ago-23;2024;primera;1;8;6;1
9;14-ago-23;2024;primera;1;17;11;1
10;19-ago-23;2024;primera;2;19;0;1
11;20-ago-23;2024;primera;2;1;17;1
12;18-ago-23;2024;primera;2;15;8;1
13;21-ago-23;2024;primera;2;18;14;1
14;21-ago-23;2024;primera;2;11;12;1
15;19-ago-23;2024;primera;2;10;4;1
16;20-ago-23;2024;primera;2;6;3;1
17;19-ago-23;2024;primera;2;5;16;1
18;20-ago-23;2024;primera;2;2;9;1
19;18-ago-23;2024;primera;2;7;13;1
20;27-ago-23;2024;primera;3;4;6;1
21;25-ago-23;2024;primera;3;16;0;1
22;26-ago-23;2024;primera;3;18;15;1
23;25-ago-23;2024;primera;3;13;5;1
24;26-ago-23;2024;primera;3;17;19;1
25;28-ago-23;2024;primera;3;14;3;1
26;27-ago-23;2024;primera;3;8;1;1
27;26-ago-23;2024;primera;3;12;2;1
28;27-ago-23;2024;primera;3;7;10;1
29;28-ago-23;2024;primera;3;9;11;1
30;01-sep-23;2024;primera;4;19;16;1
31;23-dic-23;2024;primera;4;3;12;1
32;02-sep-23;2024;primera;4;6;14;1
33;01-sep-23;2024;primera;4;17;8;1
34;03-sep-23;2024;primera;4;2;13;1
35;02-sep-23;2024;primera;4;11;7;1
36;03-sep-23;2024;primera;4;15;4;1
37;03-sep-23;2024;primera;4;10;1;1
38;02-sep-23;2024;primera;4;0;9;1
39;02-sep-23;2024;primera;4;5;18;1
40;16-sep-23;2024;primera;5;4;17;1
41;16-sep-23;2024;primera;5;1;6;1
42;16-sep-23;2024;primera;5;16;15;1
43;17-sep-23;2024;primera;5;9;10;1
44;17-sep-23;2024;primera;5;0;5;1
45;17-sep-23;2024;primera;5;8;19;1
46;16-sep-23;2024;primera;5;7;3;1
47;18-sep-23;2024;primera;5;18;2;1
48;17-sep-23;2024;primera;5;12;13;1
49;15-sep-23;2024;primera;5;14;11;1
50;24-sep-23;2024;primera;6;3;0;1
51;23-sep-23;2024;primera;6;19;7;1
52;23-sep-23;2024;primera;6;1;16;1
53;24-sep-23;2024;primera;6;6;17;1
54;23-sep-23;2024;primera;6;2;15;1
55;23-sep-23;2024;primera;6;10;12;1
56;24-sep-23;2024;primera;6;14;8;1
57;22-sep-23;2024;primera;6;11;4;1
58;24-sep-23;2024;primera;6;5;9;1
59;24-sep-23;2024;primera;6;13;18;1
60;27-sep-23;2024;primera;7;4;9;1
61;27-sep-23;2024;primera;7;17;14;1
62;26-sep-23;2024;primera;7;12;19;1
63;28-sep-23;2024;primera;7;10;3;1
64;26-sep-23;2024;primera;7;15;1;1
65;28-sep-23;2024;primera;7;18;6;1
66;27-sep-23;2024;primera;7;8;2;1
67;27-sep-23;2024;primera;7;7;5;1
68;27-sep-23;2024;primera;7;0;13;1
69;28-sep-23;2024;primera;7;16;11;1
70;30-sep-23;2024;primera;8;5;4;1
71;01-oct-23;2024;primera;8;19;18;1
72;01-oct-23;2024;primera;8;3;17;1
73;29-sep-23;2024;primera;8;1;12;1
74;01-oct-23;2024;primera;8;6;7;1
75;30-sep-23;2024;primera;8;9;8;1
76;30-sep-23;2024;primera;8;2;0;1
77;01-oct-23;2024;primera;8;11;10;1
78;02-oct-23;2024;primera;8;13;16;1
79;30-sep-23;2024;primera;8;14;15;1
80;08-oct-23;2024;primera;9;3;5;1
81;07-oct-23;2024;primera;9;17;2;1
82;08-oct-23;2024;primera;9;16;9;1
83;07-oct-23;2024;primera;9;15;7;1
84;08-oct-23;2024;primera;9;11;6;1
85;06-oct-23;2024;primera;9;4;19;1
86;08-oct-23;2024;primera;9;18;1;1
87;07-oct-23;2024;primera;9;0;10;1
88;07-oct-23;2024;primera;9;12;14;1
89;08-oct-23;2024;primera;9;8;13;1
90;22-oct-23;2024;primera;10;13;14;1
91;22-oct-23;2024;primera;10;2;19;1
92;22-oct-23;2024;primera;10;1;4;1
93;21-oct-23;2024;primera;10;16;3;1
94;21-oct-23;2024;primera;10;9;6;1
95;23-oct-23;2024;primera;10;7;17;1
96;21-oct-23;2024;primera;10;5;15;1
97;21-oct-23;2024;primera;10;12;0;1
98;20-oct-23;2024;primera;10;10;18;1
99;22-oct-23;2024;primera;10;8;11;1
100;28-oct-23;2024;primera;11;1;0;1
101;28-oct-23;2024;primera;11;19;13;1
102;29-oct-23;2024;primera;11;4;7;1
103;29-oct-23;2024;primera;11;6;10;1
104;28-oct-23;2024;primera;11;17;12;1
105;29-oct-23;2024;primera;11;14;5;1
106;30-oct-23;2024;primera;11;18;8;1
107;27-oct-23;2024;primera;11;2;16;1
108;28-oct-23;2024;primera;11;15;9;1
109;29-oct-23;2024;primera;11;3;11;1
110;04-nov-23;2024;primera;12;6;15;1
111;04-nov-23;2024;primera;12;16;12;1
112;05-nov-23;2024;primera;12;11;19;1
113;05-nov-23;2024;primera;12;8;4;1
114;03-nov-23;2024;primera;12;13;3;1
115;04-nov-23;2024;primera;12;5;1;1
116;06-nov-23;2024;primera;12;9;17;1
117;04-nov-23;2024;primera;12;10;2;1
118;05-nov-23;2024;primera;12;0;14;1
119;05-nov-23;2024;primera;12;7;18;1
120;12-nov-23;2024;primera;13;12;6;1
121;11-nov-23;2024;primera;13;19;5;1
