id_jugador,nombre,equipo,posicion,id_partido,titular
163,Álex Remiro,5,Portero,7,1
177,R. Le Normand,5,Defensa,7,1
170,Igor Zubeldia,5,Defensa,7,1
168,Aihen Muñoz,5,Defensa,7,1
169,Hamari Traoré,5,Defensa,7,1
181,M. Zubimendi,5,Centrocampista,7,1
178,B. Turrientes,5,Centrocampista,7,1
179,Brais Méndez,5,Centrocampista,7,1
193,M. Oyarzabal,5,Delantero,7,1
191,C. Fernández,5,Delantero,7,1
195,Take Kubo,5,Delantero,7,1
71,P. Gazzaniga,2,Portero,7,1
75,Daley Blind,2,Defensa,7,1
76,David López,2,Defensa,7,1
79,Miguel Gutiérrez,2,Defensa,7,1
74,Arnau Martínez,2,Defensa,7,1
80,Yan Couto,2,Defensa,7,1
81,Aleix García,2,Centrocampista,7,1
88,Y. Herrera,2,Centrocampista,7,1
97,V. Tsygankov,2,Delantero,7,1
95,Savinho,2,Delantero,7,1
90,C. Stuani,2,Delantero,7,1
163,Álex Remiro,5,Portero,17,1
177,R. Le Normand,5,Defensa,17,1
170,Igor Zubeldia,5,Defensa,17,1
168,Aihen Muñoz,5,Defensa,17,1
169,Hamari Traoré,5,Defensa,17,1
181,M. Zubimendi,5,Centrocampista,17,1
178,B. Turrientes,5,Centrocampista,17,1
179,Brais Méndez,5,Centrocampista,17,1
186,A. Barrenetxea,5,Delantero,17,1
191,C. Fernández,5,Delantero,17,1
195,Take Kubo,5,Delantero,17,1
519,Iván Villar,16,Portero,17,1
532,Unai Núñez,16,Defensa,17,1
523,Carl Starfelt,16,Defensa,17,1
529,Manu Sánchez,16,Defensa,17,1
531,Ó. Mingueza,16,Defensa,17,1
536,Hugo Sotelo,16,Centrocampista,17,1
535,Fran Beltrán,16,Centrocampista,17,1
538,L. De La Torre,16,Centrocampista,17,1
546,J. Bamba,16,Delantero,17,1
547,J. Larsen,16,Delantero,17,1
545,Iago Aspas,16,Delantero,17,1
163,Álex Remiro,5,Portero,39,1
177,R. Le Normand,5,Defensa,39,1
170,Igor Zubeldia,5,Defensa,39,1
176,K. Tierney,5,Defensa,39,1
169,Hamari Traoré,5,Defensa,39,1
181,M. Zubimendi,5,Centrocampista,39,1
182,Mikel Merino,5,Centrocampista,39,1
179,Brais Méndez,5,Centrocampista,39,1
186,A. Barrenetxea,5,Delantero,39,1
193,M. Oyarzabal,5,Delantero,39,1
195,Take Kubo,5,Delantero,39,1
591,Raúl Fernández,18,Portero,39,1
598,Miguel Rubio,18,Defensa,39,1
595,Ignasi Miquel,18,Defensa,39,1
602,Víctor Díaz,18,Defensa,39,1
593,Carlos Neva,18,Defensa,39,1
603,G. Gumbau,18,Centrocampista,39,1
609,Sergio Ruiz,18,Centrocampista,39,1
613,José Callejón,18,Delantero,39,1
672,Bryan Zaragoza,18,Delantero,39,1
615,Lucas Boyé,18,Delantero,39,1
617,Myrto Uzuni,18,Delantero,39,1
163,Álex Remiro,5,Portero,58,1
177,R. Le Normand,5,Defensa,58,1
170,Igor Zubeldia,5,Defensa,58,1
168,Aihen Muñoz,5,Defensa,58,1
169,Hamari Traoré,5,Defensa,58,1
178,B. Turrientes,5,Centrocampista,58,1
185,Urko González,5,Centrocampista,58,1
179,Brais Méndez,5,Centrocampista,58,1
186,A. Barrenetxea,5,Delantero,58,1
195,Take Kubo,5,Delantero,58,1
196,Umar Sadiq,5,Delantero,58,1
296,David Soria,9,Portero,58,1
308,O. Alderete,9,Defensa,58,1
691,S. Mitrović,9,Defensa,58,1
302,Diego Rico,9,Defensa,58,1
692,Damián Suárez,9,Defensa,58,1
300,D. Djené,9,Defensa,58,1
299,Carmona,9,Defensa,58,1
318,N. Maksimović,9,Centrocampista,58,1
311,C. Aleñá,9,Centrocampista,58,1
323,J. Mata,9,Delantero,58,1
322,B. Mayoral,9,Delantero,58,1
163,Álex Remiro,5,Portero,70,1
