id_jugador,nombre,equipo,posicion,id_partido,titular
163,Álex Remiro,5,Portero,23,1
177,R. Le Normand,5,Defensa,23,1
170,Igor Zubeldia,5,Defensa,23,1
168,Aihen Muñoz,5,Defensa,23,1
169,Hamari Traoré,5,Defensa,23,1
182,Mikel Merino,5,Centrocampista,23,1
181,M. Zubimendi,5,Centrocampista,23,1
179,Brais Méndez,5,Centrocampista,23,1
186,A. Barrenetxea,5,Delantero,23,1
195,Take Kubo,5,Delantero,23,1
191,C. Fernández,5,Delantero,23,1
163,Álex Remiro,5,Portero,44,1
177,R. Le Normand,5,Defensa,44,1
170,Igor Zubeldia,5,Defensa,44,1
176,K. Tierney,5,Defensa,44,1
169,Hamari Traoré,5,Defensa,44,1
181,M. Zubimendi,5,Centrocampista,44,1
182,Mikel Merino,5,Centrocampista,44,1
179,Brais Méndez,5,Centrocampista,44,1
186,A. Barrenetxea,5,Delantero,44,1
193,M. Oyarzabal,5,Delantero,44,1
195,Take Kubo,5,Delantero,44,1
163,Álex Remiro,5,Portero,67,1
175,Jon Pacheco,5,Defensa,67,1
166,A. Elustondo,5,Defensa,67,1
176,K. Tierney,5,Defensa,67,1
169,Hamari Traoré,5,Defensa,67,1
185,Urko González,5,Centrocampista,67,1
178,B. Turrientes,5,Centrocampista,67,1
182,Mikel Merino,5,Centrocampista,67,1
701,Momo Cho,5,Delantero,67,1
191,C. Fernández,5,Delantero,67,1
193,M. Oyarzabal,5,Delantero,67,1
163,Álex Remiro,5,Portero,80,1
177,R. Le Normand,5,Defensa,80,1
170,Igor Zubeldia,5,Defensa,80,1
168,Aihen Muñoz,5,Defensa,80,1
169,Hamari Traoré,5,Defensa,80,1
181,M. Zubimendi,5,Centrocampista,80,1
182,Mikel Merino,5,Centrocampista,80,1
179,Brais Méndez,5,Centrocampista,80,1
186,A. Barrenetxea,5,Delantero,80,1
193,M. Oyarzabal,5,Delantero,80,1
195,Take Kubo,5,Delantero,80,1
163,Álex Remiro,5,Portero,105,1
175,Jon Pacheco,5,Defensa,105,1
170,Igor Zubeldia,5,Defensa,105,1
168,Aihen Muñoz,5,Defensa,105,1
169,Hamari Traoré,5,Defensa,105,1
181,M. Zubimendi,5,Centrocampista,105,1
179,Brais Méndez,5,Centrocampista,105,1
178,B. Turrientes,5,Centrocampista,105,1
195,Take Kubo,5,Delantero,105,1
186,A. Barrenetxea,5,Delantero,105,1
193,M. Oyarzabal,5,Delantero,105,1
163,Álex Remiro,5,Portero,121,1
177,R. Le Normand,5,Defensa,121,1
166,A. Elustondo,5,Defensa,121,1
168,Aihen Muñoz,5,Defensa,121,1
169,Hamari Traoré,5,Defensa,121,1
