id_jugador,nombre,equipo,posicion,id_partido,titular
433,Álvaro Valles,13,Portero,19,1
440,Mika Mármol,13,Defensa,19,1
434,Álex Suárez,13,Defensa,19,1
436,D. Sinkgraven,13,Defensa,19,1
435,Álvaro Lemos,13,Defensa,19,1
449,Kirian,13,Centrocampista,19,1
444,E. Loiodice,13,Centrocampista,19,1
448,Javi Muñoz,13,Centrocampista,19,1
688,Jonathan Viera,13,Centrocampista,19,1
460,Sandro,13,Delantero,19,1
456,Munir,13,Delantero,19,1
433,Álvaro Valles,13,Portero,34,1
440,Mika Mármol,13,Defensa,34,1
434,Álex Suárez,13,Defensa,34,1
442,Sergi Cardona,13,Defensa,34,1
439,Julián Araujo,13,Defensa,34,1
449,Kirian,13,Centrocampista,34,1
444,E. Loiodice,13,Centrocampista,34,1
688,Jonathan Viera,13,Centrocampista,34,1
456,Munir,13,Delantero,34,1
458,Pejiño,13,Delantero,34,1
459,S. Kaba,13,Delantero,34,1
433,Álvaro Valles,13,Portero,48,1
440,Mika Mármol,13,Defensa,48,1
434,Álex Suárez,13,Defensa,48,1
442,Sergi Cardona,13,Defensa,48,1
439,Julián Araujo,13,Defensa,48,1
449,Kirian,13,Centrocampista,48,1
444,E. Loiodice,13,Centrocampista,48,1
688,Jonathan Viera,13,Centrocampista,48,1
460,Sandro,13,Delantero,48,1
456,Munir,13,Delantero,48,1
459,S. Kaba,13,Delantero,48,1
433,Álvaro Valles,13,Portero,68,1
437,Eric Curbelo,13,Defensa,68,1
441,Saúl Coco,13,Defensa,68,1
436,D. Sinkgraven,13,Defensa,68,1
439,Julián Araujo,13,Defensa,68,1
451,Nuke Mfulu,13,Centrocampista,68,1
448,Javi Muñoz,13,Centrocampista,68,1
688,Jonathan Viera,13,Centrocampista,68,1
456,Munir,13,Delantero,68,1
453,C. Herrera,13,Delantero,68,1
459,S. Kaba,13,Delantero,68,1
433,Álvaro Valles,13,Portero,89,1
440,Mika Mármol,13,Defensa,89,1
441,Saúl Coco,13,Defensa,89,1
442,Sergi Cardona,13,Defensa,89,1
434,Álex Suárez,13,Defensa,89,1
449,Kirian,13,Centrocampista,89,1
448,Javi Muñoz,13,Centrocampista,89,1
444,E. Loiodice,13,Centrocampista,89,1
456,Munir,13,Delantero,89,1
458,Pejiño,13,Delantero,89,1
454,Marc Cardona,13,Delantero,89,1
433,Álvaro Valles,13,Portero,101,1
440,Mika Mármol,13,Defensa,101,1
441,Saúl Coco,13,Defensa,101,1
442,Sergi Cardona,13,Defensa,101,1
434,Álex Suárez,13,Defensa,101,1
450,M. Perrone,13,Centrocampista,101,1
448,Javi Muñoz,13,Centrocampista,101,1
449,Kirian,13,Centrocampista,101,1
455,Marvin Park,13,Delantero,101,1
456,Munir,13,Delantero,101,1
454,Marc Cardona,13,Delantero,101,1
433,Álvaro Valles,13,Portero,128,1
440,Mika Mármol,13,Defensa,128,1
441,Saúl Coco,13,Defensa,128,1
442,Sergi Cardona,13,Defensa,128,1
434,Álex Suárez,13,Defensa,128,1
450,M. Perrone,13,Centrocampista,128,1
448,Javi Muñoz,13,Centrocampista,128,1
449,Kirian,13,Centrocampista,128,1
455,Marvin Park,13,Delantero,128,1
456,Munir,13,Delantero,128,1
459,S. Kaba,13,Delantero,128,1
433,Álvaro Valles,13,Portero,131,1
440,Mika Mármol,13,Defensa,131,1
441,Saúl Coco,13,Defensa,131,1
442,Sergi Cardona,13,Defensa,131,1
434,Álex Suárez,13,Defensa,131,1
450,M. Perrone,13,Centrocampista,131,1
448,Javi Muñoz,13,Centrocampista,131,1
449,Kirian,13,Centrocampista,131,1
443,A. Moleiro,13,Centrocampista,131,1
455,Marvin Park,13,Delantero,131,1
456,Munir,13,Delantero,131,1
433,Álvaro Valles,13,Portero,152,1
440,Mika Mármol,13,Defensa,152,1
441,Saúl Coco,13,Defensa,152,1
442,Sergi Cardona,13,Defensa,152,1
439,Julián Araujo,13,Defensa,152,1
444,E. Loiodice,13,Centrocampista,152,1
448,Javi Muñoz,13,Centrocampista,152,1
449,Kirian,13,Centrocampista,152,1
443,A. Moleiro,13,Centrocampista,152,1
456,Munir,13,Delantero,152,1
454,Marc Cardona,13,Delantero,152,1
433,Álvaro Valles,13,Portero,170,1
440,Mika Mármol,13,Defensa,170,1
441,Saúl Coco,13,Defensa,170,1
442,Sergi Cardona,13,Defensa,170,1
439,Julián Araujo,13,Defensa,170,1
450,M. Perrone,13,Centrocampista,170,1
448,Javi Muñoz,13,Centrocampista,170,1
444,E. Loiodice,13,Centrocampista,170,1
455,Marvin Park,13,Delantero,170,1
456,Munir,13,Delantero,170,1
459,S. Kaba,13,Delantero,170,1
433,Álvaro Valles,13,Portero,204,1
440,Mika Mármol,13,Defensa,204,1
438,Juanma Herzog,13,Defensa,204,1
442,Sergi Cardona,13,Defensa,204,1
434,Álex Suárez,13,Defensa,204,1
450,M. Perrone,13,Centrocampista,204,1
448,Javi Muñoz,13,Centrocampista,204,1
449,Kirian,13,Centrocampista,204,1
443,A. Moleiro,13,Centrocampista,204,1
456,Munir,13,Delantero,204,1
460,Sandro,13,Delantero,204,1
433,Álvaro Valles,13,Portero,225,1
440,Mika Mármol,13,Defensa,225,1
434,Álex Suárez,13,Defensa,225,1
442,Sergi Cardona,13,Defensa,225,1
450,M. Perrone,13,Centrocampista,225,1
444,E. Loiodice,13,Centrocampista,225,1
449,Kirian,13,Centrocampista,225,1
443,A. Moleiro,13,Centrocampista,225,1
455,Marvin Park,13,Delantero,225,1
456,Munir,13,Delantero,225,1
460,Sandro,13,Delantero,225,1
433,Álvaro Valles,13,Portero,242,1
440,Mika Mármol,13,Defensa,242,1
441,Saúl Coco,13,Defensa,242,1
442,Sergi Cardona,13,Defensa,242,1
434,Álex Suárez,13,Defensa,242,1
450,M. Perrone,13,Centrocampista,242,1
448,Javi Muñoz,13,Centrocampista,242,1
449,Kirian,13,Centrocampista,242,1
455,Marvin Park,13,Delantero,242,1
456,Munir,13,Delantero,242,1
460,Sandro,13,Delantero,242,1
433,Álvaro Valles,13,Portero,263,1
440,Mika Mármol,13,Defensa,263,1
441,Saúl Coco,13,Defensa,263,1
442,Sergi Cardona,13,Defensa,263,1
439,Julián Araujo,13,Defensa,263,1
450,M. Perrone,13,Centrocampista,263,1
448,Javi Muñoz,13,Centrocampista,263,1
449,Kirian,13,Centrocampista,263,1
443,A. Moleiro,13,Centrocampista,263,1
456,Munir,13,Delantero,263,1
460,Sandro,13,Delantero,263,1
433,Álvaro Valles,13,Portero,292,1
440,Mika Mármol,13,Defensa,292,1
441,Saúl Coco,13,Defensa,292,1
442,Sergi Cardona,13,Defensa,292,1
434,Álex Suárez,13,Defensa,292,1
449,Kirian,13,Centrocampista,292,1
448,Javi Muñoz,13,Centrocampista,292,1
444,E. Loiodice,13,Centrocampista,292,1
455,Marvin Park,13,Delantero,292,1
460,Sandro,13,Delantero,292,1
456,Munir,13,Delantero,292,1
433,Álvaro Valles,13,Portero,316,1
440,Mika Mármol,13,Defensa,316,1
438,Juanma Herzog,13,Defensa,316,1
442,Sergi Cardona,13,Defensa,316,1
434,Álex Suárez,13,Defensa,316,1
450,M. Perrone,13,Centrocampista,316,1
444,E. Loiodice,13,Centrocampista,316,1
449,Kirian,13,Centrocampista,316,1
443,A. Moleiro,13,Centrocampista,316,1
456,Munir,13,Delantero,316,1
459,S. Kaba,13,Delantero,316,1
