nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
A. Christensen,Eric García,Defensa,Defensa,79,0,0,0,0
Álex Balde,Ansu Fati,Defensa,Delantero,68,0,0,0,0
Oriol Romeu,Sergi Roberto,Centrocampista,Centrocampista,79,0,0,0,0
Gavi,Ez Abde,Centrocampista,Delantero,68,0,0,0,1
Lamine Yamal,Ferran Torres,Delantero,Delantero,85,0,0,0,0
A. Christensen,Íñigo Martínez,Defensa,Defensa,76,0,1,0,0
Álex Balde,Marcos Alonso,Defensa,Defensa,76,0,0,0,0
Oriol Romeu,Lamine Yamal,Centrocampista,Delantero,64,0,1,0,0
João Félix,İ. Gündoğan,Delantero,Centrocampista,64,1,0,0,0
Ferran Torres,Raphinha,Delantero,Delantero,63,1,0,0,0
A. Christensen,Álex Balde,Defensa,Defensa,60,0,0,0,1
Marcos Alonso,Lamine Yamal,Defensa,Delantero,46,0,0,0,0
Oriol Romeu,Ronald Araujo,Centrocampista,Defensa,46,0,0,0,0
F. De Jong,Gavi,Centrocampista,Centrocampista,36,0,0,1,0
Ferran Torres,Raphinha,Delantero,Delantero,72,0,0,0,0
Raphinha,Fermín López,Delantero,Centrocampista,37,0,0,1,0
João Félix,Ferran Torres,Delantero,Delantero,71,0,0,0,0
Lamine Yamal,Oriol Romeu,Delantero,Centrocampista,82,0,0,0,0
A. Christensen,Lamine Yamal,Defensa,Delantero,60,0,0,0,0
Álex Balde,Marc Guiu,Defensa,Delantero,79,0,0,0,0
Oriol Romeu,Ronald Araujo,Centrocampista,Defensa,60,0,0,0,1
Fermín López,Marcos Alonso,Centrocampista,Defensa,79,0,0,0,0
João Cancelo,Lamine Yamal,Defensa,Delantero,76,0,0,0,0
Fermín López,Oriol Romeu,Centrocampista,Centrocampista,72,0,0,0,1
João Félix,Raphinha,Delantero,Delantero,77,0,0,0,0
Ferran Torres,R. Lewandowski,Delantero,Delantero,61,0,0,0,1
Jules Koundé,Ferran Torres,Defensa,Delantero,70,0,1,0,0
Pedri,Oriol Romeu,Centrocampista,Centrocampista,81,0,0,0,0
Fermín López,Raphinha,Centrocampista,Delantero,63,0,0,0,0
João Félix,Álex Balde,Delantero,Defensa,70,0,0,0,0
