id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
6,6,0,0,3,4,8,2,1,1,3,4,25,74,5,14,1
11,11,2,0,5,5,4,3,0,0,10,2,75,24,23,10,2
26,26,3,4,5,4,3,3,0,0,2,6,39,60,13,21,3
37,37,1,2,5,5,1,3,1,0,8,5,29,70,11,9,4
41,41,5,0,5,5,1,2,0,0,9,5,65,34,17,11,5
52,52,3,2,5,4,2,1,0,0,2,3,74,25,15,13,6
64,64,2,2,5,4,4,1,1,0,7,2,30,69,10,10,7
73,73,1,0,3,5,2,3,0,0,13,3,58,41,18,12,8
86,86,2,2,5,3,5,1,0,0,1,11,19,80,7,22,9
92,92,1,0,4,5,3,3,0,0,4,7,62,37,12,10,10
100,100,1,2,4,4,2,1,0,0,6,3,52,47,15,13,11
115,115,0,1,3,4,3,3,0,0,8,3,51,49,13,12,12
129,129,2,1,4,5,2,1,0,0,2,1,71,28,11,8,13
137,137,1,1,5,4,3,4,0,0,1,4,33,66,10,15,14
