nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
A. Sedlar,A. Rebbach,Defensa,Delantero,64,0,0,0,1
Rubén Duarte,Javi López,Defensa,Defensa,64,0,0,0,1
Ander Guevara,Mamadou Sylla,Centrocampista,Delantero,85,0,0,0,0
Antonio Blanco,C. Benavidez,Centrocampista,Centrocampista,64,0,0,0,0
M. De La Fuente,Kike García,Delantero,Delantero,57,0,0,0,0
A. Abqar,Antonio Blanco,Defensa,Centrocampista,92,0,0,0,1
C. Benavidez,Rafa Marín,Centrocampista,Defensa,92,0,0,0,0
Ander Guevara,A. Rebbach,Centrocampista,Delantero,85,0,0,0,0
Kike García,S. Omorodion,Delantero,Delantero,76,0,0,0,0
Xeber Alkain,M. De La Fuente,Delantero,Delantero,85,0,0,0,1
Rubén Duarte,S. Omorodion,Defensa,Delantero,68,0,0,0,1
Jon Guridi,A. Rebbach,Centrocampista,Delantero,64,0,0,0,0
Luis Rioja,J. Karrikaburu,Delantero,Delantero,83,0,0,0,0
Álex Sola,Ianis Hagi,Delantero,Centrocampista,64,0,0,0,1
Kike García,Javi López,Delantero,Defensa,68,0,0,0,0
Javi López,Rubén Duarte,Defensa,Defensa,85,0,1,0,1
Jon Guridi,Luis Rioja,Centrocampista,Delantero,62,0,0,0,0
Ianis Hagi,Kike García,Centrocampista,Delantero,69,0,0,0,0
A. Rebbach,Antonio Blanco,Delantero,Centrocampista,62,0,0,0,0
Álex Sola,Xeber Alkain,Delantero,Delantero,69,0,0,0,0
A. Gorosabel,Xeber Alkain,Defensa,Delantero,93,0,0,0,0
Ander Guevara,Rafa Marín,Centrocampista,Defensa,93,0,0,0,1
Luis Rioja,A. Rebbach,Delantero,Delantero,94,0,0,0,0
Álex Sola,N. Tenaglia,Delantero,Defensa,77,0,0,0,0
S. Omorodion,Kike García,Delantero,Delantero,88,1,0,0,0
Antonio Blanco,C. Benavidez,Centrocampista,Centrocampista,84,0,0,0,0
Jon Guridi,A. Rebbach,Centrocampista,Delantero,63,0,0,0,0
Luis Rioja,Ianis Hagi,Delantero,Centrocampista,63,0,0,0,0
Álex Sola,Javi López,Delantero,Defensa,46,0,0,0,0
S. Omorodion,Kike García,Delantero,Delantero,73,0,0,0,0
A. Gorosabel,N. Tenaglia,Defensa,Defensa,85,0,0,0,0
Antonio Blanco,Tomás Mendes,Centrocampista,Centrocampista,85,0,0,0,0
Jon Guridi,Ianis Hagi,Centrocampista,Centrocampista,79,0,0,0,0
Luis Rioja,A. Rebbach,Delantero,Delantero,63,0,0,0,0
S. Omorodion,Kike García,Delantero,Delantero,79,1,0,0,0
Ander Guevara,C. Benavidez,Centrocampista,Centrocampista,83,0,0,0,1
Jon Guridi,Ianis Hagi,Centrocampista,Centrocampista,75,0,0,0,0
A. Rebbach,Álex Sola,Delantero,Delantero,67,0,0,0,0
Luis Rioja,Rubén Duarte,Delantero,Defensa,75,0,0,0,0
S. Omorodion,Kike García,Delantero,Delantero,83,0,0,0,0
A. Gorosabel,Kike García,Defensa,Delantero,73,0,0,0,0
Antonio Blanco,C. Benavidez,Centrocampista,Centrocampista,78,0,0,0,0
Jon Guridi,A. Rebbach,Centrocampista,Delantero,61,0,0,0,0
Luis Rioja,Ianis Hagi,Delantero,Centrocampista,61,0,0,0,0
S. Omorodion,Álex Sola,Delantero,Delantero,73,0,0,0,0
