nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Isco,Rodri,Centrocampista,Centrocampista,72,0,0,0,1
Ayoze,A. Guardado,Delantero,Centrocampista,84,0,0,0,0
Aitor Ruibal,Juan Cruz,Delantero,Delantero,72,0,0,0,1
Borja Iglesias,Willian José,Delantero,Delantero,62,0,0,0,0
J. Miranda,A. Guardado,Defensa,Centrocampista,46,0,0,0,1
Guido Rodríguez,Abner Vinícius,Centrocampista,Defensa,46,0,0,0,1
Isco,Sergi Altimira,Centrocampista,Centrocampista,92,0,0,0,0
Rodri,Borja Iglesias,Centrocampista,Delantero,76,0,0,0,0
Willian José,Juan Cruz,Delantero,Delantero,76,1,0,1,0
J. Miranda,Abner Vinícius,Defensa,Defensa,61,0,0,0,1
Héctor Bellerín,Aitor Ruibal,Defensa,Delantero,87,0,0,0,0
Marc Roca,A. Guardado,Centrocampista,Centrocampista,61,0,0,0,0
Rodri,Luiz Henrique,Centrocampista,Delantero,61,0,0,0,0
Willian José,Ez Abde,Delantero,Delantero,46,0,0,0,0
Marc Bartra,Chadi Riad,Defensa,Defensa,46,0,0,0,0
Guido Rodríguez,Sergi Altimira,Centrocampista,Centrocampista,88,0,0,0,0
Isco,W. Carvalho,Centrocampista,Centrocampista,62,0,1,0,0
Assane Diao,Ez Abde,Delantero,Delantero,72,1,0,0,0
Ayoze,Borja Iglesias,Delantero,Delantero,72,0,0,0,1
J. Miranda,Abner Vinícius,Defensa,Defensa,87,0,0,0,0
Marc Roca,W. Carvalho,Centrocampista,Centrocampista,87,0,0,0,0
Ayoze,Ez Abde,Delantero,Delantero,75,0,0,0,0
Willian José,Luiz Henrique,Delantero,Delantero,64,1,0,0,0
Chadi Riad,Ez Abde,Defensa,Delantero,69,0,0,0,0
Isco,Nabil Fekir,Centrocampista,Centrocampista,87,0,0,0,0
Assane Diao,Luiz Henrique,Delantero,Delantero,61,0,0,0,0
Willian José,W. Carvalho,Delantero,Centrocampista,69,1,0,0,0
W. Carvalho,A. Guardado,Centrocampista,Centrocampista,52,0,0,1,0
Isco,Nabil Fekir,Centrocampista,Centrocampista,76,0,0,0,0
Ayoze,Ez Abde,Delantero,Delantero,60,0,0,0,0
Luiz Henrique,Rodri,Delantero,Centrocampista,60,0,0,0,0
Willian José,Borja Iglesias,Delantero,Delantero,75,1,0,0,0
Sergi Altimira,A. Guardado,Centrocampista,Centrocampista,70,0,0,0,0
Ez Abde,Assane Diao,Delantero,Delantero,61,0,0,0,0
Ayoze,Luiz Henrique,Delantero,Delantero,83,0,0,0,1
Héctor Bellerín,Aitor Ruibal,Defensa,Delantero,15,0,0,1,0
Marc Roca,Ez Abde,Centrocampista,Delantero,66,0,0,0,1
A. Guardado,W. Carvalho,Centrocampista,Centrocampista,46,0,0,0,1
Rodri,Borja Iglesias,Centrocampista,Delantero,66,0,0,0,0
Willian José,Sergi Altimira,Delantero,Centrocampista,66,0,0,0,0
Aitor Ruibal,Pablo Busto,Delantero,Defensa,50,0,0,1,0
Ayoze,Assane Diao,Delantero,Delantero,19,0,0,1,0
Willian José,Nabil Fekir,Delantero,Centrocampista,69,0,0,0,0
Johnny Cardoso,Sergi Altimira,Centrocampista,Centrocampista,73,0,0,0,0
Assane Diao,Borja Iglesias,Delantero,Delantero,46,0,0,0,0
Willian José,Nabil Fekir,Delantero,Centrocampista,46,0,0,0,0
Sokratis,Chadi Riad,Defensa,Defensa,65,0,0,0,1
Abner Vinícius,J. Miranda,Defensa,Defensa,13,0,0,1,0
Sergi Altimira,Pablo Fornals,Centrocampista,Centrocampista,66,0,0,0,1
Isco,W. Carvalho,Centrocampista,Centrocampista,82,1,0,1,1
Assane Diao,Ez Abde,Delantero,Delantero,66,0,0,0,1
Marc Roca,C. Bakambu,Centrocampista,Delantero,66,0,0,0,1
Ez Abde,Rodri,Delantero,Centrocampista,75,0,0,0,1
Chimy Ávila,Willian José,Delantero,Delantero,75,0,0,0,0
Sergi Altimira,W. Carvalho,Centrocampista,Centrocampista,46,0,0,0,0
Nabil Fekir,Assane Diao,Centrocampista,Delantero,85,0,1,0,0
Aitor Ruibal,Héctor Bellerín,Delantero,Defensa,72,0,0,1,0
Chimy Ávila,Rodri,Delantero,Centrocampista,51,1,0,0,1
J. Miranda,Ez Abde,Defensa,Delantero,88,0,0,1,0
Y. Sabaly,Pablo Busto,Defensa,Defensa,88,0,0,0,0
W. Carvalho,Marc Roca,Centrocampista,Centrocampista,78,0,1,0,0
Guido Rodríguez,Johnny Cardoso,Centrocampista,Centrocampista,78,1,0,0,0
Pablo Fornals,Ayoze,Centrocampista,Delantero,67,0,1,0,0
J. Miranda,Abner Vinícius,Defensa,Defensa,75,1,0,0,0
Héctor Bellerín,Aitor Ruibal,Defensa,Delantero,70,0,1,1,0
Isco,Rodri,Centrocampista,Centrocampista,86,0,1,0,0
Ayoze,C. Bakambu,Delantero,Delantero,46,0,0,0,0
Willian José,Nabil Fekir,Delantero,Centrocampista,46,0,0,0,0
