id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
19,19,1,0,5,5,0,0,0,0,6,4,38,61,9,7,2
28,28,1,2,4,5,3,4,0,0,6,3,65,35,16,7,3
46,46,3,0,5,5,1,5,0,0,5,8,37,62,12,11,5
67,67,0,1,4,5,4,7,1,0,0,2,37,63,9,2,7
95,95,2,0,5,5,0,3,0,1,4,5,61,38,12,5,10
119,119,1,0,5,5,3,5,0,0,0,4,51,48,11,6,12
138,138,0,0,5,5,3,2,0,0,5,7,54,45,8,13,14
169,169,1,1,5,2,1,2,0,0,4,6,35,64,11,16,17
189,189,3,1,5,5,2,5,0,0,4,3,45,54,11,8,19
208,208,1,0,4,5,0,3,0,0,4,2,39,60,6,6,21
228,228,2,1,4,5,4,5,0,1,0,6,48,51,7,15,23
248,248,0,0,4,5,0,1,0,0,7,2,53,46,14,1,25
268,268,2,2,5,5,2,3,0,1,2,2,29,70,12,10,27
279,279,1,0,5,5,2,3,0,0,5,5,51,48,10,15,28
298,298,0,0,5,5,0,2,0,0,3,3,52,47,14,11,30
