id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
16,16,0,0,4,5,2,1,0,0,2,7,52,47,14,5,2
32,32,1,0,5,5,3,5,0,0,2,3,56,43,14,15,4
53,53,1,1,5,5,2,3,0,0,11,8,63,36,21,5,6
74,74,3,0,5,5,2,2,0,0,5,3,55,44,15,9,8
103,103,2,1,4,5,3,4,0,0,6,3,50,49,9,7,11
110,110,2,0,4,5,1,4,0,1,6,1,57,42,22,8,12
131,131,1,0,5,5,1,2,0,0,7,6,39,60,12,15,14
157,157,1,1,3,4,2,1,0,0,7,6,37,63,14,12,16
177,177,1,1,5,5,2,2,0,0,7,6,47,52,21,12,18
195,195,1,0,3,5,3,4,0,0,13,1,57,42,25,6,20
205,205,2,4,3,3,1,2,0,0,3,4,35,64,14,11,21
227,227,1,1,5,5,7,4,0,0,3,5,55,45,9,11,23
245,245,0,0,3,4,5,2,0,0,6,8,61,38,13,13,25
255,255,3,1,4,5,1,6,0,1,5,3,58,41,13,3,26
275,275,2,3,5,5,3,4,1,1,11,4,54,45,13,6,28
306,306,2,1,5,5,1,0,0,0,6,5,46,53,15,12,31
