id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
23,23,0,0,5,4,1,4,0,0,5,7,51,48,11,8,3
44,44,2,1,5,4,3,2,0,0,4,3,51,48,17,15,5
67,67,0,1,4,5,4,7,1,0,0,2,37,63,9,2,7
80,80,2,1,4,5,2,4,0,0,1,4,37,62,14,13,9
105,105,2,2,5,4,3,2,0,0,4,5,55,44,16,15,11
121,121,1,3,4,5,3,2,0,0,5,5,46,53,7,18,13
141,141,1,1,5,4,3,3,0,0,1,8,28,71,9,17,15
159,159,0,3,4,4,2,1,0,0,5,3,51,48,20,16,16
172,172,0,0,5,5,3,1,0,0,7,5,40,59,10,8,18
190,190,2,1,5,5,1,4,0,0,5,5,49,50,10,9,20
206,206,0,1,5,5,1,2,0,0,6,3,48,51,6,6,21
224,224,0,0,4,5,2,3,0,0,3,4,48,51,11,11,23
247,247,1,2,4,4,9,5,2,0,3,9,31,68,4,19,25
267,267,3,2,5,5,1,2,0,0,2,5,39,60,12,13,27
274,274,2,3,5,4,1,2,0,0,4,6,36,63,13,11,28
291,291,0,1,5,4,2,2,0,0,3,8,40,59,3,12,30
313,313,1,1,5,5,0,2,0,0,0,4,39,60,6,7,32
