id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
1,1,0,2,5,4,3,1,0,0,7,5,46,54,7,14,1
15,15,0,2,4,5,1,5,1,1,5,3,62,37,18,8,2
20,20,4,2,5,5,4,2,0,0,5,3,47,53,14,9,3
36,36,0,0,4,5,0,1,0,0,3,5,33,66,8,11,4
40,40,3,0,5,5,1,4,0,0,5,4,65,34,20,5,5
57,57,0,2,5,5,2,2,0,0,3,4,43,56,15,11,6
60,60,2,2,5,5,5,6,1,0,5,4,48,51,8,13,7
70,70,3,0,5,5,2,2,0,0,5,7,51,48,8,18,8
85,85,3,0,5,5,2,0,0,0,6,2,59,40,23,4,9
92,92,1,0,4,5,3,3,0,0,4,7,62,37,12,10,10
102,102,2,2,5,4,3,1,0,0,10,4,57,42,12,11,11
113,113,2,3,5,5,4,4,0,0,9,3,57,42,17,17,12
122,122,4,3,4,3,2,2,0,0,7,2,58,42,21,13,13
136,136,1,1,5,5,1,1,0,0,2,6,60,39,13,13,14
140,140,4,0,5,4,1,2,0,0,7,2,49,50,9,11,15
155,155,1,1,3,5,0,2,0,0,1,8,48,51,7,19,16
160,160,2,0,4,5,0,1,0,0,3,7,38,61,16,7,17
170,170,1,0,5,3,1,3,0,0,5,2,50,49,19,5,18
187,187,0,2,5,5,3,1,0,0,5,4,60,39,11,15,19
190,190,2,1,5,5,1,4,0,0,5,5,49,50,10,9,20
208,208,1,0,4,5,0,3,0,0,4,2,39,60,6,6,21
211,211,0,0,3,5,4,2,0,0,6,8,41,58,9,8,22
221,221,4,0,5,5,0,1,0,0,6,2,62,37,13,6,23
238,238,0,0,4,5,4,1,1,0,4,10,38,61,10,12,24
240,240,3,2,5,4,1,2,0,0,3,4,30,69,14,12,25
255,255,3,1,4,5,1,6,0,1,5,3,58,41,13,3,26
260,260,0,0,5,5,3,3,0,0,4,4,39,60,8,8,27
278,278,0,2,5,5,3,3,0,0,10,3,71,28,14,7,28
280,280,2,0,5,5,2,3,0,0,5,4,59,40,16,7,29
296,296,2,0,5,5,2,1,0,0,4,7,58,41,9,7,30
300,300,1,1,5,3,3,3,0,1,3,1,52,47,13,10,31
311,311,1,1,5,5,4,2,0,0,11,4,67,32,17,5,32
321,321,3,1,4,5,3,2,0,0,3,5,42,57,8,7,33
