id_dato_jugador_partido,id_jugador,id_partido,amarilla,roja,lesion,cambio,asistencias,goles,sustituido_por
664,328,15,0,0,0,-1,0,0,-1
665,333,15,1,0,0,-1,0,0,-1
666,332,15,0,0,0,-1,0,0,-1
667,335,15,0,0,0,-1,0,0,-1
668,338,15,0,0,0,-1,0,0,-1
669,344,15,0,0,0,60,0,0,348
670,341,15,0,0,0,74,0,0,352
671,343,15,0,0,0,-1,0,0,-1
672,351,15,0,0,0,84,0,0,345
673,346,15,0,0,0,-1,0,0,-1
674,353,15,0,0,0,61,0,0,677
675,331,15,0,0,0,-1,0,0,-1
676,337,15,0,0,0,-1,0,0,-1
677,339,15,0,0,0,-1,0,0,-1
678,675,15,0,0,0,-1,0,0,-1
679,334,15,0,0,0,-1,0,0,-1
680,336,15,0,0,0,-1,0,0,-1
681,342,15,0,0,0,-1,0,0,-1
682,676,15,0,0,0,-1,0,0,-1
683,345,15,0,0,0,84,0,0,-1
684,352,15,0,0,0,74,0,0,-1
685,348,15,0,0,0,60,0,0,-1
686,677,15,0,1,0,61,0,0,-1
687,135,15,1,0,0,-1,0,0,-1
688,136,15,0,0,0,-1,0,0,-1
689,137,15,0,0,0,-1,0,0,-1
690,139,15,0,0,0,84,0,0,146
691,141,15,0,0,1,34,0,0,140
692,148,15,1,0,0,-1,0,0,-1
693,151,15,0,0,0,-1,0,0,-1
694,152,15,2,1,0,-1,0,0,-1
695,160,15,0,0,0,65,2,0,145
696,159,15,0,0,0,84,0,1,161
697,158,15,0,0,0,65,0,1,156
698,134,15,0,0,0,-1,0,0,-1
699,140,15,1,0,0,34,0,0,-1
700,142,15,0,0,0,-1,0,0,-1
701,153,15,0,0,0,-1,0,0,-1
702,145,15,0,0,0,65,0,0,-1
703,146,15,0,0,0,84,0,0,-1
704,149,15,0,0,0,-1,0,0,-1
705,157,15,0,0,0,-1,0,0,-1
706,659,15,0,0,0,-1,0,0,-1
707,156,15,0,0,0,65,0,0,-1
708,161,15,0,0,0,84,0,0,-1
709,155,15,0,0,0,-1,0,0,-1
1598,489,36,0,0,0,-1,0,0,-1
1599,496,36,0,0,0,-1,0,0,-1
1600,492,36,0,0,0,-1,0,0,-1
1601,500,36,0,0,0,-1,0,0,-1
1602,499,36,0,0,0,-1,0,0,-1
1603,501,36,0,0,0,69,0,0,505
1604,508,36,0,0,0,-1,0,0,-1
1605,509,36,0,0,0,84,0,0,510
1606,504,36,0,0,0,69,0,0,493
1607,515,36,0,0,0,-1,0,0,-1
1608,511,36,0,0,0,56,0,0,512
1609,488,36,0,0,0,-1,0,0,-1
1610,487,36,0,0,0,-1,0,0,-1
1611,495,36,0,0,0,-1,0,0,-1
1612,491,36,0,0,0,-1,0,0,-1
1613,493,36,0,0,0,69,0,0,-1
1614,503,36,0,0,0,-1,0,0,-1
1615,506,36,0,0,0,-1,0,0,-1
1616,505,36,0,0,0,69,0,0,-1
1617,507,36,0,0,0,-1,0,0,-1
1618,512,36,0,0,0,56,0,0,-1
1619,688,36,0,0,0,-1,0,0,-1
1620,510,36,0,0,0,84,0,0,-1
1621,135,36,0,0,0,-1,0,0,-1
1622,136,36,0,0,0,-1,0,0,-1
1623,137,36,0,0,0,-1,0,0,-1
1624,144,36,0,0,0,-1,0,0,-1
1625,140,36,1,0,0,60,0,0,149
1626,151,36,0,0,0,78,0,0,156
1627,148,36,0,0,0,-1,0,0,-1
1628,152,36,0,0,0,60,0,0,146
1629,160,36,0,0,0,78,0,0,147
1630,159,36,0,0,0,84,0,0,161
1631,158,36,0,0,0,-1,0,0,-1
1632,134,36,0,0,0,-1,0,0,-1
1633,142,36,0,0,0,-1,0,0,-1
1634,139,36,0,0,0,-1,0,0,-1
