id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Manchester-City-Fc,81.08,5.41,13.51,2.49,81.08,59.46,37.84,16.22,3.05,2.43,0.62,94.59,67.57,43.24,45.95,13.51,2.7,1.11,0.03,2.97,68.38,17.38,7.68,2.08,0.08,0.19,0.7,0.49,71.38,0.32,0.14,0.43,0.16,0.08,0.08,0.08,0.51,1.22,1.16,1.65,1.14,1.16
1,Liverpool,83.78,16.22,0.0,2.68,83.78,59.46,37.84,21.62,3.08,2.49,0.59,94.59,72.97,45.95,48.65,8.11,2.7,1.03,0.05,3.3,62.51,15.27,6.41,3.19,0.11,0.19,0.49,0.27,71.52,0.51,0.14,0.22,0.11,0.05,0.14,0.05,0.43,1.49,1.32,1.05,1.54,0.7
2,Chelsea-Fc,56.76,24.32,18.92,1.95,86.49,56.76,27.03,10.81,2.76,1.73,1.03,78.38,59.46,24.32,59.46,24.32,8.11,1.24,0.0,3.19,63.3,15.59,5.59,3.68,0.19,0.22,0.46,0.41,68.83,0.19,0.16,0.05,0.0,0.03,0.0,0.19,0.32,1.51,1.16,0.68,0.84,1.16
3,Tottenham-Hotspur-Fc,62.16,2.7,35.14,1.89,70.27,56.76,27.03,10.81,2.76,1.76,1.0,83.78,48.65,27.03,64.86,27.03,5.41,1.57,0.08,2.78,59.76,13.78,4.92,4.81,0.11,0.41,0.51,0.43,74.26,0.46,0.16,0.43,0.22,0.24,0.24,0.11,0.24,0.7,1.73,2.05,0.95,0.81
4,Arsenal,51.35,21.62,27.03,1.76,89.19,56.76,43.24,24.32,3.24,1.86,1.38,89.19,59.46,21.62,81.08,32.43,18.92,1.97,0.05,3.05,59.05,12.05,5.54,4.81,0.14,0.35,0.38,0.3,64.75,0.54,0.0,0.46,0.11,0.11,0.38,0.14,0.95,1.16,0.81,1.32,1.7,0.73
5,Manchester-United-Fc,51.35,21.62,27.03,1.76,91.89,72.97,45.95,18.92,3.3,1.78,1.51,86.49,59.46,21.62,83.78,43.24,18.92,1.97,0.11,3.03,54.38,13.22,5.0,4.76,0.08,0.54,0.57,0.32,71.16,0.41,0.11,0.46,0.16,0.11,0.14,0.03,0.62,1.14,1.24,1.73,1.7,0.95
6,Wolverhampton,43.24,24.32,32.43,1.54,81.08,37.84,18.92,5.41,2.46,1.27,1.19,72.97,37.84,13.51,75.68,32.43,10.81,1.89,0.03,2.89,46.86,12.22,5.19,5.0,0.0,0.3,0.43,0.35,72.93,0.3,0.14,0.11,0.14,0.19,0.05,0.0,0.51,1.05,1.32,0.76,0.49,0.62
7,Everton-Fc,40.54,21.62,37.84,1.43,72.97,45.95,29.73,8.11,2.59,1.41,1.19,72.97,45.95,13.51,62.16,35.14,13.51,1.43,0.08,2.95,51.95,12.46,5.59,4.57,0.05,0.51,0.35,0.24,74.23,0.41,0.08,0.62,0.19,0.08,0.03,0.11,0.3,1.08,1.46,1.19,0.97,0.59
8,Leicester-City-Fc,40.54,16.22,43.24,1.38,75.68,51.35,24.32,10.81,2.68,1.38,1.3,81.08,40.54,13.51,75.68,32.43,13.51,1.7,0.14,2.92,51.14,13.27,5.46,5.24,0.05,0.3,0.43,0.32,71.66,0.11,0.32,0.54,0.11,0.38,0.03,0.08,0.46,1.03,1.35,1.43,0.57,0.89
9,West-Ham-United,37.84,18.92,43.24,1.32,81.08,48.65,32.43,8.11,2.76,1.3,1.46,62.16,37.84,24.32,81.08,45.95,13.51,1.59,0.03,2.97,48.46,11.22,4.95,5.32,0.08,0.43,0.32,0.32,67.31,0.3,0.14,0.43,0.03,0.0,0.0,0.11,0.68,1.27,0.92,1.22,0.86,1.38
10,Watford-Fc,37.84,21.62,40.54,1.35,86.49,62.16,24.32,13.51,2.86,1.38,1.49,72.97,40.54,16.22,81.08,43.24,16.22,2.11,0.08,2.7,46.54,10.89,4.46,5.51,0.05,0.27,0.35,0.22,71.87,0.3,0.08,0.41,0.27,0.14,0.0,0.11,0.46,0.92,1.22,1.19,0.84,0.76
11,Crystal-Palace-Fc,35.14,18.92,45.95,1.24,72.97,43.24,32.43,16.22,2.59,1.24,1.35,70.27,35.14,16.22,67.57,48.65,16.22,1.51,0.05,2.41,44.86,12.43,5.27,5.59,0.03,0.24,0.3,0.19,76.1,0.32,0.11,0.32,0.22,0.11,0.11,0.05,0.14,0.73,1.49,0.97,0.57,0.65
12,Newcastle-United-Fc,29.73,24.32,45.95,1.14,72.97,45.95,16.22,8.11,2.32,1.03,1.3,64.86,29.73,8.11,72.97,43.24,10.81,1.51,0.05,2.59,40.14,11.32,4.65,6.03,0.11,0.38,0.24,0.22,72.72,0.08,0.16,0.05,0.0,0.41,0.05,0.05,0.35,0.89,1.3,1.46,0.51,0.86
13,Afc-Bournemouth,35.14,16.22,48.65,1.22,89.19,62.16,40.54,18.92,3.19,1.43,1.76,67.57,43.24,18.92,72.97,56.76,27.03,1.62,0.03,2.73,46.43,11.14,4.92,5.76,0.11,0.27,0.49,0.38,72.63,0.14,0.27,0.11,0.0,0.19,0.0,0.16,0.3,0.92,1.35,1.08,0.7,0.97
14,Burnley-Fc,29.73,18.92,51.35,1.08,81.08,56.76,40.54,13.51,2.95,1.19,1.76,67.57,40.54,8.11,78.38,48.65,27.03,1.92,0.03,2.24,40.49,9.19,3.68,6.35,0.05,0.27,0.22,0.05,72.29,0.14,0.22,0.38,0.08,0.11,0.05,0.05,0.3,0.92,0.97,0.76,0.68,0.76
15,Southampton-Fc,24.32,29.73,45.95,1.03,83.78,62.16,35.14,13.51,2.92,1.19,1.73,72.97,35.14,10.81,81.08,54.05,29.73,2.0,0.08,2.81,43.0,12.43,5.08,5.68,0.05,0.41,0.3,0.19,69.63,0.38,0.08,0.3,0.14,0.22,0.08,0.08,0.57,0.97,1.19,1.16,0.78,1.14
16,Brighton-Amp-Hov,24.32,24.32,51.35,0.97,67.57,45.95,24.32,8.11,2.43,0.92,1.51,64.86,21.62,5.41,81.08,48.65,13.51,1.68,0.11,2.59,42.43,9.46,4.08,5.54,0.14,0.35,0.24,0.16,67.82,0.11,0.03,0.27,0.05,0.0,0.0,0.24,0.38,1.03,0.95,0.95,0.76,1.16
17,Cardiff-City-Fc,24.32,10.81,64.86,0.84,72.97,51.35,27.03,24.32,2.73,0.86,1.86,54.05,27.03,2.7,75.68,56.76,32.43,1.65,0.03,2.86,34.95,10.57,4.32,6.92,0.05,0.43,0.16,0.03,72.31,0.16,0.0,0.54,0.08,0.0,0.03,0.08,0.32,1.08,1.38,0.76,1.08,1.24
18,Fulham,18.92,13.51,67.57,0.7,83.78,54.05,32.43,21.62,3.0,0.92,2.08,62.16,16.22,8.11,86.49,72.97,32.43,1.92,0.05,2.84,48.38,11.49,4.16,5.92,0.05,0.38,0.27,0.16,67.38,0.24,0.22,0.35,0.16,0.24,0.14,0.08,0.73,0.89,1.14,1.68,0.92,0.54
19,Huddersfield-Town-Fc,8.11,16.22,75.68,0.41,70.27,45.95,24.32,13.51,2.59,0.57,2.03,48.65,5.41,2.7,86.49,56.76,32.43,1.49,0.11,2.84,47.0,10.03,4.22,4.41,0.05,0.51,0.14,0.05,67.64,0.11,0.11,0.57,0.16,0.19,0.16,0.24,0.62,0.95,1.03,1.35,1.11,1.08
