id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
40,Real-Madrid,80.56,16.67,2.78,2.58,80.56,55.56,36.11,16.67,2.92,2.31,0.61,97.22,66.67,38.89,44.44,13.89,2.78,1.81,0.11,4.31,59.11,15.92,5.67,3.81,0.31,0.56,0.94,0.58,72.83,0.33,0.33,0.42,0.42,0.06,0.36,0.08,0.61,1.58,2.03,1.56,1.64,0.58
41,Barcelona,66.67,19.44,13.89,2.19,72.22,58.33,41.67,30.56,3.25,2.06,1.19,94.44,63.89,30.56,55.56,36.11,16.67,2.28,0.06,4.19,64.22,15.81,6.28,3.81,0.33,0.72,0.5,0.64,67.28,0.47,0.17,0.64,0.14,0.44,0.28,0.25,0.83,1.47,1.64,1.36,1.14,1.11
42,Girona-Fc,63.89,16.67,19.44,2.08,75.0,61.11,38.89,30.56,3.33,2.08,1.25,80.56,58.33,36.11,69.44,36.11,16.67,2.0,0.03,4.36,56.22,12.5,4.19,4.28,0.36,0.53,0.97,0.58,72.71,0.67,0.19,0.53,0.17,0.5,0.03,0.11,0.47,1.86,1.92,1.08,0.61,0.72
43,Atletico-Madrid,63.89,11.11,25.0,2.03,77.78,61.11,30.56,13.89,2.94,1.86,1.08,77.78,58.33,33.33,66.67,27.78,11.11,2.22,0.11,4.81,50.39,12.67,4.53,5.03,0.31,0.69,0.61,0.31,64.34,0.44,0.56,0.64,0.44,0.17,0.14,0.14,1.56,1.83,1.28,1.72,1.22,1.19
44,Athletic-Bilbao,47.22,30.56,22.22,1.72,80.56,44.44,30.56,11.11,2.64,1.61,1.03,75.0,52.78,22.22,55.56,36.11,11.11,2.19,0.14,4.94,49.58,12.25,5.53,4.17,0.36,0.83,0.72,0.5,69.62,0.5,0.08,0.42,0.11,0.06,0.25,0.14,0.67,2.33,1.81,1.25,1.33,0.78
45,Real-Sociedad,41.67,33.33,25.0,1.58,63.89,41.67,22.22,11.11,2.39,1.36,1.03,75.0,36.11,16.67,61.11,30.56,11.11,2.58,0.06,4.67,55.67,12.28,5.22,3.53,0.64,0.78,0.5,0.39,67.2,0.44,0.22,0.36,0.14,0.25,0.14,0.31,0.83,2.06,1.47,1.58,1.0,1.58
46,Betis,38.89,38.89,22.22,1.56,77.78,41.67,22.22,16.67,2.53,1.33,1.19,83.33,41.67,8.33,66.67,27.78,13.89,2.31,0.08,4.39,49.94,12.83,5.72,5.17,0.53,0.94,0.56,0.36,66.71,0.67,0.14,0.58,0.06,0.14,0.08,0.17,1.11,1.86,1.25,1.31,1.28,1.28
47,Villarreal,38.89,25.0,36.11,1.42,86.11,66.67,41.67,27.78,3.33,1.67,1.67,88.89,38.89,27.78,83.33,50.0,27.78,2.92,0.22,4.69,49.19,12.11,4.64,5.31,0.5,0.94,0.58,0.39,68.92,0.47,0.31,0.42,0.19,0.31,0.25,0.17,1.03,1.75,1.75,1.89,0.97,0.94
48,Valencia-Cf,36.11,25.0,38.89,1.33,52.78,38.89,19.44,8.33,2.14,1.03,1.11,63.89,27.78,8.33,63.89,30.56,8.33,1.72,0.14,4.69,43.75,9.58,3.25,4.89,0.64,0.47,0.53,0.44,70.37,0.67,0.72,0.33,0.25,0.28,0.22,0.19,0.86,1.78,1.86,1.28,0.61,0.92
49,Alaves,30.56,25.0,44.44,1.17,63.89,30.56,16.67,8.33,2.19,0.94,1.25,58.33,19.44,13.89,72.22,36.11,11.11,2.17,0.03,4.92,41.0,12.28,4.97,4.56,0.39,0.72,0.47,0.31,73.48,0.28,0.36,0.64,0.14,0.25,0.11,0.06,0.53,2.08,2.25,1.22,0.78,0.97
50,Osasuna,30.56,22.22,47.22,1.14,80.56,41.67,22.22,13.89,2.61,1.11,1.5,72.22,33.33,5.56,72.22,47.22,22.22,2.0,0.14,4.83,47.19,11.06,4.42,4.56,0.36,0.67,0.44,0.28,72.24,0.61,0.33,0.61,0.19,0.42,0.19,0.08,0.39,2.22,2.14,1.56,1.0,1.22
51,Getafe,27.78,36.11,36.11,1.19,69.44,41.67,27.78,16.67,2.56,1.14,1.42,61.11,33.33,19.44,72.22,44.44,19.44,3.56,0.25,4.47,43.81,11.89,3.86,4.64,0.47,1.11,0.44,0.25,68.97,0.5,0.36,0.58,0.36,0.33,0.5,0.06,1.22,1.47,1.72,1.83,0.75,0.83
52,Sevilla,27.78,30.56,41.67,1.14,72.22,50.0,25.0,16.67,2.69,1.31,1.39,75.0,36.11,13.89,77.78,38.89,13.89,2.92,0.11,4.39,50.31,12.92,4.75,5.08,0.47,0.83,0.28,0.33,70.46,0.33,0.19,0.5,0.31,0.33,0.17,0.17,0.89,1.58,1.75,1.72,1.0,0.92
53,Celta,25.0,27.78,47.22,1.03,69.44,52.78,27.78,19.44,2.67,1.17,1.5,63.89,36.11,13.89,83.33,41.67,19.44,1.81,0.14,4.36,45.36,12.64,4.92,4.94,0.44,0.69,0.47,0.33,71.9,0.67,0.19,0.33,0.17,0.58,0.22,0.06,0.89,1.33,2.08,1.31,0.86,0.97
54,Ud-Palmas,27.78,22.22,50.0,1.06,66.67,30.56,11.11,8.33,2.17,0.89,1.28,55.56,27.78,5.56,80.56,30.56,8.33,2.19,0.14,4.64,59.28,10.36,4.28,5.56,0.19,0.69,0.31,0.36,70.74,0.42,0.28,0.75,0.11,0.31,0.11,0.08,0.94,1.61,2.0,1.14,1.03,1.03
55,Rayo-Vallecano,22.22,38.89,38.89,1.06,63.89,36.11,13.89,2.78,2.03,0.81,1.22,52.78,27.78,0.0,63.89,33.33,11.11,2.89,0.14,4.89,49.0,12.75,4.33,4.56,0.19,1.11,0.31,0.17,70.0,0.72,0.11,0.64,0.11,0.28,0.08,0.03,1.03,2.03,1.81,1.03,0.97,1.06
56,Mallorca,19.44,41.67,38.89,1.0,50.0,25.0,16.67,8.33,1.94,0.81,1.14,58.33,16.67,5.56,72.22,25.0,8.33,2.81,0.11,4.89,43.89,10.58,4.36,4.08,0.33,1.14,0.31,0.25,69.44,0.22,0.08,0.86,0.31,0.47,0.36,0.14,1.06,1.81,1.89,2.06,1.31,0.67
57,Cadiz,16.67,38.89,44.44,0.89,66.67,25.0,16.67,8.33,2.06,0.69,1.36,52.78,13.89,2.78,75.0,38.89,16.67,2.83,0.17,4.89,41.97,10.44,4.47,4.72,0.64,1.06,0.22,0.14,70.31,0.42,0.36,0.33,0.11,0.42,0.08,0.14,0.72,2.0,2.03,1.47,0.69,1.33
58,Granada,11.11,25.0,63.89,0.58,77.78,44.44,33.33,22.22,2.97,1.03,1.94,58.33,30.56,13.89,91.67,52.78,33.33,2.53,0.08,4.72,45.42,10.58,3.81,5.42,0.31,1.03,0.33,0.28,71.74,0.5,0.19,0.83,0.28,0.47,0.19,0.14,0.61,1.83,2.14,1.22,0.83,1.03
59,Almeria,5.56,30.56,63.89,0.47,75.0,63.89,38.89,19.44,2.97,0.97,2.0,66.67,27.78,2.78,83.33,69.44,36.11,2.44,0.17,4.61,45.78,12.39,4.56,5.67,0.36,0.75,0.42,0.31,69.11,0.28,0.11,0.5,0.33,0.19,0.28,0.08,0.92,1.92,1.69,1.69,1.25,1.03
